"file","exists","status","note"
"START_HERE_LOG_STRUCTURE_V0.md","True","text_present",""
"LOG_STRUCTURE_PRODUCT_BOUNDARY_V0.md","True","text_present",""
"Run-LogStructureSurface.V0.ps1","True","ok",""
"Run-LogStructure.Drop.bat","True","text_present",""
"Run-LogStructurePanelSummary.V0.ps1","True","ok",""
"Run-LogStructureTerrainCard.V0.ps1","True","ok",""
"Run-LogStructureZoomCard.V0.ps1","True","ok",""
"Run-LogStructureBandTextureCard.V0.ps1","True","ok",""
"START_HERE_FOR_OUTSIDERS.md","True","text_present",""
"STRUCTURAL_READ_EIGHT_STAGE_CONTRACT_V0.md","True","text_present",""
"STRUCTURAL_READ_LAYER_MODEL_V0.md","True","text_present",""
