edge_id,node_a,node_b,degree_a,degree_b,corridor_class,asymmetry_class,boundary_note
1,N01,N02,1,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
2,N02,N03,3,4,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
3,N03,N04,4,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
4,N04,N05,3,4,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
5,N05,N06,4,5,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
6,N06,N07,5,4,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
7,N07,N08,4,4,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
8,N08,N09,4,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
9,N09,N10,2,1,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
10,N03,N05,4,4,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
11,N04,N06,3,5,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
12,N05,N07,4,4,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
13,N06,N08,5,4,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
14,N03,L01,4,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
15,L01,L02,2,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
16,L02,L03,3,1,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
17,L02,L04,3,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
18,L04,L05,3,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
19,N07,R01,4,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
20,R01,R02,3,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
21,R02,R03,3,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
22,R02,R04,3,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
23,R04,R05,2,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
24,R05,R06,2,1,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
25,N02,A01,3,2,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
26,A01,A02,2,1,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
27,L04,N06,3,5,mid_corridor_pressure,balanced,observer_side_branching_surface_not_semantic_network_claim
28,R03,N08,2,4,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
29,L05,R01,2,3,sparse_branch,balanced,observer_side_branching_surface_not_semantic_network_claim
