cycle_id,amplitude_class,symmetry_class,recovery_depth,pulse_shape,peak_population,rise_slope,fall_slope,boundary_note
cycle_001,medium_amplitude,near_symmetric,deep_recovery,sharp_rise_sharp_fall,5943,1489.33,-1461.25,comparative_pulse_shape_no_ecological_causality_claim
cycle_002,low_amplitude,fall_dominant,deep_recovery,gradual_rise_sharp_fall,3409,562.0,-1500.0,comparative_pulse_shape_no_ecological_causality_claim
cycle_003,low_amplitude,fall_dominant,deep_recovery,gradual_rise_sharp_fall,2536,663.33,-1087.5,comparative_pulse_shape_no_ecological_causality_claim
cycle_004,low_amplitude,near_symmetric,deep_recovery,sharp_rise_sharp_fall,2871,713.33,-857.33,comparative_pulse_shape_no_ecological_causality_claim
cycle_005,high_amplitude,near_symmetric,deep_recovery,sharp_rise_sharp_fall,6721,2056.33,-2155.33,comparative_pulse_shape_no_ecological_causality_claim
cycle_006,low_amplitude,near_symmetric,deep_recovery,sharp_rise_sharp_fall,2251,489.0,-650.67,comparative_pulse_shape_no_ecological_causality_claim
cycle_007,medium_amplitude,near_symmetric,deep_recovery,sharp_rise_sharp_fall,4431,1194.5,-1452.67,comparative_pulse_shape_no_ecological_causality_claim
cycle_008,medium_amplitude,rise_dominant,deep_recovery,extended_rise_soft_return,4031,2739.0,-1308.67,comparative_pulse_shape_no_ecological_causality_claim
cycle_009,high_amplitude,near_symmetric,deep_recovery,sharp_rise_sharp_fall,6991,2077.67,-1661.5,comparative_pulse_shape_no_ecological_causality_claim
cycle_010,medium_amplitude,near_symmetric,unfinished_or_incomplete,unfinished_recovery,3800,997.33,-709.0,comparative_pulse_shape_no_ecological_causality_claim
cycle_011,medium_amplitude,unfinished_or_one_sided,deep_recovery,mixed_pulse_shape,3790,0.0,-1854.5,comparative_pulse_shape_no_ecological_causality_claim
cycle_012,medium_amplitude,near_symmetric,partial_recovery,mixed_pulse_shape,3574,1221.0,-1015.0,comparative_pulse_shape_no_ecological_causality_claim
cycle_013,low_amplitude,unfinished_or_one_sided,unfinished_or_incomplete,unfinished_recovery,3396,798.67,0.0,comparative_pulse_shape_no_ecological_causality_claim
