terrain,window_size,packet_count,dominant_gap,anchor_count,largest_band_width,cadence_strength,field_class,transition_from_prior,boundary_note
hierarchical_burst_structural_v2,125,11,125,0,500,1.0,packeted,initial_state,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,150,6,150,2,1800,1.0,packeted,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,175,5,175,1,700,1.0,packeted,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,200,1,,0,4000,0,broad_consolidation,packeted_to_broad_consolidation,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,250,1,,1,4000,0,broad_consolidation,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,300,1,,0,3900,0,broad_consolidation,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,350,1,,1,3850,0,broad_consolidation,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,400,1,,0,4000,0,broad_consolidation,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,500,1,,1,4000,0,broad_consolidation,class_holds,observer_side_phase_class_no_causal_claim
hierarchical_burst_structural_v2,1000,1,,0,4000,0,broad_consolidation,class_holds,observer_side_phase_class_no_causal_claim
