window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
25,window_001,1,25,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_002,26,50,25,16,0,9,0.64,0.0,0.36,9,5,0,1.0,0.5556,0.1111,t=<num> RESIDUAL_BURST_0040_7405 burst_zone,stable_attached_residual
25,window_003,51,75,25,6,0,19,0.24,0.0,0.76,18,11,0,0.9474,0.5789,0.0526,t=<num> RESIDUAL_BURST_0051_9390 burst_zone,stable_attached_residual
25,window_004,76,100,25,21,0,4,0.84,0.0,0.16,2,3,0,0.5,0.75,0.25,t=<num> RESIDUAL_BURST_0076_7459 burst_zone,stable_attached_residual
25,window_005,101,125,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_006,126,150,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_007,151,175,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,t=<num> RESIDUAL_EDGE_0169_3043 edge_disturbance,stable_attached_residual
25,window_008,176,200,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_009,201,225,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_010,226,250,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_011,251,275,25,15,0,10,0.6,0.0,0.4,8,8,0,0.8,0.8,0.1,t=<num> RESIDUAL_BURST_0260_3790 burst_zone,stable_attached_residual
25,window_012,276,300,25,4,0,21,0.16,0.0,0.84,20,6,0,0.9524,0.2857,0.0476,t=<num> RESIDUAL_BURST_0276_8700 burst_zone,partial_residual_cluster
25,window_013,301,325,25,23,0,2,0.92,0.0,0.08,1,2,0,0.5,1.0,0.5,t=<num> RESIDUAL_BURST_0301_5775 burst_zone,stable_attached_residual
25,window_014,326,350,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,t=<num> RESIDUAL_EDGE_0344_6644 edge_disturbance,stable_attached_residual
25,window_015,351,375,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_016,376,400,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_017,401,425,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,t=<num> RESIDUAL_EDGE_0416_7357 edge_disturbance,stable_attached_residual
25,window_018,426,450,25,23,0,2,0.92,0.0,0.08,0,2,0,0.0,1.0,0.5,t=<num> RESIDUAL_EDGE_0430_8219 edge_disturbance,stable_attached_residual
25,window_019,451,475,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,t=<num> RESIDUAL_EDGE_0471_4702 edge_disturbance,stable_attached_residual
25,window_020,476,500,25,8,0,17,0.32,0.0,0.68,16,6,0,0.9412,0.3529,0.0588,t=<num> RESIDUAL_BURST_0480_6440 burst_zone,partial_residual_cluster
25,window_021,501,525,25,6,0,19,0.24,0.0,0.76,19,3,0,1.0,0.1579,0.0526,t=<num> RESIDUAL_BURST_0501_3451 burst_zone,residual_island
25,window_022,526,550,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_023,551,575,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_024,576,600,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_025,601,625,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_026,626,650,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_027,651,675,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_028,676,700,25,23,0,2,0.92,0.0,0.08,1,2,0,0.5,1.0,0.5,t=<num> RESIDUAL_EDGE_0682_8844 edge_disturbance,stable_attached_residual
25,window_029,701,725,25,6,0,19,0.24,0.0,0.76,17,10,0,0.8947,0.5263,0.0526,t=<num> RESIDUAL_BURST_0701_9212 burst_zone,stable_attached_residual
25,window_030,726,750,25,10,0,15,0.4,0.0,0.6,14,6,0,0.9333,0.4,0.0667,t=<num> RESIDUAL_BURST_0726_4940 burst_zone,partial_residual_cluster
25,window_031,751,775,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_032,776,800,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_033,801,825,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_034,826,850,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,t=<num> RESIDUAL_EDGE_0829_1832 edge_disturbance,stable_attached_residual
25,window_035,851,875,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,t=<num> RESIDUAL_EDGE_0873_6997 edge_disturbance,stable_attached_residual
25,window_036,876,900,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_037,901,925,25,21,0,4,0.84,0.0,0.16,2,4,0,0.5,1.0,0.25,t=<num> RESIDUAL_EDGE_0901_9701 edge_disturbance,stable_attached_residual
25,window_038,926,950,25,6,0,19,0.24,0.0,0.76,17,9,0,0.8947,0.4737,0.0526,t=<num> RESIDUAL_BURST_0926_4980 burst_zone,partial_residual_cluster
