terrain,window_size,line_start,line_end,pseudo_cadence,imperfect_echo,reinforcement_candidate,divergence_zone,total_marked,marked_share,weak_signal_class,boundary_note
sparse_misleading_structural_v2,25,1,25,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,26,50,11,0,0,0,11,0.44,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,51,75,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,76,100,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,101,125,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,126,150,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,151,175,9,0,0,0,9,0.36,local_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,176,200,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,201,225,0,6,0,0,6,0.24,local_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,226,250,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,251,275,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,276,300,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,301,325,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,326,350,0,14,0,0,14,0.56,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,351,375,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,376,400,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,401,425,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,426,450,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,451,475,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,476,500,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,501,525,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,526,550,11,0,0,0,11,0.44,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,551,575,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,576,600,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,601,625,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,626,650,25,0,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,651,675,9,0,16,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,676,700,0,0,4,0,4,0.16,local_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,701,725,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,726,750,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,751,775,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,776,800,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,801,825,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,826,850,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,851,875,0,0,0,0,0,0.0,quiet,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,876,900,0,0,0,1,1,0.04,weak_trace_present,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,901,925,0,0,0,25,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,926,950,0,6,0,19,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,951,975,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,976,1000,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,1001,1025,0,25,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
sparse_misleading_structural_v2,25,1026,1050,11,14,0,0,25,1.0,dense_weak_motif_region,weak_signal_presence_not_residual_admission
