terrain,window_size,line_start,line_end,dominant_motif,dominant_motif_share,dominant_marker,dominant_marker_share,drift_from_prior,cadence_class,boundary_note
pseudo_periodic_drift_v1,25,1,25,alpha cadence one,0.76,pseudo_periodic,1.0,initial,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,26,50,beta cadence two,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,51,75,delta cadence four,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,76,100,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,101,125,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,126,150,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,151,175,alpha cadence one,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,176,200,beta cadence two,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,201,225,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,226,250,none,0.56,quiet_carrier,0.56,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,251,275,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,276,300,gamma cadence three,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,301,325,delta cadence four,0.76,pseudo_periodic,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,326,350,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,351,375,gamma cadence three,0.64,pseudo_periodic,0.64,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,376,400,delta cadence four,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,401,425,alpha cadence one,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,426,450,beta cadence two,0.56,pseudo_periodic,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,451,475,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,476,500,alpha cadence one,0.8,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,501,525,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
