display_name,map_group,parent_family,avg_residual_share,avg_middle_share,avg_residual_self_adjacent,avg_residual_stable_attachment,dominant_posture
Linux,terrain,Linux,0.0485,0.023,0.0924,0.0432,no_residual
Thunderbird,terrain,Thunderbird,0.337,0.1305,0.5386,0.6551,stable_attached_residual
OpenStack,terrain,OpenStack,0.7135,0.0535,0.9436,0.2684,residual_island
HDFS,terrain,HDFS,0.544,0.04,0.7833,0.6697,stable_attached_residual
Apache,terrain,Apache,0.022,0.143,0.0284,0.2055,no_residual
BGL,terrain,BGL,0.001,0.0,0.0,0.0395,no_residual
Apache/baseline_loghub_apache,apache_sub_basin,Apache,0.022,0.143,0.0284,0.2055,no_residual
Apache/scan_acunetix,apache_sub_basin,Apache,0.159,0.017,0.184,0.8832,stable_attached_residual
Apache/scan_netsparker,apache_sub_basin,Apache,0.879,0.121,0.9032,0.0,residual_island
Apache/scan_w3af,apache_sub_basin,Apache,0.1535,0.13,0.4033,0.1362,no_residual
