window_size,window_id,line_start,line_end,stable_share,middle_share,residual_share,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
250,window_001,1,250,0.24,0.056,0.704,0.9602,0.2273,0.6591,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_002,251,500,0.224,0.048,0.728,0.956,0.1923,0.6923,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_003,501,750,0.224,0.04,0.736,0.962,0.2174,0.6848,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_004,751,1000,0.236,0.072,0.692,0.9595,0.2254,0.6532,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_005,1001,1250,0.204,0.056,0.74,0.973,0.2,0.6973,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_006,1251,1500,0.224,0.04,0.736,0.9457,0.2174,0.6739,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_007,1501,1750,0.256,0.06,0.684,0.9474,0.2339,0.6491,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
250,window_008,1751,2000,0.256,0.056,0.688,0.9593,0.2849,0.7093,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
500,window_001,1,500,0.232,0.052,0.716,0.9581,0.2095,0.676,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
500,window_002,501,1000,0.23,0.056,0.714,0.9608,0.2213,0.6695,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
500,window_003,1001,1500,0.214,0.048,0.738,0.9593,0.2087,0.6856,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
500,window_004,1501,2000,0.256,0.058,0.686,0.9534,0.2595,0.6793,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
1000,window_001,1,1000,0.231,0.054,0.715,0.9594,0.2154,0.6727,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
1000,window_002,1001,2000,0.235,0.053,0.712,0.9565,0.2331,0.6826,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
