window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
10,window_001,1,10,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_002,11,20,10,1,0,9,0.1,0.0,0.9,9,3,0,1.0,0.3333,0.4444,<num> <num> <num> INFO dfs.FSNamesystem:,partial_residual_cluster
10,window_003,21,30,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.75,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_004,31,40,10,5,0,5,0.5,0.0,0.5,4,3,0,0.8,0.6,0.6,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_005,41,50,10,5,1,4,0.5,0.1,0.4,2,3,1,0.5,0.75,0.75,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_006,51,60,10,6,0,4,0.6,0.0,0.4,3,4,0,0.75,1.0,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_007,61,70,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.75,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_008,71,80,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.25,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_009,81,90,10,4,0,6,0.4,0.0,0.6,4,6,0,0.6667,1.0,0.6667,<num> <num> <num> WARN dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_010,91,100,10,3,0,7,0.3,0.0,0.7,6,2,0,0.8571,0.2857,0.8571,<num> <num> <num> WARN dfs.DataNode$DataXceiver:,partial_residual_cluster
10,window_011,101,110,10,3,0,7,0.3,0.0,0.7,7,4,0,1.0,0.5714,0.4286,<num> <num> <num> WARN dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_012,111,120,10,8,0,2,0.8,0.0,0.2,1,2,0,0.5,1.0,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_013,121,130,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.5,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_014,131,140,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.5,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_015,141,150,10,7,0,3,0.7,0.0,0.3,0,3,0,0.0,1.0,0.6667,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_016,151,160,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.75,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_017,161,170,10,7,0,3,0.7,0.0,0.3,0,3,0,0.0,1.0,0.3333,<num> <num> <num> INFO dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_018,171,180,10,5,0,5,0.5,0.0,0.5,3,4,0,0.6,0.8,0.8,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_019,181,190,10,6,0,4,0.6,0.0,0.4,0,4,0,0.0,1.0,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_020,191,200,10,6,0,4,0.6,0.0,0.4,2,3,0,0.5,0.75,0.25,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_021,201,210,10,6,0,4,0.6,0.0,0.4,1,4,0,0.25,1.0,0.5,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_022,211,220,10,6,0,4,0.6,0.0,0.4,4,3,0,1.0,0.75,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_023,221,230,10,5,0,5,0.5,0.0,0.5,3,5,0,0.6,1.0,0.8,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_024,231,240,10,1,0,9,0.1,0.0,0.9,8,3,0,0.8889,0.3333,0.3333,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,partial_residual_cluster
10,window_025,241,250,10,3,0,7,0.3,0.0,0.7,6,5,0,0.8571,0.7143,0.5714,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_026,251,260,10,3,0,7,0.3,0.0,0.7,7,5,0,1.0,0.7143,0.4286,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_027,261,270,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,partial_residual_cluster
10,window_028,271,280,10,4,0,6,0.4,0.0,0.6,5,6,0,0.8333,1.0,0.5,<num> <num> <num> INFO dfs.DataNode$PacketResponder:,stable_attached_residual
10,window_029,281,290,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.4286,<num> <num> <num> INFO dfs.FSNamesystem:,partial_residual_cluster
10,window_030,291,300,10,6,0,4,0.6,0.0,0.4,3,2,0,0.75,0.5,0.5,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_031,301,310,10,5,0,5,0.5,0.0,0.5,5,4,0,1.0,0.8,1.0,<num> <num> <num> INFO dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_032,311,320,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.6667,<num> <num> <num> INFO dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_033,321,330,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.8,<num> <num> <num> INFO dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_034,331,340,10,6,0,4,0.6,0.0,0.4,4,3,0,1.0,0.75,0.75,<num> <num> <num> INFO dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_035,341,350,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.5,<num> <num> <num> WARN dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_036,351,360,10,2,0,8,0.2,0.0,0.8,8,5,0,1.0,0.625,0.5,<num> <num> <num> INFO dfs.DataNode$DataXceiver:,stable_attached_residual
10,window_037,361,370,10,6,0,4,0.6,0.0,0.4,2,3,0,0.5,0.75,1.0,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
10,window_038,371,380,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,1.0,<num> <num> <num> INFO dfs.FSNamesystem:,partial_residual_cluster
10,window_039,381,390,10,6,0,4,0.6,0.0,0.4,3,2,0,0.75,0.5,1.0,<num> <num> <num> INFO dfs.FSNamesystem:,stable_attached_residual
