"file","current_regime","previous_regime","next_regime","neighborhood_signature","occurrences"
"HDFS_2k.log","stable","stable","stable","stable-stable-stable","1339"
"HDFS_2k.log","stable","residual","stable","residual-stable-stable","102"
"HDFS_2k.log","stable","stable","residual","stable-stable-residual","102"
"HDFS_2k.log","stable","stable","middle","stable-stable-middle","31"
"HDFS_2k.log","stable","middle","stable","middle-stable-stable","31"
"HDFS_2k.log","stable","middle","middle","middle-stable-middle","30"
"HDFS_2k.log","stable","residual","middle","residual-stable-middle","13"
"HDFS_2k.log","stable","residual","residual","residual-stable-residual","12"
"HDFS_2k.log","stable","middle","residual","middle-stable-residual","8"
"HDFS_2k.log","stable","boundary","stable","boundary-stable-stable","1"
"HDFS_2k.log","stable","stable","boundary","stable-stable-boundary","1"
"HDFS_2k.log","residual","stable","stable","stable-residual-stable","101"
"HDFS_2k.log","residual","residual","stable","residual-residual-stable","13"
"HDFS_2k.log","residual","middle","stable","middle-residual-stable","13"
"HDFS_2k.log","residual","stable","residual","stable-residual-residual","12"
"HDFS_2k.log","residual","stable","middle","stable-residual-middle","9"
"HDFS_2k.log","residual","middle","middle","middle-residual-middle","9"
"HDFS_2k.log","residual","middle","residual","middle-residual-residual","3"
"HDFS_2k.log","residual","residual","middle","residual-residual-middle","2"
"HDFS_2k.log","residual","residual","residual","residual-residual-residual","2"
"HDFS_2k.log","middle","stable","middle","stable-middle-middle","35"
"HDFS_2k.log","middle","middle","stable","middle-middle-stable","31"
"HDFS_2k.log","middle","stable","stable","stable-middle-stable","30"
"HDFS_2k.log","middle","middle","middle","middle-middle-middle","27"
"HDFS_2k.log","middle","middle","residual","middle-middle-residual","14"
"HDFS_2k.log","middle","residual","middle","residual-middle-middle","10"
"HDFS_2k.log","middle","stable","residual","stable-middle-residual","9"
"HDFS_2k.log","middle","residual","stable","residual-middle-stable","8"
"HDFS_2k.log","middle","residual","residual","residual-middle-residual","2"
