"file","current_regime","previous_regime","next_regime","neighborhood_signature","occurrences"
"Linux_2k.log","stable","stable","stable","stable-stable-stable","1823"
"Linux_2k.log","stable","middle","stable","middle-stable-stable","11"
"Linux_2k.log","stable","stable","middle","stable-stable-middle","10"
"Linux_2k.log","stable","stable","residual","stable-stable-residual","5"
"Linux_2k.log","stable","middle","middle","middle-stable-middle","4"
"Linux_2k.log","stable","residual","stable","residual-stable-stable","3"
"Linux_2k.log","stable","boundary","stable","boundary-stable-stable","1"
"Linux_2k.log","residual","residual","residual","residual-residual-residual","87"
"Linux_2k.log","residual","stable","residual","stable-residual-residual","3"
"Linux_2k.log","residual","residual","middle","residual-residual-middle","2"
"Linux_2k.log","residual","stable","stable","stable-residual-stable","2"
"Linux_2k.log","residual","residual","boundary","residual-residual-boundary","1"
"Linux_2k.log","residual","middle","residual","middle-residual-residual","1"
"Linux_2k.log","residual","residual","stable","residual-residual-stable","1"
"Linux_2k.log","middle","middle","middle","middle-middle-middle","18"
"Linux_2k.log","middle","middle","stable","middle-middle-stable","11"
"Linux_2k.log","middle","stable","middle","stable-middle-middle","10"
"Linux_2k.log","middle","stable","stable","stable-middle-stable","4"
"Linux_2k.log","middle","residual","middle","residual-middle-middle","2"
"Linux_2k.log","middle","middle","residual","middle-middle-residual","1"
