"file","current_regime","previous_regime","next_regime","neighborhood_signature","occurrences"
"Thunderbird_2k.log","stable","stable","stable","stable-stable-stable","448"
"Thunderbird_2k.log","stable","stable","residual","stable-stable-residual","167"
"Thunderbird_2k.log","stable","residual","stable","residual-stable-stable","166"
"Thunderbird_2k.log","stable","middle","stable","middle-stable-stable","89"
"Thunderbird_2k.log","stable","stable","middle","stable-stable-middle","88"
"Thunderbird_2k.log","stable","residual","residual","residual-stable-residual","47"
"Thunderbird_2k.log","stable","middle","residual","middle-stable-residual","27"
"Thunderbird_2k.log","stable","residual","middle","residual-stable-middle","17"
"Thunderbird_2k.log","stable","middle","middle","middle-stable-middle","16"
"Thunderbird_2k.log","residual","residual","residual","residual-residual-residual","252"
"Thunderbird_2k.log","residual","stable","stable","stable-residual-stable","129"
"Thunderbird_2k.log","residual","residual","stable","residual-residual-stable","79"
"Thunderbird_2k.log","residual","stable","residual","stable-residual-residual","78"
"Thunderbird_2k.log","residual","stable","middle","stable-residual-middle","34"
"Thunderbird_2k.log","residual","middle","residual","middle-residual-residual","31"
"Thunderbird_2k.log","residual","residual","middle","residual-residual-middle","31"
"Thunderbird_2k.log","residual","middle","stable","middle-residual-stable","22"
"Thunderbird_2k.log","residual","middle","middle","middle-residual-middle","14"
"Thunderbird_2k.log","residual","boundary","residual","boundary-residual-residual","1"
"Thunderbird_2k.log","middle","stable","stable","stable-middle-stable","64"
"Thunderbird_2k.log","middle","residual","stable","residual-middle-stable","50"
"Thunderbird_2k.log","middle","stable","residual","stable-middle-residual","32"
"Thunderbird_2k.log","middle","stable","middle","stable-middle-middle","25"
"Thunderbird_2k.log","middle","middle","residual","middle-middle-residual","23"
"Thunderbird_2k.log","middle","middle","middle","middle-middle-middle","22"
"Thunderbird_2k.log","middle","middle","stable","middle-middle-stable","18"
"Thunderbird_2k.log","middle","residual","middle","residual-middle-middle","17"
"Thunderbird_2k.log","middle","residual","residual","residual-middle-residual","12"
"Thunderbird_2k.log","middle","middle","boundary","middle-middle-boundary","1"
