"file","bucket","middle_form","occurrence_count","distinct_neighborhood_count","max_neighborhood_reuse","shared_neighborhood_ratio","context_reuse_ratio","neighborhood_pattern_signature"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> #<num># Nov <num> <num>:<num>:<num> #<num>#/#<num># sshd[<num>]: connection from ""#<num>#""","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> #<num># Nov <num> <num>:<num>:<num> #<num>#/#<num># sshd[<num>]: User #<num>#, coming from #<num>#, authenticated.","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> #<num># Nov <num> <num>:<num>:<num> #<num>#/#<num># sshd2[<num>]: Now running on #<num>#'s privileges.","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> aadmin1 Nov <num> <num>:<num>:<num> src@aadmin1 crond(pam_unix)[<num>]: session closed for user root","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> aadmin1 Nov <num> <num>:<num>:<num> src@aadmin1 sendmail[<num>]: unable to qualify my own domain name (aadmin1) -- using short name","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> badmin1 Nov <num> <num>:<num>:<num> src@badmin1 crond(pam_unix)[<num>]: session closed for user root","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> badmin1 Nov <num> <num>:<num>:<num> src@badmin1 sendmail[<num>]: unable to qualify my own domain name (badmin1) -- using short name","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn115 Nov <num> <num>:<num>:<num> bn115/bn115 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn141 Nov <num> <num>:<num>:<num> bn141/bn141 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn145 Nov <num> <num>:<num>:<num> bn145/bn145 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn19 Nov <num> <num>:<num>:<num> bn19/bn19 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn316 Nov <num> <num>:<num>:<num> bn316/bn316 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn321 Nov <num> <num>:<num>:<num> bn321/bn321 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn363 Nov <num> <num>:<num>:<num> bn363/bn363 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn508 Nov <num> <num>:<num>:<num> bn508/bn508 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn643 Nov <num> <num>:<num>:<num> bn643/bn643 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn71 Nov <num> <num>:<num>:<num> bn71/bn71 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn772 Nov <num> <num>:<num>:<num> bn772/bn772 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn846 Nov <num> <num>:<num>:<num> bn846/bn846 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn93 Nov <num> <num>:<num>:<num> bn93/bn93 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn978 Nov <num> <num>:<num>:<num> bn978/bn978 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> bn999 Nov <num> <num>:<num>:<num> bn999/bn999 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cadmin1 Nov <num> <num>:<num>:<num> src@cadmin1 crond(pam_unix)[<num>]: session closed for user root","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cadmin1 Nov <num> <num>:<num>:<num> src@cadmin1 sendmail[<num>]: unable to qualify my own domain name (cadmin1) -- using short name","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn103 Nov <num> <num>:<num>:<num> cn103/cn103 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn202 Nov <num> <num>:<num>:<num> cn202/cn202 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn204 Nov <num> <num>:<num>:<num> cn204/cn204 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn205 Nov <num> <num>:<num>:<num> cn205/cn205 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn212 Nov <num> <num>:<num>:<num> cn212/cn212 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn225 Nov <num> <num>:<num>:<num> cn225/cn225 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn254 Nov <num> <num>:<num>:<num> cn254/cn254 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn290 Nov <num> <num>:<num>:<num> cn290/cn290 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn302 Nov <num> <num>:<num>:<num> cn302/cn302 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn306 Nov <num> <num>:<num>:<num> cn306/cn306 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
"Thunderbird_2k.log","2","- <hex> <num>.<num>.<num> cn315 Nov <num> <num>:<num>:<num> cn315/cn315 ntpd[<num>]: synchronized to <ip>, stratum <num>","2","2","1","0.5","0","1-1"
