terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
bgl_loghub_first_137074_001,25,50,1,25,1,50,1.0000,stable,stable,dominant_stable,dominant_stable,0.0200,0.0000,-0.0200,persisted
bgl_loghub_first_137074_001,25,50,26,50,1,50,1.0000,stable,stable,dominant_stable,dominant_stable,-0.0200,0.0000,0.0200,persisted
bgl_loghub_first_137074_001,25,50,51,75,51,100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,76,100,51,100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,101,125,101,150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,126,150,101,150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,151,175,151,200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,176,200,151,200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,201,225,201,250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,226,250,201,250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,251,275,251,300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,276,300,251,300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,301,325,301,350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,326,350,301,350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,351,375,351,400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,376,400,351,400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,401,425,401,450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,426,450,401,450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,451,475,451,500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,476,500,451,500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,501,525,501,550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,526,550,501,550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,551,575,551,600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,576,600,551,600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,601,625,601,650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,626,650,601,650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,651,675,651,700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,676,700,651,700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,701,725,701,750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,726,750,701,750,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,751,775,751,800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,776,800,751,800,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,801,825,801,850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,826,850,801,850,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,851,875,851,900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,876,900,851,900,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,901,925,901,950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,926,950,901,950,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,951,975,951,1000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,976,1000,951,1000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1001,1025,1001,1050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1026,1050,1001,1050,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1051,1075,1051,1100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1076,1100,1051,1100,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1101,1125,1101,1150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1126,1150,1101,1150,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1151,1175,1151,1200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1176,1200,1151,1200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1201,1225,1201,1250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1226,1250,1201,1250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1251,1275,1251,1300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1276,1300,1251,1300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1301,1325,1301,1350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1326,1350,1301,1350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1351,1375,1351,1400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1376,1400,1351,1400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1401,1425,1401,1450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1426,1450,1401,1450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1451,1475,1451,1500,1.0000,stable,stable,dominant_stable,dominant_stable,-0.0200,0.0000,0.0200,persisted
bgl_loghub_first_137074_001,25,50,1476,1500,1451,1500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0200,0.0000,-0.0200,persisted
bgl_loghub_first_137074_001,25,50,1501,1525,1501,1550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1526,1550,1501,1550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1551,1575,1551,1600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1576,1600,1551,1600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1601,1625,1601,1650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1626,1650,1601,1650,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
bgl_loghub_first_137074_001,25,50,1651,1675,1651,1700,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
