terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
electricity_hourly_relation_001,bin_0001,1,500,69,53,16,0,0,0,16,0.2319,persisted,dense_deformation
electricity_hourly_relation_001,bin_0002,501,1000,75,57,18,0,0,0,18,0.2400,persisted,dense_deformation
electricity_hourly_relation_001,bin_0003,1001,1500,71,54,17,0,0,0,17,0.2394,persisted,dense_deformation
electricity_hourly_relation_001,bin_0004,1501,2000,72,56,16,0,0,0,16,0.2222,persisted,dense_deformation
electricity_hourly_relation_001,bin_0005,2001,2500,74,63,11,0,0,0,11,0.1486,persisted,dense_deformation
electricity_hourly_relation_001,bin_0006,2501,3000,71,62,9,0,0,0,9,0.1268,persisted,localized_deformation
electricity_hourly_relation_001,bin_0007,3001,3500,70,54,16,0,0,0,16,0.2286,persisted,dense_deformation
electricity_hourly_relation_001,bin_0008,3501,4000,73,55,18,0,0,0,18,0.2466,persisted,dense_deformation
electricity_hourly_relation_001,bin_0009,4001,4500,72,53,19,0,0,0,19,0.2639,persisted,dense_deformation
electricity_hourly_relation_001,bin_0010,4501,5000,70,52,18,0,0,0,18,0.2571,persisted,dense_deformation
electricity_hourly_relation_001,bin_0011,5001,5500,74,59,15,0,0,0,15,0.2027,persisted,dense_deformation
electricity_hourly_relation_001,bin_0012,5501,6000,71,54,17,0,0,0,17,0.2394,persisted,dense_deformation
electricity_hourly_relation_001,bin_0013,6001,6500,72,55,17,0,0,0,17,0.2361,persisted,dense_deformation
electricity_hourly_relation_001,bin_0014,6501,7000,74,56,18,0,0,0,18,0.2432,persisted,dense_deformation
electricity_hourly_relation_001,bin_0015,7001,7500,69,52,17,0,0,0,17,0.2464,persisted,dense_deformation
electricity_hourly_relation_001,bin_0016,7501,8000,71,50,21,0,0,0,21,0.2958,persisted,dense_deformation
electricity_hourly_relation_001,bin_0017,8001,8500,74,57,17,0,0,0,17,0.2297,persisted,dense_deformation
electricity_hourly_relation_001,bin_0018,8501,9000,72,58,14,0,0,0,14,0.1944,persisted,dense_deformation
electricity_hourly_relation_001,bin_0019,9001,9500,71,54,17,0,0,0,17,0.2394,persisted,dense_deformation
electricity_hourly_relation_001,bin_0020,9501,10000,74,60,14,0,0,0,14,0.1892,persisted,dense_deformation
electricity_hourly_relation_001,bin_0021,10001,10500,69,51,18,0,0,0,18,0.2609,persisted,dense_deformation
electricity_hourly_relation_001,bin_0022,10501,11000,70,53,17,0,0,0,17,0.2429,persisted,dense_deformation
electricity_hourly_relation_001,bin_0023,11001,11500,76,66,10,0,0,0,10,0.1316,persisted,dense_deformation
electricity_hourly_relation_001,bin_0024,11501,12000,71,57,14,0,0,0,14,0.1972,persisted,dense_deformation
electricity_hourly_relation_001,bin_0025,12001,12500,71,57,14,0,0,0,14,0.1972,persisted,dense_deformation
electricity_hourly_relation_001,bin_0026,12501,13000,73,58,15,0,0,0,15,0.2055,persisted,dense_deformation
electricity_hourly_relation_001,bin_0027,13001,13500,72,54,18,0,0,0,18,0.2500,persisted,dense_deformation
electricity_hourly_relation_001,bin_0028,13501,14000,70,52,18,0,0,0,18,0.2571,persisted,dense_deformation
electricity_hourly_relation_001,bin_0029,14001,14500,73,53,20,0,0,0,20,0.2740,persisted,dense_deformation
electricity_hourly_relation_001,bin_0030,14501,15000,71,54,17,0,0,0,17,0.2394,persisted,dense_deformation
electricity_hourly_relation_001,bin_0031,15001,15500,70,57,13,0,0,0,13,0.1857,persisted,dense_deformation
electricity_hourly_relation_001,bin_0032,15501,16000,76,61,15,0,0,0,15,0.1974,persisted,dense_deformation
electricity_hourly_relation_001,bin_0033,16001,16500,71,55,16,0,0,0,16,0.2254,persisted,dense_deformation
electricity_hourly_relation_001,bin_0034,16501,17000,72,52,20,0,0,0,20,0.2778,persisted,dense_deformation
electricity_hourly_relation_001,bin_0035,17001,17500,72,57,15,0,0,0,15,0.2083,persisted,dense_deformation
electricity_hourly_relation_001,bin_0036,17501,18000,69,51,17,1,0,0,18,0.2609,persisted,dense_deformation
electricity_hourly_relation_001,bin_0037,18001,18500,72,53,19,0,0,0,19,0.2639,persisted,dense_deformation
