hour_index,aggregate_load
0,417485.000000
1,450840.000000
2,444362.000000
3,425436.000000
4,414821.000000
5,407800.000000
6,415568.000000
7,428814.000000
8,433736.000000
9,460745.000000
10,483755.000000
11,486797.000000
12,545229.000000
13,539616.000000
14,546799.000000
15,549823.000000
16,550302.000000
17,581072.000000
18,635048.000000
19,635156.000000
20,635848.000000
21,624432.000000
22,607233.000000
23,554427.000000
24,488357.000000
25,425183.000000
26,416956.000000
27,402584.000000
28,398686.000000
29,425951.000000
30,492383.000000
31,578532.000000
32,624248.000000
33,759565.000000
34,854761.000000
35,891610.000000
36,943887.000000
37,943847.000000
38,947112.000000
39,946985.000000
40,966890.000000
41,998743.000000
42,1067964.000000
43,1049741.000000
44,1017823.000000
45,984652.000000
46,870267.000000
47,729149.000000
48,563778.000000
49,470410.000000
50,448366.000000
51,429312.000000
52,408350.000000
53,424243.000000
54,487719.000000
55,584191.000000
56,621691.000000
57,775660.000000
58,865536.000000
59,881011.000000
60,915940.000000
61,935403.000000
62,949259.000000
63,931683.000000
64,948919.000000
65,996441.000000
66,1050902.000000
67,1046255.000000
68,978178.000000
69,940188.000000
70,867902.000000
71,723582.000000
72,560886.000000
73,462533.000000
74,439624.000000
75,419619.000000
76,397713.000000
77,422501.000000
78,490957.000000
79,593874.000000
80,630375.000000
81,777209.000000
82,859464.000000
83,884077.000000
84,916916.000000
85,932715.000000
86,939156.000000
87,950063.000000
88,962120.000000
89,984457.000000
90,1065712.000000
91,1057124.000000
92,991792.000000
93,954182.000000
94,884045.000000
95,734147.000000
96,574468.000000
97,479456.000000
98,451752.000000
99,433908.000000
100,414917.000000
101,430703.000000
102,494952.000000
103,595989.000000
104,632565.000000
105,771390.000000
106,864306.000000
107,883300.000000
108,920730.000000
109,944593.000000
110,942997.000000
111,956129.000000
112,962613.000000
113,997554.000000
114,1054183.000000
115,1053433.000000
116,984796.000000
117,937542.000000
118,859024.000000
119,721112.000000
120,567529.000000
121,468087.000000
122,444918.000000
123,425546.000000
124,415198.000000
125,427685.000000
126,496969.000000
127,602767.000000
128,639178.000000
129,777252.000000
130,875462.000000
131,895601.000000
132,912756.000000
133,941331.000000
134,939657.000000
135,942023.000000
136,961763.000000
137,988814.000000
138,1055477.000000
139,1048263.000000
140,1014649.000000
141,953153.000000
142,886379.000000
143,763675.000000
144,587879.000000
145,481185.000000
146,443855.000000
147,414061.000000
148,401406.000000
149,423605.000000
150,485104.000000
151,586367.000000
152,617798.000000
153,756732.000000
154,864668.000000
155,884584.000000
156,932219.000000
157,945742.000000
158,934230.000000
159,946079.000000
160,955956.000000
161,983323.000000
162,1052108.000000
163,1040041.000000
164,1013928.000000
165,975654.000000
166,877853.000000
167,763571.000000
168,591649.000000
169,486805.000000
170,461626.000000
171,437079.000000
172,395799.000000
173,417835.000000
174,473566.000000
175,574439.000000
176,592422.000000
177,732139.000000
178,837844.000000
179,872368.000000
180,901007.000000
181,907452.000000
182,907259.000000
183,918325.000000
184,926784.000000
185,960536.000000
186,1017085.000000
187,1002649.000000
188,972124.000000
189,941353.000000
190,853531.000000
191,693052.000000
192,527280.000000
193,437886.000000
194,424549.000000
195,409745.000000
196,390575.000000
197,405512.000000
198,473335.000000
199,574771.000000
200,599529.000000
201,748991.000000
202,838949.000000
203,871962.000000
204,877567.000000
205,917765.000000
206,921946.000000
207,912435.000000
208,922276.000000
209,953823.000000
210,1025769.000000
211,1024890.000000
212,984440.000000
213,924950.000000
214,842503.000000
215,705230.000000
216,545410.000000
217,454136.000000
218,435754.000000
219,418564.000000
220,397738.000000
221,419424.000000
222,489988.000000
223,588199.000000
224,625022.000000
225,755982.000000
226,843942.000000
227,878714.000000
228,889632.000000
229,924939.000000
230,910808.000000
231,928186.000000
232,930658.000000
233,958250.000000
234,1037713.000000
235,1031972.000000
236,986990.000000
237,963104.000000
238,876306.000000
239,707849.000000
240,543899.000000
241,456972.000000
242,441240.000000
243,416011.000000
244,396607.000000
245,414785.000000
246,482841.000000
247,588668.000000
248,630690.000000
249,766224.000000
250,857557.000000
251,874222.000000
252,912549.000000
253,921819.000000
254,916341.000000
255,928416.000000
256,939209.000000
257,967241.000000
258,1033063.000000
259,1027587.000000
260,993478.000000
261,939284.000000
262,846197.000000
263,704841.000000
264,545384.000000
265,456363.000000
266,438033.000000
267,420634.000000
268,401385.000000
269,416117.000000
270,493148.000000
271,587526.000000
272,635189.000000
273,763398.000000
274,851461.000000
275,864209.000000
276,899787.000000
277,912640.000000
278,889765.000000
279,906420.000000
280,919762.000000
281,964545.000000
282,1024356.000000
283,1019164.000000
284,988550.000000
285,952003.000000
286,875606.000000
287,728589.000000
288,547786.000000
289,458545.000000
290,440384.000000
291,422076.000000
292,408959.000000
293,432958.000000
294,499078.000000
295,597694.000000
296,643760.000000
297,770541.000000
298,856837.000000
299,871956.000000
300,969407.000000
301,928718.000000
302,924679.000000
303,928315.000000
304,939279.000000
305,964883.000000
306,1047751.000000
307,1031943.000000
308,978276.000000
309,945118.000000
310,875368.000000
311,758363.000000
312,570953.000000
313,475775.000000
314,447901.000000
315,414661.000000
316,395303.000000
317,421521.000000
318,486898.000000
319,577382.000000
320,622624.000000
321,766573.000000
322,868309.000000
323,889439.000000
324,937993.000000
325,936847.000000
326,920431.000000
327,939949.000000
328,955890.000000
329,973837.000000
330,1044555.000000
331,1040355.000000
332,1009663.000000
333,978831.000000
334,886583.000000
335,754428.000000
336,580792.000000
337,483167.000000
338,459564.000000
339,436452.000000
340,399072.000000
341,414827.000000
342,476260.000000
343,576203.000000
344,599314.000000
345,760310.000000
346,861140.000000
347,881976.000000
348,922026.000000
349,926395.000000
350,905181.000000
351,907649.000000
352,925959.000000
353,953073.000000
354,1006936.000000
355,1001222.000000
356,961755.000000
357,936662.000000
358,842902.000000
359,666075.000000
360,536497.000000
361,452988.000000
362,434613.000000
363,422241.000000
364,410120.000000
365,440792.000000
366,490784.000000
367,592366.000000
368,633140.000000
369,753866.000000
370,845261.000000
371,867911.000000
372,876594.000000
373,903703.000000
374,909867.000000
375,908988.000000
376,925699.000000
377,944757.000000
378,1023080.000000
379,1016552.000000
380,990606.000000
381,952149.000000
382,853792.000000
383,713044.000000
384,558664.000000
385,477828.000000
386,452143.000000
387,428930.000000
388,407879.000000
389,437082.000000
390,490380.000000
391,591859.000000
392,627757.000000
393,751805.000000
394,847870.000000
395,867165.000000
396,896055.000000
397,908923.000000
398,905402.000000
399,919504.000000
400,921747.000000
401,939748.000000
402,1029953.000000
403,1018321.000000
404,983646.000000
405,949429.000000
406,878081.000000
407,706894.000000
408,549028.000000
409,463237.000000
410,434601.000000
411,412844.000000
412,398475.000000
413,412409.000000
414,486933.000000
415,587318.000000
416,634895.000000
417,762116.000000
418,846926.000000
419,868841.000000
420,887372.000000
421,915218.000000
422,898856.000000
423,919321.000000
424,924779.000000
425,948276.000000
426,1022945.000000
427,1013305.000000
428,983772.000000
429,950890.000000
430,857178.000000
431,703472.000000
432,537262.000000
433,452110.000000
434,431095.000000
435,413009.000000
436,394291.000000
437,420563.000000
438,476150.000000
439,590353.000000
440,616191.000000
441,756236.000000
442,846832.000000
443,882903.000000
444,919249.000000
445,913601.000000
446,905413.000000
447,915092.000000
448,927226.000000
449,952507.000000
450,1031129.000000
451,1022367.000000
452,992577.000000
453,961133.000000
454,866597.000000
455,713002.000000
456,562193.000000
457,478154.000000
458,456015.000000
459,436263.000000
460,422863.000000
461,435240.000000
462,490946.000000
463,599747.000000
464,640795.000000
465,765078.000000
466,853600.000000
467,868543.000000
468,892023.000000
469,915573.000000
470,931481.000000
471,933975.000000
472,953208.000000
473,968156.000000
474,1039742.000000
475,1040818.000000
476,1015858.000000
477,975241.000000
478,893542.000000
479,754336.000000
480,573204.000000
481,477233.000000
482,449112.000000
483,414970.000000
484,403157.000000
485,419532.000000
486,477442.000000
487,588018.000000
488,614436.000000
489,758132.000000
490,873087.000000
491,887864.000000
492,909426.000000
493,934745.000000
494,935713.000000
495,944270.000000
496,960240.000000
497,961935.000000
498,1041905.000000
499,1040304.000000
500,1004148.000000
501,953372.000000
502,888520.000000
503,753782.000000
504,573136.000000
505,487970.000000
506,465074.000000
507,439848.000000
508,398511.000000
509,414049.000000
510,475751.000000
511,572847.000000
512,589661.000000
513,746070.000000
514,852851.000000
515,876471.000000
516,906852.000000
517,903416.000000
518,898161.000000
519,907863.000000
520,930023.000000
521,938251.000000
522,1015872.000000
523,1013677.000000
524,978751.000000
525,923301.000000
526,831194.000000
527,678733.000000
528,539017.000000
529,449298.000000
530,436828.000000
531,422714.000000
532,407337.000000
533,424545.000000
534,486064.000000
535,586356.000000
536,615263.000000
537,748337.000000
538,841649.000000
539,863885.000000
540,891822.000000
541,921957.000000
542,916061.000000
543,909196.000000
544,923826.000000
545,948907.000000
546,1007613.000000
547,1020884.000000
548,990642.000000
549,928274.000000
550,845587.000000
551,711549.000000
552,553947.000000
553,466040.000000
554,449080.000000
555,429880.000000
556,419843.000000
557,439480.000000
558,500473.000000
559,597710.000000
560,625807.000000
561,752021.000000
562,843704.000000
563,858410.000000
564,887417.000000
565,919209.000000
566,907423.000000
567,912217.000000
568,912559.000000
569,945642.000000
570,1015938.000000
571,1016627.000000
572,949758.000000
573,918525.000000
574,855747.000000
575,708747.000000
576,552360.000000
577,462540.000000
578,446003.000000
579,426261.000000
580,416876.000000
581,441087.000000
582,491877.000000
583,592642.000000
584,639988.000000
585,753067.000000
586,840048.000000
587,857108.000000
588,891572.000000
589,920154.000000
590,910345.000000
591,919318.000000
592,912993.000000
593,938965.000000
594,1024348.000000
595,1019209.000000
596,961835.000000
597,925831.000000
598,847335.000000
599,698417.000000
600,540255.000000
601,454008.000000
602,433208.000000
603,413369.000000
604,399623.000000
605,421875.000000
606,493692.000000
607,596700.000000
608,633959.000000
609,757776.000000
610,850074.000000
611,866661.000000
612,903836.000000
613,930606.000000
614,931278.000000
615,930276.000000
616,932148.000000
617,958450.000000
618,1033359.000000
619,1021278.000000
620,962119.000000
621,937065.000000
622,848770.000000
623,705393.000000
624,542539.000000
625,451075.000000
626,430127.000000
627,402246.000000
628,392903.000000
629,416570.000000
630,493857.000000
631,588179.000000
632,640280.000000
633,760406.000000
634,852018.000000
635,866505.000000
636,893050.000000
637,912904.000000
638,906765.000000
639,920860.000000
640,925899.000000
641,944171.000000
642,1019069.000000
643,1019337.000000
644,967625.000000
645,935300.000000
646,869326.000000
647,748602.000000
648,563718.000000
649,471190.000000
650,448394.000000
651,413325.000000
652,398140.000000
653,416625.000000
654,494819.000000
655,583918.000000
656,620439.000000
657,758298.000000
658,850203.000000
659,875167.000000
660,910214.000000
661,932118.000000
662,904370.000000
663,927213.000000
664,936966.000000
665,942286.000000
666,1024323.000000
667,1040836.000000
668,964685.000000
669,926683.000000
670,871861.000000
671,746678.000000
672,569036.000000
673,466573.000000
674,447593.000000
675,425212.000000
676,384761.000000
677,393169.000000
678,466317.000000
679,552647.000000
680,585739.000000
681,737523.000000
682,841677.000000
683,865530.000000
684,889728.000000
685,896851.000000
686,874724.000000
687,888287.000000
688,903835.000000
689,919129.000000
690,982876.000000
691,998697.000000
692,948282.000000
693,899828.000000
694,812372.000000
695,670738.000000
696,533150.000000
697,440015.000000
698,425057.000000
699,407446.000000
700,411925.000000
701,420781.000000
702,493616.000000
703,580729.000000
704,627185.000000
705,748026.000000
706,831907.000000
707,860750.000000
708,891606.000000
709,920011.000000
710,896770.000000
711,918242.000000
712,934583.000000
713,936160.000000
714,1007553.000000
715,1026169.000000
716,982630.000000
717,946060.000000
718,869266.000000
719,729496.000000
720,531349.000000
721,441764.000000
722,424913.000000
723,404415.000000
724,391572.000000
725,406920.000000
726,474970.000000
727,580305.000000
728,629705.000000
729,757145.000000
730,841516.000000
731,871362.000000
732,888825.000000
733,918716.000000
734,923659.000000
735,920540.000000
736,922117.000000
737,945892.000000
738,1001309.000000
739,1025211.000000
740,966164.000000
741,924844.000000
742,854329.000000
743,697291.000000
744,534267.000000
745,444056.000000
746,430981.000000
747,411595.000000
748,403396.000000
749,427548.000000
750,496074.000000
751,597981.000000
752,642208.000000
753,762871.000000
754,843512.000000
755,875958.000000
756,893738.000000
757,932086.000000
758,919650.000000
759,923063.000000
760,937752.000000
761,948603.000000
762,1010036.000000
763,1020440.000000
764,966399.000000
765,930528.000000
766,853111.000000
767,707482.000000
768,539390.000000
769,443214.000000
770,427738.000000
771,407621.000000
772,397920.000000
773,418554.000000
774,488760.000000
775,590899.000000
776,638079.000000
777,768120.000000
778,847438.000000
779,866476.000000
780,887655.000000
781,918545.000000
782,899691.000000
783,899795.000000
784,911128.000000
785,927807.000000
786,999966.000000
787,1013479.000000
788,970674.000000
789,917848.000000
790,844575.000000
791,698396.000000
792,536825.000000
793,442242.000000
794,421698.000000
795,403846.000000
796,386754.000000
797,405878.000000
798,472390.000000
799,577467.000000
800,625380.000000
801,757535.000000
802,838787.000000
803,863769.000000
804,882494.000000
805,895505.000000
806,907391.000000
807,912530.000000
808,920731.000000
809,950057.000000
810,998360.000000
811,1026672.000000
812,974282.000000
813,926377.000000
814,860702.000000
815,741754.000000
816,564926.000000
817,471537.000000
818,438925.000000
819,398947.000000
820,373147.000000
821,393707.000000
822,467295.000000
823,556440.000000
824,602491.000000
825,758149.000000
826,847484.000000
827,885323.000000
828,888209.000000
829,879254.000000
830,873595.000000
831,871477.000000
832,897094.000000
833,903187.000000
834,977595.000000
835,995104.000000
836,963605.000000
837,920011.000000
838,855488.000000
839,734724.000000
840,562642.000000
841,466759.000000
842,443864.000000
843,407415.000000
844,369727.000000
845,393219.000000
846,465294.000000
847,552204.000000
848,586981.000000
849,743083.000000
850,830062.000000
851,873062.000000
852,887469.000000
853,862225.000000
854,870131.000000
855,863689.000000
856,874851.000000
857,880240.000000
858,948937.000000
859,969225.000000
860,942123.000000
861,904238.000000
862,812626.000000
863,673096.000000
864,540722.000000
865,448831.000000
866,430408.000000
867,406023.000000
868,397525.000000
869,421466.000000
870,484265.000000
871,575337.000000
872,624418.000000
873,761472.000000
874,838060.000000
875,872377.000000
876,879087.000000
877,909535.000000
878,921178.000000
879,915342.000000
880,928428.000000
881,930655.000000
882,1000307.000000
883,1024510.000000
884,959148.000000
885,924614.000000
886,846606.000000
887,697036.000000
888,547029.000000
889,451162.000000
890,436001.000000
891,408481.000000
892,400291.000000
893,428482.000000
894,494106.000000
895,593069.000000
896,640151.000000
897,766425.000000
898,845443.000000
899,863190.000000
900,879450.000000
901,908530.000000
902,914082.000000
903,919794.000000
904,924315.000000
905,939573.000000
906,996768.000000
907,1015339.000000
908,998267.000000
909,951059.000000
910,865091.000000
911,726311.000000
912,547082.000000
913,433123.000000
914,423455.000000
915,401988.000000
916,399499.000000
917,412646.000000
918,479026.000000
919,576519.000000
920,627484.000000
921,761517.000000
922,838884.000000
923,855309.000000
924,879338.000000
925,900543.000000
926,911022.000000
927,896674.000000
928,907038.000000
929,932207.000000
930,985167.000000
931,1009485.000000
932,990867.000000
933,935944.000000
934,862598.000000
935,698570.000000
936,528156.000000
937,430855.000000
938,409429.000000
939,389373.000000
940,384685.000000
941,414466.000000
942,478783.000000
943,578220.000000
944,628114.000000
945,749454.000000
946,832219.000000
947,861599.000000
948,873971.000000
949,906306.000000
950,899372.000000
