window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
25,1,1,25,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_trace_scattered ne_trace_scattered sw_trace_compact se_trace_compact,generic
25,2,26,50,25,23,2,0,0.92,0.08,0.0,,,,,,0.56,life localrule total_thin nw_trace_scattered ne_trace_broken sw_trace_compact se_trace_compact,generic
25,3,51,75,25,25,0,0,1.0,0.0,0.0,,,,,,0.84,life localrule total_thin nw_trace_scattered ne_trace_broken sw_trace_compact se_trace_compact,generic
25,4,76,100,25,24,0,1,0.96,0.0,0.04,,,,,,0.96,life localrule total_thin nw_trace_scattered ne_trace_scattered sw_trace_compact se_trace_compact,generic
25,5,101,125,25,19,6,0,0.76,0.24,0.0,,,,,,0.44,life localrule total_thin nw_trace_broken ne_trace_scattered sw_trace_compact se_trace_compact,generic
25,6,126,150,25,25,0,0,1.0,0.0,0.0,,,,,,0.84,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,7,151,175,25,25,0,0,1.0,0.0,0.0,,,,,,0.56,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_broken,generic
25,8,176,200,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,9,201,225,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,10,226,250,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,11,251,275,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,12,276,300,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,13,301,325,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,14,326,350,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,15,351,375,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,16,376,400,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,17,401,425,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,18,426,450,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,19,451,475,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,20,476,500,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,21,501,525,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,22,526,550,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,23,551,575,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,24,576,600,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,25,601,625,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,26,626,650,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,27,651,675,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,28,676,700,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,29,701,725,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,30,726,750,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,31,751,775,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,32,776,800,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,33,801,825,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,34,826,850,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,35,851,875,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,36,876,900,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,37,901,925,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,38,926,950,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,39,951,975,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,40,976,1000,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,41,1001,1025,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,42,1026,1050,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,43,1051,1075,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,44,1076,1100,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,45,1101,1125,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,46,1126,1150,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,47,1151,1175,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,48,1176,1200,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,49,1201,1225,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,50,1226,1250,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,51,1251,1275,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,52,1276,1300,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,53,1301,1325,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,54,1326,1350,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,55,1351,1375,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,56,1376,1400,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,57,1401,1425,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,58,1426,1450,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,59,1451,1475,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,60,1476,1500,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,61,1501,1525,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,62,1526,1550,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
25,63,1551,1575,25,25,0,0,1.0,0.0,0.0,,,,,,1.0,life localrule total_thin nw_empty_none ne_trace_broken sw_trace_compact se_trace_scattered,generic
