terrain_id,candidate_id,bin_size,span_start,span_end,bin_count,active_bin_count,quiet_bin_count,distributed_low_count,localized_deformation_count,dense_deformation_count,dominant_localization_class,candidate_type,boundary_note
hdfs_loghub_first_137074_001,candidate_0001,500,1,2500,5,5,0,0,2,3,dense_deformation,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0002,500,3001,5500,5,5,0,4,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0003,500,6001,6500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0004,500,7001,12000,10,10,0,10,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0005,500,12501,14500,4,4,0,3,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0006,500,15501,17000,3,3,0,2,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0007,500,17501,18000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0008,500,18501,23000,9,9,0,7,2,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0009,500,23501,25500,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0010,500,26001,28000,4,4,0,3,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0011,500,28501,29000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0012,500,29501,30500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0013,500,31001,34000,6,6,0,6,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0014,500,34501,38500,8,8,0,5,3,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0015,500,39001,44500,11,11,0,9,2,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0016,500,45001,47500,5,5,0,5,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0017,500,48001,51000,6,6,0,5,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0018,500,52001,53000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0019,500,54001,57000,6,6,0,5,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0020,500,57501,64000,13,13,0,12,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0021,500,64501,65000,1,1,0,0,1,0,localized_deformation,localized_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0022,500,66001,69000,6,6,0,5,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0023,500,69501,70000,1,1,0,0,1,0,localized_deformation,localized_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0024,500,70501,71000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0025,500,72001,74000,4,4,0,1,3,0,localized_deformation,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0026,500,74501,77500,6,6,0,6,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0027,500,78001,79000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0028,500,79501,88500,18,18,0,14,4,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0029,500,89001,91500,5,5,0,3,2,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0030,500,92001,97500,11,11,0,10,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0031,500,98001,109000,22,22,0,20,2,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0032,500,109501,110000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0033,500,110501,112500,4,4,0,2,2,0,localized_deformation,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0034,500,113001,114500,3,3,0,2,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0035,500,115501,116500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0036,500,117001,121000,8,8,0,8,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0037,500,121501,125000,7,7,0,7,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0038,500,125501,134000,17,17,0,14,3,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0039,500,134501,135000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
hdfs_loghub_first_137074_001,candidate_0040,500,135501,137000,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
