window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
25,1,1,25,25,25,0,0,1.0,0.0,0.0,,,,,,0.4,beat rr=rr_long delta=delta_up member=<num>,generic
25,2,26,50,25,23,2,0,0.92,0.08,0.0,,,,,,0.64,beat rr=rr_long delta=delta_down member=<num>,generic
25,3,51,75,25,25,0,0,1.0,0.0,0.0,,,,,,0.44,beat rr=rr_long delta=delta_up member=<num>,generic
25,4,76,100,25,22,3,0,0.88,0.12,0.0,,,,,,0.52,beat rr=rr_long delta=delta_down member=<num>,generic
25,5,101,125,25,25,0,0,1.0,0.0,0.0,,,,,,0.48,beat rr=rr_long delta=delta_up member=<num>,generic
25,6,126,150,25,23,2,0,0.92,0.08,0.0,,,,,,0.52,beat rr=rr_long delta=delta_up member=<num>,generic
25,7,151,175,25,25,0,0,1.0,0.0,0.0,,,,,,0.44,beat rr=rr_long delta=delta_down member=<num>,generic
25,8,176,200,25,25,0,0,1.0,0.0,0.0,,,,,,0.44,beat rr=rr_long delta=delta_up member=<num>,generic
25,9,201,225,25,25,0,0,1.0,0.0,0.0,,,,,,0.4,beat rr=rr_long delta=delta_down member=<num>,generic
25,10,226,250,25,25,0,0,1.0,0.0,0.0,,,,,,0.36,beat rr=rr_long delta=delta_up member=<num>,generic
25,11,251,275,25,25,0,0,1.0,0.0,0.0,,,,,,0.44,beat rr=rr_long delta=delta_up member=<num>,generic
25,12,276,300,25,25,0,0,1.0,0.0,0.0,,,,,,0.4,beat rr=rr_long delta=delta_up member=<num>,generic
25,13,301,325,25,25,0,0,1.0,0.0,0.0,,,,,,0.4,beat rr=rr_long delta=delta_up member=<num>,generic
25,14,326,350,25,25,0,0,1.0,0.0,0.0,,,,,,0.4,beat rr=rr_long delta=delta_down member=<num>,generic
25,15,351,375,25,25,0,0,1.0,0.0,0.0,,,,,,0.4,beat rr=rr_long delta=delta_down member=<num>,generic
