from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
25,40,1,1,middle,middle,1-250,1-240,240,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,1,2,middle,stable,1-250,241-280,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,3,2,middle,stable,276-600,241-280,5,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,3,3,middle,middle,276-600,281-600,320,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,5,4,middle,stable,626-675,601-640,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,5,5,middle,middle,626-675,641-680,35,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,6,5,stable,middle,676-2925,641-680,5,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,6,6,stable,stable,676-2925,681-2920,2240,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,7,7,residual,residual,2926-3200,2921-3160,235,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,7,8,residual,stable,2926-3200,3161-3200,40,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,9,9,stable,middle,3226-5150,3201-3240,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,9,10,stable,stable,3226-5150,3241-5120,1880,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,13,13,residual,residual,5826-5850,5801-5840,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,13,14,residual,stable,5826-5850,5841-5880,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,15,14,residual,stable,5876-5900,5841-5880,5,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,15,15,residual,middle,5876-5900,5881-6240,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,23,17,residual,residual,7451-7725,7401-7720,270,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,23,18,residual,stable,7451-7725,7721-7760,5,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,25,18,middle,stable,7751-7800,7721-7760,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,25,19,middle,middle,7751-7800,7761-7800,40,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,26,20,stable,stable,7801-21050,7801-21040,13240,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,26,21,stable,middle,7801-21050,21041-21080,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,28,21,residual,middle,21076-21375,21041-21080,5,3,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,28,22,residual,residual,21076-21375,21081-21360,280,3,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,28,23,residual,stable,21076-21375,21361-21400,15,3,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,30,24,middle,middle,21401-21450,21401-21440,40,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,30,25,middle,stable,21401-21450,21441-21640,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,31,25,stable,stable,21451-21650,21441-21640,190,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,31,26,stable,middle,21451-21650,21641-21680,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,33,26,stable,middle,21676-23375,21641-21680,5,3,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,33,27,stable,stable,21676-23375,21681-23360,1680,3,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,33,28,stable,middle,21676-23375,23361-23400,15,3,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,38,29,middle,residual,24026-24075,23401-24040,15,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,38,30,middle,middle,24026-24075,24041-24080,35,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,39,30,residual,middle,24076-24125,24041-24080,5,3,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,39,31,residual,residual,24076-24125,24081-24120,40,3,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,39,32,residual,stable,24076-24125,24121-25567,5,3,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,1,2,middle,stable,1-250,241-280,10,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,2,2,stable,stable,251-275,241-280,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,3,2,middle,stable,276-600,241-280,5,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,4,4,stable,stable,601-625,601-640,25,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,5,4,middle,stable,626-675,601-640,15,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,5,5,middle,middle,626-675,641-680,35,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,6,5,stable,middle,676-2925,641-680,5,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,8,9,middle,middle,3201-3225,3201-3240,25,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,9,9,stable,middle,3226-5150,3201-3240,15,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,12,13,middle,residual,5801-5825,5801-5840,25,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,13,13,residual,residual,5826-5850,5801-5840,15,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,13,14,residual,stable,5826-5850,5841-5880,10,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,14,14,stable,stable,5851-5875,5841-5880,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,15,14,residual,stable,5876-5900,5841-5880,5,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,15,15,residual,middle,5876-5900,5881-6240,20,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,16,15,middle,middle,5901-6250,5881-6240,340,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,17,16,stable,stable,6251-7325,6241-7400,1075,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,18,16,residual,stable,7326-7350,6241-7400,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,19,16,stable,stable,7351-7375,6241-7400,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,20,16,middle,stable,7376-7400,6241-7400,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,21,17,residual,residual,7401-7425,7401-7720,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,22,17,stable,residual,7426-7450,7401-7720,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,23,17,residual,residual,7451-7725,7401-7720,270,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,23,18,residual,stable,7451-7725,7721-7760,5,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,24,18,stable,stable,7726-7750,7721-7760,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,25,18,middle,stable,7751-7800,7721-7760,10,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,26,21,stable,middle,7801-21050,21041-21080,10,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,27,21,middle,middle,21051-21075,21041-21080,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,28,21,residual,middle,21076-21375,21041-21080,5,3,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,28,23,residual,stable,21076-21375,21361-21400,15,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,29,23,stable,stable,21376-21400,21361-21400,25,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,30,25,middle,stable,21401-21450,21441-21640,10,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,31,25,stable,stable,21451-21650,21441-21640,190,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,31,26,stable,middle,21451-21650,21641-21680,10,2,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,32,26,middle,middle,21651-21675,21641-21680,25,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,33,26,stable,middle,21676-23375,21641-21680,5,3,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,33,28,stable,middle,21676-23375,23361-23400,15,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,34,28,middle,middle,23376-23400,23361-23400,25,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,35,29,residual,residual,23401-23975,23401-24040,575,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,36,29,stable,residual,23976-24000,23401-24040,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,37,29,residual,residual,24001-24025,23401-24040,25,1,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,38,29,middle,residual,24026-24075,23401-24040,15,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,38,30,middle,middle,24026-24075,24041-24080,35,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,39,30,residual,middle,24076-24125,24041-24080,5,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,39,32,residual,stable,24076-24125,24121-25567,5,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,40,32,stable,stable,24126-25567,24121-25567,1442,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,10,11,middle,middle,5151-5475,5121-5480,325,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
25,40,11,11,stable,middle,5476-5800,5121-5480,5,1,1,recolored_overlap,observer-side overlap relation under adjacent constitution transition
25,40,11,12,stable,stable,5476-5800,5481-5800,320,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
40,50,10,4,stable,middle,3241-5120,3201-3250,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,10,5,stable,stable,3241-5120,3251-5150,1870,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,14,8,stable,residual,5841-5880,5801-5850,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,14,9,stable,stable,5841-5880,5851-5900,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,15,9,middle,stable,5881-6240,5851-5900,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,15,10,middle,middle,5881-6240,5901-6250,340,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,17,11,residual,stable,7401-7720,6251-7450,50,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,17,12,residual,residual,7401-7720,7451-7750,270,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,18,12,stable,residual,7721-7760,7451-7750,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,18,13,stable,middle,7721-7760,7751-7800,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,21,14,middle,stable,21041-21080,7801-21050,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,21,15,middle,residual,21041-21080,21051-21400,30,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,25,16,stable,middle,21441-21640,21401-21450,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,25,17,stable,stable,21441-21640,21451-21650,190,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,26,17,middle,stable,21641-21680,21451-21650,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
40,50,26,18,middle,middle,21641-21680,21651-21700,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
