from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
25,40,7,3,stable,stable,4326-4475,3441-4360,35,3,6,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,7,4,stable,residual,4326-4475,4361-4400,40,3,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,7,5,stable,stable,4326-4475,4401-4600,75,3,5,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,13,6,stable,residual,4626-4675,4601-4640,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,13,7,stable,stable,4626-4675,4641-4680,35,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,14,7,residual,stable,4676-4700,4641-4680,5,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,14,8,residual,residual,4676-4700,4681-4720,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,15,8,stable,residual,4701-4750,4681-4720,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,15,9,stable,stable,4701-4750,4721-4760,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,16,9,residual,stable,4751-4775,4721-4760,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,16,10,residual,residual,4751-4775,4761-4800,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,17,10,stable,residual,4776-4825,4761-4800,25,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,17,11,stable,stable,4776-4825,4801-4880,25,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,20,11,residual,stable,4876-4900,4801-4880,5,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,20,12,residual,residual,4876-4900,4881-4920,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,21,12,stable,residual,4901-4925,4881-4920,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,21,13,stable,stable,4901-4925,4921-4960,5,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,22,13,residual,stable,4926-5025,4921-4960,35,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,22,14,residual,residual,4926-5025,4961-5080,65,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,24,14,residual,residual,5051-5100,4961-5080,30,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,24,15,residual,stable,5051-5100,5081-5160,20,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,27,15,stable,stable,5151-5175,5081-5160,10,2,4,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,27,16,stable,residual,5151-5175,5161-5320,15,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,29,16,stable,residual,5301-5325,5161-5320,20,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,29,17,stable,stable,5301-5325,5321-5680,5,2,5,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,33,17,stable,stable,5651-5700,5321-5680,30,2,5,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,33,18,stable,residual,5651-5700,5681-5720,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,34,18,residual,residual,5701-5725,5681-5720,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,34,19,residual,stable,5701-5725,5721-5760,5,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,36,19,residual,stable,5751-5775,5721-5760,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,36,20,residual,residual,5751-5775,5761-6920,15,2,9,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,45,21,stable,stable,6951-7250,6921-7240,290,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,45,22,stable,residual,6951-7250,7241-7280,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,46,22,residual,residual,7251-7300,7241-7280,30,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,46,23,residual,stable,7251-7300,7281-7314,20,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,3,3,stable,stable,3451-4250,3441-4360,800,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,4,3,residual,stable,4251-4275,3441-4360,25,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,5,3,stable,stable,4276-4300,3441-4360,25,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,6,3,residual,stable,4301-4325,3441-4360,25,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,7,3,stable,stable,4326-4475,3441-4360,35,3,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,7,5,stable,stable,4326-4475,4401-4600,75,3,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,8,5,residual,stable,4476-4500,4401-4600,25,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
25,40,9,5,stable,stable,4501-4550,4401-4600,50,1,5,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
