from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,center_shift,width_change,relation_type,boundary_note
25,40,1,1,residual,residual,1-150,1-160,150,5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,3,2,residual,stable,176-1000,161-200,25,-407.5,-785,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,5,3,residual,residual,1026-3425,201-3040,2015,-605.0,440,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,5,4,residual,stable,1026-3425,3041-3080,40,835.0,-2360,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,13,5,residual,residual,4201-4575,3081-4560,360,-567.5,1105,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,14,6,stable,stable,4576-4600,4561-4600,25,-7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,15,7,residual,residual,4601-4925,4601-5120,325,97.5,195,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,18,8,stable,stable,5126-5175,5121-5160,35,-10.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,19,9,residual,residual,5176-7200,5161-8240,2025,512.5,1055,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,26,10,stable,stable,8251-8275,8241-8280,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,27,11,residual,residual,8276-8700,8281-9640,420,472.5,935,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,36,12,stable,stable,9651-9675,9641-9680,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,37,13,residual,residual,9676-10125,9681-10120,440,0.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,38,14,stable,stable,10126-10175,10121-10160,35,-10.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,39,15,residual,residual,10176-10875,10161-10240,65,-325.0,-620,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,39,16,residual,stable,10176-10875,10241-10280,40,-265.0,-660,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,41,17,residual,residual,10901-12025,10281-12800,1125,77.5,1395,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,46,18,stable,stable,12801-12825,12801-12840,25,7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,47,19,residual,residual,12826-14025,12841-15080,1185,535.0,1040,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,51,20,residual,stable,14426-15100,15081-15120,20,337.5,-635,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,53,21,residual,residual,15126-17650,15121-17640,2515,-7.5,-5,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,54,22,stable,stable,17651-17675,17641-17680,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,59,23,residual,residual,18051-18575,17681-18760,525,-92.5,555,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,63,24,residual,stable,18776-19400,18761-18800,25,-307.5,-585,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,63,25,residual,residual,18776-19400,18801-19720,600,172.5,295,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,66,26,stable,stable,19701-19750,19721-19760,30,15.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,73,27,residual,residual,21176-23600,19761-29880,2425,2432.5,7695,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,97,28,residual,stable,29626-30300,29881-29920,40,-62.5,-635,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,97,29,residual,residual,29626-30300,29921-30000,80,-2.5,-595,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,97,30,residual,stable,29626-30300,30001-30040,40,57.5,-635,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,103,31,residual,residual,31451-32525,30041-32880,1075,-527.5,1765,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,109,32,residual,stable,32826-32900,32881-32920,20,37.5,-35,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
