terrain_id,candidate_id,bin_size,span_start,span_end,bin_count,active_bin_count,quiet_bin_count,distributed_low_count,localized_deformation_count,dense_deformation_count,dominant_localization_class,candidate_type,boundary_note
openstack_long_horizon_001,candidate_0001,500,1,500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0002,500,1001,1500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0003,500,3001,5500,5,5,0,5,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0004,500,7001,11000,8,8,0,6,2,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0005,500,12001,13000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0006,500,14001,14500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0007,500,15001,15500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0008,500,17501,21500,8,8,0,7,1,0,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0009,500,23501,25000,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0010,500,26001,27000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0011,500,27501,28500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0012,500,29001,30500,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_long_horizon_001,candidate_0013,500,31001,31500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
