terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
openstack_long_horizon_001,25,50,1,25,1,50,1.0000,residual,residual,dominant_residual,dominant_residual,0.1000,0.0400,-0.1400,persisted
openstack_long_horizon_001,25,50,26,50,1,50,1.0000,residual,residual,dominant_residual,dominant_residual,-0.1000,-0.0400,0.1400,persisted
openstack_long_horizon_001,25,50,51,75,51,100,1.0000,residual,residual,dominant_residual,dominant_residual,0.0200,-0.0600,0.0400,persisted
openstack_long_horizon_001,25,50,76,100,51,100,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0200,0.0600,-0.0400,persisted
openstack_long_horizon_001,25,50,101,125,101,150,1.0000,residual,residual,dominant_residual,dominant_residual,0.0600,0.0200,-0.0800,persisted
openstack_long_horizon_001,25,50,126,150,101,150,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0600,-0.0200,0.0800,persisted
openstack_long_horizon_001,25,50,151,175,151,200,1.0000,stable,residual,mixed,mixed,-0.0200,-0.0600,0.0800,fragmented
openstack_long_horizon_001,25,50,176,200,151,200,1.0000,residual,residual,dominant_residual,mixed,0.0200,0.0600,-0.0800,persisted
openstack_long_horizon_001,25,50,201,225,201,250,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0600,0.0200,0.0400,persisted
openstack_long_horizon_001,25,50,226,250,201,250,1.0000,residual,residual,dominant_residual,dominant_residual,0.0600,-0.0200,-0.0400,persisted
openstack_long_horizon_001,25,50,251,275,251,300,1.0000,residual,residual,mixed,dominant_residual,-0.0800,-0.0400,0.1200,persisted
openstack_long_horizon_001,25,50,276,300,251,300,1.0000,residual,residual,dominant_residual,dominant_residual,0.0800,0.0400,-0.1200,persisted
openstack_long_horizon_001,25,50,301,325,301,350,1.0000,residual,residual,dominant_residual,dominant_residual,0.0400,0.0400,-0.0800,persisted
openstack_long_horizon_001,25,50,326,350,301,350,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0400,-0.0400,0.0800,persisted
openstack_long_horizon_001,25,50,351,375,351,400,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0400,-0.0400,0.0800,persisted
openstack_long_horizon_001,25,50,376,400,351,400,1.0000,residual,residual,dominant_residual,dominant_residual,0.0400,0.0400,-0.0800,persisted
openstack_long_horizon_001,25,50,401,425,401,450,1.0000,residual,residual,dominant_residual,dominant_residual,0.0600,0.0400,-0.1000,persisted
openstack_long_horizon_001,25,50,426,450,401,450,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0600,-0.0400,0.1000,persisted
openstack_long_horizon_001,25,50,451,475,451,500,1.0000,residual,residual,mixed,dominant_residual,-0.1000,0.0000,0.1000,persisted
openstack_long_horizon_001,25,50,476,500,451,500,1.0000,residual,residual,dominant_residual,dominant_residual,0.1000,0.0000,-0.1000,persisted
openstack_long_horizon_001,25,50,501,525,501,550,1.0000,residual,residual,dominant_residual,dominant_residual,0.1200,0.0400,-0.1600,persisted
openstack_long_horizon_001,25,50,526,550,501,550,1.0000,residual,residual,mixed,dominant_residual,-0.1200,-0.0400,0.1600,persisted
openstack_long_horizon_001,25,50,551,575,551,600,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0200,0.0000,0.0200,persisted
openstack_long_horizon_001,25,50,576,600,551,600,1.0000,residual,residual,dominant_residual,dominant_residual,0.0200,0.0000,-0.0200,persisted
openstack_long_horizon_001,25,50,601,625,601,650,1.0000,residual,residual,dominant_residual,dominant_residual,0.0000,0.0000,0.0000,persisted
openstack_long_horizon_001,25,50,626,650,601,650,1.0000,residual,residual,dominant_residual,dominant_residual,0.0000,0.0000,0.0000,persisted
openstack_long_horizon_001,25,50,651,675,651,700,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0600,-0.0200,0.0800,persisted
openstack_long_horizon_001,25,50,676,700,651,700,1.0000,residual,residual,dominant_residual,dominant_residual,0.0600,0.0200,-0.0800,persisted
openstack_long_horizon_001,25,50,701,725,701,750,1.0000,residual,residual,dominant_residual,dominant_residual,0.1200,-0.0800,-0.0400,persisted
openstack_long_horizon_001,25,50,726,750,701,750,1.0000,residual,residual,mixed,dominant_residual,-0.1200,0.0800,0.0400,persisted
openstack_long_horizon_001,25,50,751,775,751,800,1.0000,residual,residual,dominant_residual,dominant_residual,0.0600,0.0200,-0.0800,persisted
openstack_long_horizon_001,25,50,776,800,751,800,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0600,-0.0200,0.0800,persisted
openstack_long_horizon_001,25,50,801,825,801,850,1.0000,residual,residual,mixed,dominant_residual,-0.0600,-0.0600,0.1200,persisted
openstack_long_horizon_001,25,50,826,850,801,850,1.0000,residual,residual,dominant_residual,dominant_residual,0.0600,0.0600,-0.1200,persisted
openstack_long_horizon_001,25,50,851,875,851,900,1.0000,residual,residual,dominant_residual,dominant_residual,0.0400,0.0200,-0.0600,persisted
openstack_long_horizon_001,25,50,876,900,851,900,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0400,-0.0200,0.0600,persisted
openstack_long_horizon_001,25,50,901,925,901,950,1.0000,residual,residual,dominant_residual,dominant_residual,-0.0400,-0.0600,0.1000,persisted
openstack_long_horizon_001,25,50,926,950,901,950,1.0000,residual,residual,dominant_residual,dominant_residual,0.0400,0.0600,-0.1000,persisted
openstack_long_horizon_001,25,50,951,975,951,1000,1.0000,residual,residual,dominant_residual,dominant_residual,0.1200,0.0400,-0.1600,persisted
openstack_long_horizon_001,25,50,976,1000,951,1000,1.0000,residual,residual,mixed,dominant_residual,-0.1200,-0.0400,0.1600,persisted
openstack_long_horizon_001,25,50,1001,1025,1001,1050,1.0000,stable,residual,mixed,dominant_residual,-0.2200,0.0000,0.2200,fragmented
