from_window_size,to_window_size,from_zone,to_zone,from_interval,to_interval,from_width,to_width,width_delta,width_preservation_ratio,direction,relation_type,overlap_lines,event_note,boundary
50,75,left_zone,left_zone,1-47,1-72,47,72,25,1.532,rightward,merges,47,check_width_preservation,deformation_event_not_identity_or_semantics
50,75,left_zone,left_zone,51-100,1-72,50,72,22,1.44,leftward,splits,22,check_width_preservation,deformation_event_not_identity_or_semantics
50,75,left_zone,left_zone,51-100,76-150,50,75,25,1.5,rightward,splits,25,check_width_preservation,deformation_event_not_identity_or_semantics
50,75,left_zone,left_zone,101-150,76-150,50,75,25,1.5,leftward,merges,50,check_width_preservation,deformation_event_not_identity_or_semantics
50,75,left_zone,left_zone,151-200,151-209,50,59,9,1.18,rightward,merges,50,check_width_preservation,deformation_event_not_identity_or_semantics
50,75,left_zone,left_zone,201-215,151-209,15,59,44,3.933,leftward,merges,9,check_width_preservation,deformation_event_not_identity_or_semantics
50,75,right_zone,right_zone,1801-1806,1801-1807,6,7,1,1.167,rightward,continues,6,width_preserved,deformation_event_not_identity_or_semantics
50,75,right_zone,right_zone,1951-1953,1951-1953,3,3,0,1.0,held,continues,3,width_preserved,deformation_event_not_identity_or_semantics
50,75,left_zone,none,251-260,,10,0,-10,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
50,75,left_zone,none,551-554,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
50,75,right_zone,none,1701-1702,,2,0,-2,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
50,75,right_zone,none,1751-1754,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
50,75,right_zone,none,1851-1851,,1,0,-1,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
50,75,none,left_zone,,226-241,0,16,16,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
50,75,none,left_zone,,526-529,0,4,4,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
50,75,none,right_zone,,1726-1731,0,6,6,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
75,100,left_zone,left_zone,1-72,1-97,72,97,25,1.347,rightward,merges,72,check_width_preservation,deformation_event_not_identity_or_semantics
75,100,left_zone,left_zone,76-150,1-97,75,97,22,1.293,leftward,splits,22,check_width_preservation,deformation_event_not_identity_or_semantics
75,100,left_zone,left_zone,76-150,101-200,75,100,25,1.333,rightward,splits,50,check_width_preservation,deformation_event_not_identity_or_semantics
75,100,left_zone,left_zone,151-209,101-200,59,100,41,1.695,leftward,splits,50,check_width_preservation,deformation_event_not_identity_or_semantics
75,100,left_zone,left_zone,151-209,201-225,59,25,-34,0.424,rightward,splits,9,check_width_preservation,deformation_event_not_identity_or_semantics
75,100,right_zone,right_zone,1801-1807,1801-1807,7,7,0,1.0,held,continues,7,width_preserved,deformation_event_not_identity_or_semantics
75,100,left_zone,none,226-241,,16,0,-16,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
75,100,left_zone,none,526-529,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
75,100,right_zone,none,1726-1731,,6,0,-6,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
75,100,right_zone,none,1951-1953,,3,0,-3,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
