window_size,window_id,line_start,line_end,middle_start,middle_end,middle_center,middle_width,middle_share
50,window_001,1,50,1,47,24.0,47,0.94
50,window_002,51,100,51,100,75.5,50,1.0
50,window_003,101,150,101,150,125.5,50,1.0
50,window_004,151,200,151,200,175.5,50,1.0
50,window_005,201,250,201,215,208.0,15,0.3
50,window_006,251,300,251,260,255.5,10,0.2
50,window_012,551,600,551,554,552.5,4,0.08
50,window_035,1701,1750,1701,1702,1701.5,2,0.04
50,window_036,1751,1800,1751,1754,1752.5,4,0.08
50,window_037,1801,1850,1801,1806,1803.5,6,0.12
50,window_038,1851,1900,1851,1851,1851.0,1,0.02
50,window_040,1951,2000,1951,1953,1952.0,3,0.06
75,window_001,1,75,1,72,36.5,72,0.96
75,window_002,76,150,76,150,113.0,75,1.0
75,window_003,151,225,151,209,180.0,59,0.7867
75,window_004,226,300,226,241,233.5,16,0.2133
75,window_008,526,600,526,529,527.5,4,0.0533
75,window_024,1726,1800,1726,1731,1728.5,6,0.08
75,window_025,1801,1875,1801,1807,1804.0,7,0.0933
75,window_027,1951,2000,1951,1953,1952.0,3,0.06
100,window_001,1,100,1,97,49.0,97,0.97
100,window_002,101,200,101,200,150.5,100,1.0
100,window_003,201,300,201,225,213.0,25,0.25
100,window_006,501,600,501,504,502.5,4,0.04
100,window_018,1701,1800,1701,1706,1703.5,6,0.06
100,window_019,1801,1900,1801,1807,1804.0,7,0.07
100,window_020,1901,2000,1901,1903,1902.0,3,0.03
150,window_001,1,150,1,147,74.0,147,0.98
150,window_002,151,300,151,225,188.0,75,0.5
150,window_004,451,600,451,454,452.5,4,0.0267
150,window_012,1651,1800,1651,1656,1653.5,6,0.04
150,window_013,1801,1950,1801,1807,1804.0,7,0.0467
150,window_014,1951,2000,1951,1953,1952.0,3,0.06
200,window_001,1,200,1,197,99.0,197,0.985
200,window_002,201,400,201,225,213.0,25,0.125
200,window_003,401,600,401,404,402.5,4,0.02
200,window_009,1601,1800,1601,1606,1603.5,6,0.03
200,window_010,1801,2000,1801,1810,1805.5,10,0.05
250,window_001,1,250,1,212,106.5,212,0.848
250,window_002,251,500,251,260,255.5,10,0.04
250,window_003,501,750,501,504,502.5,4,0.016
250,window_007,1501,1750,1501,1502,1501.5,2,0.008
250,window_008,1751,2000,1751,1764,1757.5,14,0.056
350,window_001,1,350,1,222,111.5,222,0.6343
350,window_002,351,700,351,354,352.5,4,0.0114
350,window_005,1401,1750,1401,1402,1401.5,2,0.0057
350,window_006,1751,2000,1751,1764,1757.5,14,0.056
500,window_001,1,500,1,222,111.5,222,0.444
500,window_002,501,1000,501,504,502.5,4,0.008
500,window_004,1501,2000,1501,1516,1508.5,16,0.032
750,window_001,1,750,1,226,113.5,226,0.3013
750,window_003,1501,2000,1501,1516,1508.5,16,0.032
1000,window_001,1,1000,1,226,113.5,226,0.226
1000,window_002,1001,2000,1001,1016,1008.5,16,0.016
