window_size,left_center,right_center,pair_separation,width_symmetry,spacing_symmetry,centerline_relation,carrier_relation
50,24.0,75.5,51.5,balanced,tight,off_center,local_feature
50,75.5,125.5,50.0,balanced,tight,off_center,local_feature
50,125.5,175.5,50.0,balanced,tight,off_center,local_feature
50,175.5,208.0,32.5,asymmetric,tight,off_center,local_feature
50,208.0,255.5,47.5,asymmetric,tight,off_center,local_feature
50,255.5,552.5,297.0,asymmetric,wide,off_center,local_feature
50,552.5,1701.5,1149.0,asymmetric,wide,null_spanning,local_feature
50,1701.5,1752.5,51.0,asymmetric,tight,off_center,local_feature
50,1752.5,1803.5,51.0,asymmetric,tight,off_center,local_feature
50,1803.5,1851.0,47.5,asymmetric,tight,off_center,local_feature
50,1851.0,1952.0,101.0,asymmetric,moderate,off_center,local_feature
75,36.5,113.0,76.5,balanced,moderate,off_center,local_feature
75,113.0,180.0,67.0,balanced,tight,off_center,local_feature
75,180.0,233.5,53.5,asymmetric,tight,off_center,local_feature
75,233.5,527.5,294.0,asymmetric,wide,off_center,local_feature
75,527.5,1728.5,1201.0,asymmetric,wide,null_spanning,local_feature
75,1728.5,1804.0,75.5,balanced,moderate,off_center,local_feature
75,1804.0,1952.0,148.0,asymmetric,moderate,off_center,local_feature
100,49.0,150.5,101.5,balanced,moderate,off_center,local_feature
100,150.5,213.0,62.5,asymmetric,tight,off_center,local_feature
100,213.0,502.5,289.5,asymmetric,wide,off_center,local_feature
100,502.5,1703.5,1201.0,asymmetric,wide,null_spanning,local_feature
100,1703.5,1804.0,100.5,balanced,moderate,off_center,local_feature
100,1804.0,1902.0,98.0,asymmetric,moderate,off_center,local_feature
150,74.0,188.0,114.0,asymmetric,moderate,off_center,local_feature
150,188.0,452.5,264.5,asymmetric,wide,off_center,local_feature
150,452.5,1653.5,1201.0,asymmetric,wide,null_spanning,local_feature
150,1653.5,1804.0,150.5,balanced,moderate,off_center,local_feature
150,1804.0,1952.0,148.0,asymmetric,moderate,off_center,local_feature
200,99.0,213.0,114.0,asymmetric,moderate,off_center,persistent_carrier_candidate
200,213.0,402.5,189.5,asymmetric,moderate,off_center,local_feature
200,402.5,1603.5,1201.0,asymmetric,wide,null_spanning,local_feature
200,1603.5,1805.5,202.0,asymmetric,moderate,off_center,local_feature
250,106.5,255.5,149.0,asymmetric,moderate,off_center,persistent_carrier_candidate
250,255.5,502.5,247.0,asymmetric,moderate,off_center,local_feature
250,502.5,1501.5,999.0,asymmetric,wide,null_spanning,local_feature
250,1501.5,1757.5,256.0,asymmetric,wide,off_center,local_feature
350,111.5,352.5,241.0,asymmetric,moderate,off_center,persistent_carrier_candidate
350,352.5,1401.5,1049.0,asymmetric,wide,null_spanning,local_feature
350,1401.5,1757.5,356.0,asymmetric,wide,off_center,local_feature
500,111.5,502.5,391.0,asymmetric,wide,off_center,persistent_carrier_candidate
500,502.5,1508.5,1006.0,asymmetric,wide,null_spanning,local_feature
750,113.5,1508.5,1395.0,asymmetric,wide,null_spanning,persistent_carrier_candidate
1000,113.5,1008.5,895.0,asymmetric,wide,off_center,persistent_carrier_candidate
