degradation_id,source_surface,degradation_type,affected_item,constitution_or_probe,severity,supporting_detail,boundary_note
deg_001,signature_zone_shift_probe_v1,signature_drift,local_symmetry_pocket,baseline,weakens,supported->weak_support; rows=3,signature changed under bounded zone reread
deg_002,signature_zone_shift_probe_v1,signature_drift,local_symmetry_pocket,variant_a,weakens,supported->weak_support; rows=3,signature changed under bounded zone reread
deg_003,signature_zone_shift_probe_v1,signature_drift,local_symmetry_pocket,variant_b,weakens,supported->weak_support; rows=3,signature changed under bounded zone reread
deg_004,signature_zone_shift_probe_v1,signature_drift,null_zone_respect,baseline,relocates,mixed->supported; rows=9,signature changed under bounded zone reread
deg_005,signature_zone_shift_probe_v1,signature_drift,null_zone_respect,variant_a,relocates,mixed->supported; rows=9,signature changed under bounded zone reread
deg_006,signature_zone_shift_probe_v1,signature_drift,null_zone_respect,variant_b,relocates,mixed->supported; rows=9,signature changed under bounded zone reread
deg_007,hollow_survivability_sweep_v1,candidate_survivability_gap,spacing_basin,terrain_comparison_probe,not_run,baseline=9; probe=,candidate basin support incomplete under replay variation
deg_008,middle_feature_relation_read_v1,transition_loss,50->75,50->75,high,loss=8; total=16; ratio=0.5,transition contains high appear/disappear pressure
deg_009,middle_feature_relation_read_v1,transition_loss,75->100,75->100,high,loss=7; total=13; ratio=0.538,transition contains high appear/disappear pressure
deg_010,middle_feature_relation_read_v1,transition_loss,100->150,100->150,high,loss=6; total=11; ratio=0.545,transition contains high appear/disappear pressure
deg_011,middle_feature_relation_read_v1,transition_loss,150->200,150->200,high,loss=5; total=9; ratio=0.556,transition contains high appear/disappear pressure
deg_012,middle_feature_relation_read_v1,transition_loss,200->250,200->250,high,loss=7; total=9; ratio=0.778,transition contains high appear/disappear pressure
deg_013,middle_feature_relation_read_v1,transition_loss,250->350,250->350,high,loss=5; total=7; ratio=0.714,transition contains high appear/disappear pressure
deg_014,middle_feature_relation_read_v1,transition_loss,350->500,350->500,high,loss=5; total=6; ratio=0.833,transition contains high appear/disappear pressure
deg_015,middle_feature_relation_read_v1,transition_loss,500->750,500->750,moderate,loss=1; total=3; ratio=0.333,transition contains high appear/disappear pressure
deg_016,middle_feature_relation_read_v1,transition_loss,750->1000,750->1000,high,loss=2; total=3; ratio=0.667,transition contains high appear/disappear pressure
