terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
rr_4001_bin_250,bin_0001,1,250,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0002,251,500,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0003,501,750,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0004,751,1000,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0005,1001,1250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0006,1251,1500,39,38,1,0,0,0,1,0.0256,persisted,distributed_low
rr_4001_bin_250,bin_0007,1501,1750,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0008,1751,2000,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0009,2001,2250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0010,2251,2500,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0011,2501,2750,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0012,2751,3000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0013,3001,3250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0014,3251,3500,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0015,3501,3750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0016,3751,4000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0017,4001,4250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0018,4251,4500,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0019,4501,4750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0020,4751,5000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0021,5001,5250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0022,5251,5500,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0023,5501,5750,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0024,5751,6000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0025,6001,6250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0026,6251,6500,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0027,6501,6750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0028,6751,7000,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0029,7001,7250,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0030,7251,7500,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0031,7501,7750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0032,7751,8000,43,42,1,0,0,0,1,0.0233,persisted,distributed_low
rr_4001_bin_250,bin_0033,8001,8250,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0034,8251,8500,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0035,8501,8750,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0036,8751,9000,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0037,9001,9250,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0038,9251,9500,44,44,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0039,9501,9750,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0040,9751,10000,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0041,10001,10250,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0042,10251,10500,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0043,10501,10750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0044,10751,11000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0045,11001,11250,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0046,11251,11500,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0047,11501,11750,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0048,11751,12000,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0049,12001,12250,39,38,1,0,0,0,1,0.0256,persisted,distributed_low
rr_4001_bin_250,bin_0050,12251,12500,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0051,12501,12750,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0052,12751,13000,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0053,13001,13250,44,44,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0054,13251,13500,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
