window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
10,window_001,1,10,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.3,- <hex> <num>.<num>.<num> dn228 Nov,residual_island
10,window_002,11,20,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.3,- <hex> <num>.<num>.<num> dn700 Nov,residual_island
10,window_003,21,30,10,0,2,8,0.0,0.2,0.8,8,0,2,1.0,0.0,0.375,- <hex> <num>.<num>.<num> dn754 Nov,residual_island
10,window_004,31,40,10,1,0,9,0.1,0.0,0.9,9,1,0,1.0,0.1111,0.3333,- <hex> <num>.<num>.<num> eadmin2 Nov,residual_island
10,window_005,41,50,10,3,0,7,0.3,0.0,0.7,6,3,0,0.8571,0.4286,0.4286,- <hex> <num>.<num>.<num> #<num># Nov,partial_residual_cluster
10,window_006,51,60,10,5,4,1,0.5,0.4,0.1,0,1,1,0.0,1.0,1.0,- <hex> <num>.<num>.<num> bn441 Nov,stable_attached_residual
10,window_007,61,70,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,- <hex> <num>.<num>.<num> cn925 Nov,stable_attached_residual
10,window_008,71,80,10,4,3,3,0.4,0.3,0.3,2,2,1,0.6667,0.6667,0.3333,- <hex> <num>.<num>.<num> cn551 Nov,stable_attached_residual
10,window_009,81,90,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,- <hex> <num>.<num>.<num> cn931 Nov,stable_attached_residual
10,window_010,91,100,10,4,2,4,0.4,0.2,0.4,4,3,1,1.0,0.75,0.5,- <hex> <num>.<num>.<num> eadmin1 Nov,stable_attached_residual
10,window_011,101,110,10,2,4,4,0.2,0.4,0.4,2,1,2,0.5,0.25,0.5,- <hex> <num>.<num>.<num> cadmin1 Nov,partial_residual_cluster
10,window_012,111,120,10,2,2,6,0.2,0.2,0.6,5,3,3,0.8333,0.5,0.3333,- <hex> <num>.<num>.<num> badmin1 Nov,stable_attached_residual
10,window_013,121,130,10,6,2,2,0.6,0.2,0.2,1,1,1,0.5,0.5,0.5,- <hex> <num>.<num>.<num> cn822 Nov,stable_attached_residual
10,window_014,131,140,10,6,3,1,0.6,0.3,0.1,1,1,0,1.0,1.0,1.0,- <hex> <num>.<num>.<num> aadmin1 Nov,stable_attached_residual
10,window_015,141,150,10,4,4,2,0.4,0.4,0.2,0,1,1,0.0,0.5,0.5,- <hex> <num>.<num>.<num> aadmin1 Nov,stable_attached_residual
10,window_016,151,160,10,5,2,3,0.5,0.2,0.3,3,2,0,1.0,0.6667,0.3333,- <hex> <num>.<num>.<num> bn132 Nov,stable_attached_residual
10,window_017,161,170,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,- <hex> <num>.<num>.<num> cn633 Nov,stable_attached_residual
10,window_018,171,180,10,5,1,4,0.5,0.1,0.4,3,3,1,0.75,0.75,0.25,- <hex> <num>.<num>.<num> cn808 Nov,stable_attached_residual
10,window_019,181,190,10,7,2,1,0.7,0.2,0.1,0,1,0,0.0,1.0,1.0,- <hex> <num>.<num>.<num> bn780 Nov,stable_attached_residual
10,window_020,191,200,10,7,3,0,0.7,0.3,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_021,201,210,10,7,2,1,0.7,0.2,0.1,0,1,1,0.0,1.0,1.0,- <hex> <num>.<num>.<num> bn317 Nov,stable_attached_residual
10,window_022,211,220,10,6,4,0,0.6,0.4,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_023,221,230,10,6,1,3,0.6,0.1,0.3,0,2,1,0.0,0.6667,0.3333,- <hex> <num>.<num>.<num> cn330 Nov,stable_attached_residual
10,window_024,231,240,10,7,0,3,0.7,0.0,0.3,0,3,0,0.0,1.0,0.3333,- <hex> <num>.<num>.<num> cn179 Nov,stable_attached_residual
10,window_025,241,250,10,7,1,2,0.7,0.1,0.2,0,2,1,0.0,1.0,0.5,- <hex> <num>.<num>.<num> dn752 Nov,stable_attached_residual
10,window_026,251,260,10,8,1,1,0.8,0.1,0.1,0,1,0,0.0,1.0,1.0,- <hex> <num>.<num>.<num> cn209 Nov,stable_attached_residual
10,window_027,261,270,10,6,2,2,0.6,0.2,0.2,2,2,0,1.0,1.0,0.5,- <hex> <num>.<num>.<num> bn346 Nov,stable_attached_residual
10,window_028,271,280,10,5,1,4,0.5,0.1,0.4,4,2,1,1.0,0.5,0.25,- <hex> <num>.<num>.<num> cn250 Nov,stable_attached_residual
10,window_029,281,290,10,7,0,3,0.7,0.0,0.3,1,3,0,0.3333,1.0,0.3333,- <hex> <num>.<num>.<num> bn112 Nov,stable_attached_residual
10,window_030,291,300,10,9,1,0,0.9,0.1,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_031,301,310,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,- <hex> <num>.<num>.<num> bn661 Nov,stable_attached_residual
10,window_032,311,320,10,7,0,3,0.7,0.0,0.3,2,3,0,0.6667,1.0,0.3333,- <hex> <num>.<num>.<num> cn321 Nov,stable_attached_residual
10,window_033,321,330,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,- <hex> <num>.<num>.<num> bn468 Nov,stable_attached_residual
10,window_034,331,340,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,- <hex> <num>.<num>.<num> cn568 Nov,stable_attached_residual
10,window_035,341,350,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,- <hex> <num>.<num>.<num> cn245 Nov,stable_attached_residual
10,window_036,351,360,10,7,0,3,0.7,0.0,0.3,0,3,0,0.0,1.0,0.3333,- <hex> <num>.<num>.<num> bn782 Nov,stable_attached_residual
10,window_037,361,370,10,5,3,2,0.5,0.3,0.2,0,2,1,0.0,1.0,0.5,- <hex> <num>.<num>.<num> cn671 Nov,stable_attached_residual
10,window_038,371,380,10,7,0,3,0.7,0.0,0.3,0,3,0,0.0,1.0,0.3333,- <hex> <num>.<num>.<num> dn276 Nov,stable_attached_residual
10,window_039,381,390,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,- <hex> <num>.<num>.<num> bn993 Nov,stable_attached_residual
10,window_040,391,400,10,6,2,2,0.6,0.2,0.2,0,2,1,0.0,1.0,0.5,- <hex> <num>.<num>.<num> cn762 Nov,stable_attached_residual
10,window_041,401,410,10,6,1,3,0.6,0.1,0.3,2,3,1,0.6667,1.0,0.3333,- <hex> <num>.<num>.<num> cn747 Nov,stable_attached_residual
