"window_size","window_index","line_start","line_end","climate","enclosure_share","edge_share","middle_share","residual_share","diversity_share","edge_margin","edge_to_bracketed_ratio","local_topology"
"500","1","1","500","quietly_consolidated","0.93","0.064","0","0.006","0.156","-0.866","0.069","ordinary"
"500","2","501","1000","quietly_consolidated","0.95","0.038","0.006","0.006","0.094","-0.912","0.04","ordinary"
"500","3","1001","1500","quietly_consolidated","0.942","0.044","0.006","0.008","0.148","-0.898","0.047","ordinary"
"500","4","1501","2000","enclosure_dominant","0.638","0.28","0.054","0.028","0.362","-0.358","0.439","ordinary"
"500","5","2001","2500","enclosure_dominant","0.66","0.244","0.046","0.05","0.374","-0.416","0.37","ordinary"
"500","6","2501","3000","enclosure_dominant","0.628","0.272","0.1","0","0.396","-0.356","0.433","ordinary"
"500","7","3001","3500","quietly_consolidated","0.804","0.138","0.032","0.026","0.27","-0.666","0.172","ordinary"
"500","8","3501","4000","quietly_consolidated","0.772","0.156","0.068","0.004","0.376","-0.616","0.202","ordinary"
"500","9","4001","4500","enclosure_dominant","0.66","0.262","0.078","0","0.488","-0.398","0.397","ordinary"
"500","10","4501","5000","quietly_consolidated","0.864","0.096","0.04","0","0.194","-0.768","0.111","ordinary"
"500","11","5001","5500","enclosure_dominant","0.684","0.214","0.044","0.058","0.472","-0.47","0.313","ordinary"
"500","12","5501","6000","quietly_consolidated","0.79","0.136","0.046","0.028","0.318","-0.654","0.172","ordinary"
"500","13","6001","6500","enclosure_dominant","0.738","0.186","0.058","0.018","0.284","-0.552","0.252","ordinary"
"500","14","6501","7000","enclosure_dominant","0.572","0.284","0.066","0.078","0.47","-0.288","0.497","ordinary"
"500","15","7001","7500","quietly_consolidated","0.884","0.076","0.022","0.018","0.256","-0.808","0.086","ordinary"
"500","16","7501","8000","quietly_consolidated","0.976","0.016","0.006","0.002","0.146","-0.96","0.016","ordinary"
"500","17","8001","8500","quietly_consolidated","0.788","0.166","0.028","0.018","0.408","-0.622","0.211","ordinary"
"500","18","8501","9000","enclosure_dominant","0.688","0.214","0.076","0.022","0.34","-0.474","0.311","ordinary"
"500","19","9001","9500","enclosure_dominant","0.63","0.256","0.078","0.036","0.412","-0.374","0.406","ordinary"
"500","20","9501","10000","enclosure_dominant","0.592","0.26","0.126","0.022","0.406","-0.332","0.439","ordinary"
"500","21","10001","10500","enclosure_dominant","0.728","0.19","0.056","0.026","0.388","-0.538","0.261","ordinary"
"500","22","10501","11000","enclosure_dominant","0.632","0.242","0.092","0.034","0.44","-0.39","0.383","ordinary"
"500","23","11001","11500","quietly_consolidated","0.832","0.116","0.036","0.016","0.264","-0.716","0.139","ordinary"
"500","24","11501","12000","quietly_consolidated","0.98","0.016","0","0.004","0.13","-0.964","0.016","ordinary"
"500","25","12001","12500","quietly_consolidated","0.922","0.056","0.012","0.01","0.164","-0.866","0.061","ordinary"
