"window","present","family_occurrences","exact_template_count","dominant_posture","stable_bracketed","stable_edge","middle_attached","residual_clustered","mixed"
"window_001","yes","500","78","stable_bracketed","465","32","0","3","0"
"window_002","yes","500","47","stable_bracketed","475","19","3","3","0"
"window_003","yes","500","74","stable_bracketed","471","22","3","4","0"
"window_004","yes","500","181","stable_bracketed","319","140","27","14","0"
"window_005","yes","500","187","stable_bracketed","330","122","23","25","0"
"window_006","yes","500","198","stable_bracketed","314","136","50","0","0"
"window_007","yes","500","135","stable_bracketed","402","69","16","13","0"
"window_008","yes","500","188","stable_bracketed","386","78","34","2","0"
"window_009","yes","500","244","stable_bracketed","330","131","39","0","0"
"window_010","yes","500","97","stable_bracketed","432","48","20","0","0"
"window_011","yes","500","236","stable_bracketed","342","107","22","29","0"
"window_012","yes","500","159","stable_bracketed","395","68","23","14","0"
"window_013","yes","500","142","stable_bracketed","369","93","29","9","0"
"window_014","yes","500","235","stable_bracketed","286","142","33","39","0"
"window_015","yes","500","128","stable_bracketed","442","38","11","9","0"
"window_016","yes","500","73","stable_bracketed","488","8","3","1","0"
"window_017","yes","500","204","stable_bracketed","394","83","14","9","0"
"window_018","yes","500","170","stable_bracketed","344","107","38","11","0"
"window_019","yes","500","206","stable_bracketed","315","128","39","18","0"
"window_020","yes","500","203","stable_bracketed","296","130","63","11","0"
"window_021","yes","500","194","stable_bracketed","364","95","28","13","0"
"window_022","yes","500","220","stable_bracketed","316","121","46","17","0"
"window_023","yes","500","132","stable_bracketed","416","58","18","8","0"
"window_024","yes","500","65","stable_bracketed","490","8","0","2","0"
"window_025","yes","500","82","stable_bracketed","461","28","6","5","0"
"window_026","yes","500","131","stable_bracketed","421","56","14","9","0"
"window_027","yes","500","71","stable_bracketed","486","10","1","3","0"
"window_028","yes","500","150","stable_bracketed","397","70","28","5","0"
"window_029","yes","500","189","stable_bracketed","301","136","35","28","0"
"window_030","yes","500","145","stable_bracketed","376","86","12","26","0"
"window_031","yes","500","131","stable_bracketed","414","60","15","11","0"
"window_032","yes","500","43","stable_bracketed","500","0","0","0","0"
"window_033","yes","500","44","stable_bracketed","500","0","0","0","0"
"window_034","yes","500","128","stable_bracketed","341","106","41","12","0"
"window_035","yes","500","146","stable_bracketed","325","118","50","7","0"
"window_036","yes","500","130","stable_bracketed","353","99","41","7","0"
"window_037","yes","500","155","stable_bracketed","418","57","6","19","0"
"window_038","yes","500","213","stable_bracketed","305","132","27","36","0"
"window_039","yes","500","70","stable_bracketed","484","16","0","0","0"
"window_040","yes","500","132","stable_bracketed","408","61","31","0","0"
"window_041","yes","500","92","stable_bracketed","406","67","26","1","0"
"window_042","yes","500","104","stable_bracketed","404","67","21","8","0"
"window_043","yes","500","139","stable_bracketed","333","111","45","11","0"
"window_044","yes","500","135","stable_bracketed","392","74","12","22","0"
"window_045","yes","500","88","stable_bracketed","447","46","1","6","0"
"window_046","yes","500","111","stable_bracketed","380","92","27","1","0"
"window_047","yes","500","144","stable_bracketed","352","102","37","9","0"
"window_048","yes","500","159","stable_bracketed","351","96","39","14","0"
"window_049","yes","500","100","stable_bracketed","434","48","7","11","0"
"window_050","yes","500","88","stable_bracketed","421","68","9","2","0"
"window_051","yes","500","190","stable_bracketed","262","184","46","8","0"
"window_052","yes","500","135","stable_bracketed","374","92","27","7","0"
"window_053","yes","500","153","stable_bracketed","271","150","79","0","0"
"window_054","yes","500","114","stable_bracketed","388","86","26","0","0"
"window_055","yes","500","52","stable_bracketed","477","22","0","1","0"
"window_056","yes","500","75","stable_bracketed","461","35","0","4","0"
"window_057","yes","500","210","stable_bracketed","294","149","47","10","0"
"window_058","yes","500","155","stable_bracketed","390","75","19","16","0"
"window_059","yes","500","162","stable_bracketed","400","81","10","9","0"
"window_060","yes","500","84","stable_bracketed","487","10","2","1","0"
"window_061","yes","500","115","stable_bracketed","438","44","8","10","0"
"window_062","yes","500","210","stable_bracketed","271","156","65","8","0"
"window_063","yes","500","252","stable_bracketed","247","167","45","41","0"
"window_064","yes","500","196","stable_bracketed","354","117","27","2","0"
"window_065","yes","500","68","stable_bracketed","476","24","0","0","0"
"window_066","yes","500","164","stable_bracketed","345","112","22","21","0"
"window_067","yes","500","120","stable_bracketed","439","58","2","1","0"
"window_068","yes","500","67","stable_bracketed","469","24","3","4","0"
"window_069","yes","500","170","stable_bracketed","258","166","56","20","0"
"window_070","yes","500","120","stable_bracketed","462","32","6","0","0"
"window_071","yes","500","98","stable_bracketed","434","48","4","14","0"
"window_072","yes","500","185","stable_bracketed","375","92","16","17","0"
"window_073","yes","500","52","stable_bracketed","492","8","0","0","0"
"window_074","yes","500","102","stable_bracketed","433","48","5","14","0"
"window_075","yes","500","190","stable_bracketed","310","105","49","36","0"
"window_076","yes","500","204","stable_edge","199","202","74","25","0"
"window_077","yes","500","270","stable_bracketed","249","169","46","36","0"
"window_078","yes","160","46","stable_bracketed","147","13","0","0","0"
