index,month,value,delta,carrier_class,motion_class,boundary_note
1,1949-01,112,0,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
2,1949-02,118,6,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
3,1949-03,132,14,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
4,1949-04,129,-3,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
5,1949-05,121,-8,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
6,1949-06,135,14,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
7,1949-07,148,13,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
8,1949-08,148,0,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
9,1949-09,136,-12,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
10,1949-10,119,-17,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
11,1949-11,104,-15,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
12,1949-12,118,14,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
13,1950-01,115,-3,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
14,1950-02,126,11,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
15,1950-03,141,15,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
16,1950-04,135,-6,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
17,1950-05,125,-10,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
18,1950-06,149,24,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
19,1950-07,170,21,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
20,1950-08,170,0,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
21,1950-09,158,-12,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
22,1950-10,133,-25,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
23,1950-11,114,-19,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
24,1950-12,140,26,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
25,1951-01,145,5,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
26,1951-02,150,5,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
27,1951-03,178,28,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
28,1951-04,163,-15,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
29,1951-05,172,9,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
30,1951-06,178,6,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
31,1951-07,199,21,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
32,1951-08,199,0,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
33,1951-09,184,-15,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
34,1951-10,162,-22,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
35,1951-11,146,-16,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
36,1951-12,166,20,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
