edge_id,node_a,node_b,degree_a,degree_b,local_density,corridor_class,asymmetry_class,node_role,boundary_note
1,C01,C02,1,3,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
2,C02,C03,3,3,6,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
3,C03,C04,3,4,7,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
4,C04,C05,4,5,9,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
5,C05,C06,5,9,14,high_corridor_pressure,moderate_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
6,C06,C07,9,7,16,high_corridor_pressure,balanced,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
7,C07,C08,7,5,12,high_corridor_pressure,balanced,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
8,C08,C09,5,5,10,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
9,C09,C10,5,4,9,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
10,C10,C11,4,3,7,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
11,C11,C12,3,1,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
12,C03,C05,3,5,8,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
13,C04,C06,4,9,13,high_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
14,C05,C07,5,7,12,high_corridor_pressure,balanced,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
15,C06,C08,9,5,14,high_corridor_pressure,moderate_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
16,C07,C09,7,5,12,high_corridor_pressure,balanced,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
17,C08,C10,5,4,9,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
18,C05,C08,5,5,10,mid_corridor_pressure,balanced,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
19,C06,C09,9,5,14,high_corridor_pressure,moderate_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
20,C06,H01,9,1,10,mid_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
21,C06,H02,9,2,11,mid_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
22,C06,H03,9,3,12,high_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
23,C06,H04,9,2,11,mid_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
24,C07,H02,7,2,9,mid_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
25,C07,H03,7,3,10,mid_corridor_pressure,moderate_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
26,C07,H05,7,1,8,mid_corridor_pressure,strong_asymmetry,hub_contact,observer_side_asymmetric_branching_control_no_biological_claim
27,H03,H06,3,2,5,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
28,H04,H06,2,2,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
29,C02,A01,3,2,5,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
30,A01,A02,2,2,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
31,A02,A03,2,1,3,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
32,C09,B01,5,2,7,mid_corridor_pressure,moderate_asymmetry,corridor_contact,observer_side_asymmetric_branching_control_no_biological_claim
33,B01,B02,2,2,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
34,B02,B03,2,2,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
35,B03,B04,2,2,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
36,B04,C11,2,3,5,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
37,C04,R01,4,2,6,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
38,R01,R02,2,2,4,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
39,R02,C10,2,4,6,sparse_branch,balanced,branch_contact,observer_side_asymmetric_branching_control_no_biological_claim
