edge_id,node_a,node_b,degree_a,degree_b,local_density,corridor_class,asymmetry_class,interruption_role,boundary_note
1,C01,C02,1,2,3,sparse_or_abandoned,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
2,C02,C03,2,4,6,weak_branch_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
3,C03,C04,4,4,8,reroute_corridor_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
4,C04,C05,4,5,9,reroute_corridor_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
5,C03,C05,4,5,9,reroute_corridor_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
6,C04,C06,4,4,8,reroute_corridor_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
7,C05,H01,5,1,6,weak_branch_pressure,moderate_asymmetry,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
8,C05,H02,5,2,7,reroute_corridor_pressure,moderate_asymmetry,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
9,C05,H03,5,3,8,reroute_corridor_pressure,balanced,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
10,C06,H02,4,2,6,weak_branch_pressure,balanced,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
11,C06,H03,4,3,7,reroute_corridor_pressure,balanced,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
12,C06,H04,4,2,6,weak_branch_pressure,balanced,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
13,H03,H05,3,1,4,weak_branch_pressure,balanced,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
14,C04,R01,4,3,7,reroute_corridor_pressure,balanced,reroute_attempt,observer_side_interrupted_branching_control_no_biological_claim
15,R01,R02,3,3,6,weak_branch_pressure,balanced,reroute_attempt,observer_side_interrupted_branching_control_no_biological_claim
16,R02,R03,3,2,5,weak_branch_pressure,balanced,reroute_attempt,observer_side_interrupted_branching_control_no_biological_claim
17,R03,C09,2,3,5,weak_branch_pressure,balanced,reroute_attempt,observer_side_interrupted_branching_control_no_biological_claim
18,C09,C10,3,3,6,weak_branch_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
19,C10,C11,3,3,6,weak_branch_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
20,C11,C12,3,2,5,weak_branch_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
21,C09,C11,3,3,6,weak_branch_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
22,C10,C12,3,2,5,weak_branch_pressure,balanced,carrier_fragment,observer_side_interrupted_branching_control_no_biological_claim
23,C03,A01,4,2,6,weak_branch_pressure,balanced,abandoned_branch,observer_side_interrupted_branching_control_no_biological_claim
24,A01,A02,2,2,4,weak_branch_pressure,balanced,abandoned_branch,observer_side_interrupted_branching_control_no_biological_claim
25,A02,A03,2,2,4,weak_branch_pressure,balanced,abandoned_branch,observer_side_interrupted_branching_control_no_biological_claim
26,A03,A04,2,2,4,weak_branch_pressure,balanced,abandoned_branch,observer_side_interrupted_branching_control_no_biological_claim
27,A04,R02,2,3,5,weak_branch_pressure,balanced,reroute_attempt,observer_side_interrupted_branching_control_no_biological_claim
28,H04,R01,2,3,5,weak_branch_pressure,balanced,overload_near_break,observer_side_interrupted_branching_control_no_biological_claim
