terrain,window_size,local_region,line_start,line_end,dominant_posture,continuity_strength,stable_share,middle_share,residual_share,transition_pressure,survival_class,boundary_note
interrupted_replay_001,25,R001,1,1000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,25,R002,1001,2000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,25,R003,2001,3000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,25,R004,3001,4000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,25,R005,4001,5000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,25,R006,5001,6000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,25,R007,6001,7000,stable,1.0,1.0,0.0,0.0,initial,initial,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R001,1,1000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R002,1001,2000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R003,2001,3000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R004,3001,4000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R005,4001,5000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R006,5001,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,40,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,50,R001,1,1000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,50,R002,1001,2000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,50,R003,2001,3000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,50,R004,3001,4000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,50,R005,4001,5000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,50,R006,5001,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
