terrain,window_size,line_start,line_end,dominant_marker,dominant_marker_share,transition_from_prior,replay_class,boundary_note
interrupted_replay_v1,50,1,50,replay_phase_A,1.0,initial,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,51,100,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,101,150,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,151,200,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,201,250,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,251,300,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,301,350,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,351,400,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,401,450,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,451,500,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,501,550,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,551,600,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,601,650,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,651,700,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,701,750,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,751,800,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,801,850,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
