cycle_id,rise_start,peak_year,fall_end,duration,peak_population,rise_slope,fall_slope,recovery_class,boundary_note
cycle_001,1825,1828,1832,8,5943,1489.33,-1461.25,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_002,1836,1838,1840,5,3409,562.0,-1500.0,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_003,1845,1848,1850,6,2536,663.33,-1087.5,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_004,1854,1857,1860,7,2871,713.33,-857.33,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_005,1863,1866,1869,7,6721,2056.33,-2155.33,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_006,1872,1875,1878,7,2251,489.0,-650.67,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_007,1883,1885,1888,6,4431,1194.5,-1452.67,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_008,1894,1895,1898,5,4031,2739.0,-1308.67,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_009,1901,1904,1908,8,6991,2077.67,-1661.5,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_010,1910,1913,1914,5,3800,997.33,-709.0,incomplete_return,natural_cycle_pulse_no_ecological_causality_claim
cycle_011,1916,1916,1918,3,3790,0.0,-1854.5,deep_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_012,1923,1925,1928,6,3574,1221.0,-1015.0,partial_return_to_low,natural_cycle_pulse_no_ecological_causality_claim
cycle_013,1931,1934,1934,4,3396,798.67,0.0,incomplete_return,natural_cycle_pulse_no_ecological_causality_claim
