cycle_id,previous_shape,current_shape,previous_amplitude,current_amplitude,previous_recovery,current_recovery,transition_class,boundary_note
cycle_001,,sharp_rise_sharp_fall,,medium_amplitude,,deep_recovery,sequence_start,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_002,sharp_rise_sharp_fall,gradual_rise_sharp_fall,medium_amplitude,low_amplitude,deep_recovery,deep_recovery,amplitude_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_003,gradual_rise_sharp_fall,gradual_rise_sharp_fall,low_amplitude,low_amplitude,deep_recovery,deep_recovery,stable_repeat,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_004,gradual_rise_sharp_fall,sharp_rise_sharp_fall,low_amplitude,low_amplitude,deep_recovery,deep_recovery,shape_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_005,sharp_rise_sharp_fall,sharp_rise_sharp_fall,low_amplitude,high_amplitude,deep_recovery,deep_recovery,amplitude_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_006,sharp_rise_sharp_fall,sharp_rise_sharp_fall,high_amplitude,low_amplitude,deep_recovery,deep_recovery,amplitude_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_007,sharp_rise_sharp_fall,sharp_rise_sharp_fall,low_amplitude,medium_amplitude,deep_recovery,deep_recovery,amplitude_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_008,sharp_rise_sharp_fall,extended_rise_soft_return,medium_amplitude,medium_amplitude,deep_recovery,deep_recovery,shape_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_009,extended_rise_soft_return,sharp_rise_sharp_fall,medium_amplitude,high_amplitude,deep_recovery,deep_recovery,amplitude_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_010,sharp_rise_sharp_fall,unfinished_recovery,high_amplitude,medium_amplitude,deep_recovery,unfinished_or_incomplete,open_continuation,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_011,unfinished_recovery,mixed_pulse_shape,medium_amplitude,medium_amplitude,unfinished_or_incomplete,deep_recovery,recovery_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_012,mixed_pulse_shape,mixed_pulse_shape,medium_amplitude,medium_amplitude,deep_recovery,partial_recovery,recovery_shift,pulse_to_pulse_observer_relation_not_ecological_cause
cycle_013,mixed_pulse_shape,unfinished_recovery,medium_amplitude,low_amplitude,partial_recovery,unfinished_or_incomplete,open_continuation,pulse_to_pulse_observer_relation_not_ecological_cause
