year,population,delta,phase,motion
1821,269,0,low_population,plateau
1822,321,52,low_population,plateau
1823,585,264,low_population,plateau
1824,871,286,low_population,plateau
1825,1475,604,low_population,slow_rise
1826,2821,1346,low_population,slow_rise
1827,3928,1107,mid_population,slow_rise
1828,5943,2015,mid_population,rapid_rise
1829,4950,-993,mid_population,slow_fall
1830,2577,-2373,low_population,rapid_fall
1831,523,-2054,low_population,rapid_fall
1832,98,-425,low_population,slow_fall
1833,184,86,low_population,plateau
1834,279,95,low_population,plateau
1835,409,130,low_population,plateau
1836,2285,1876,low_population,rapid_rise
1837,2685,400,low_population,slow_rise
1838,3409,724,mid_population,slow_rise
1839,1824,-1585,low_population,rapid_fall
1840,409,-1415,low_population,slow_fall
1841,151,-258,low_population,plateau
1842,45,-106,low_population,plateau
1843,68,23,low_population,plateau
1844,213,145,low_population,plateau
1845,546,333,low_population,slow_rise
1846,1033,487,low_population,slow_rise
1847,2129,1096,low_population,slow_rise
1848,2536,407,low_population,slow_rise
1849,957,-1579,low_population,rapid_fall
1850,361,-596,low_population,slow_fall
1851,377,16,low_population,plateau
1852,225,-152,low_population,plateau
1853,360,135,low_population,plateau
1854,731,371,low_population,slow_rise
1855,1638,907,low_population,slow_rise
1856,2725,1087,low_population,slow_rise
1857,2871,146,low_population,plateau
1858,2119,-752,low_population,slow_fall
1859,684,-1435,low_population,slow_fall
1860,299,-385,low_population,slow_fall
1861,236,-63,low_population,plateau
1862,245,9,low_population,plateau
1863,552,307,low_population,slow_rise
1864,1623,1071,low_population,slow_rise
1865,3311,1688,mid_population,rapid_rise
1866,6721,3410,high_population,rapid_rise
1867,4254,-2467,mid_population,rapid_fall
1868,687,-3567,low_population,rapid_fall
1869,255,-432,low_population,slow_fall
1870,473,218,low_population,plateau
1871,358,-115,low_population,plateau
1872,784,426,low_population,slow_rise
1873,1594,810,low_population,slow_rise
1874,1676,82,low_population,plateau
1875,2251,575,low_population,slow_rise
1876,1426,-825,low_population,slow_fall
1877,756,-670,low_population,slow_fall
1878,299,-457,low_population,slow_fall
1879,201,-98,low_population,plateau
1880,229,28,low_population,plateau
1881,469,240,low_population,plateau
1882,736,267,low_population,plateau
1883,2042,1306,low_population,slow_rise
1884,2811,769,low_population,slow_rise
1885,4431,1620,mid_population,rapid_rise
1886,2511,-1920,low_population,rapid_fall
1887,389,-2122,low_population,rapid_fall
1888,73,-316,low_population,slow_fall
1889,39,-34,low_population,plateau
1890,49,10,low_population,plateau
1891,59,10,low_population,plateau
1892,188,129,low_population,plateau
1893,377,189,low_population,plateau
1894,1292,915,low_population,slow_rise
1895,4031,2739,mid_population,rapid_rise
1896,3495,-536,mid_population,slow_fall
1897,587,-2908,low_population,rapid_fall
1898,105,-482,low_population,slow_fall
1899,153,48,low_population,plateau
1900,387,234,low_population,plateau
1901,758,371,low_population,slow_rise
1902,1307,549,low_population,slow_rise
1903,3465,2158,mid_population,rapid_rise
1904,6991,3526,high_population,rapid_rise
1905,6313,-678,high_population,slow_fall
1906,3794,-2519,mid_population,rapid_fall
1907,1836,-1958,low_population,rapid_fall
1908,345,-1491,low_population,slow_fall
1909,382,37,low_population,plateau
1910,808,426,low_population,slow_rise
1911,1388,580,low_population,slow_rise
1912,2713,1325,low_population,slow_rise
1913,3800,1087,mid_population,slow_rise
1914,3091,-709,mid_population,slow_fall
1915,2985,-106,low_population,plateau
1916,3790,805,mid_population,slow_rise
1917,674,-3116,low_population,rapid_fall
1918,81,-593,low_population,slow_fall
1919,80,-1,low_population,plateau
1920,108,28,low_population,plateau
1921,229,121,low_population,plateau
1922,399,170,low_population,plateau
1923,1132,733,low_population,slow_rise
1924,2432,1300,low_population,slow_rise
1925,3574,1142,mid_population,slow_rise
1926,2935,-639,low_population,slow_fall
1927,1537,-1398,low_population,slow_fall
1928,529,-1008,low_population,slow_fall
1929,485,-44,low_population,plateau
1930,662,177,low_population,plateau
1931,1000,338,low_population,slow_rise
1932,1590,590,low_population,slow_rise
1933,2657,1067,low_population,slow_rise
1934,3396,739,mid_population,slow_rise
