window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
10,window_001,1,10,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_002,11,20,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_003,21,30,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0027_xray_2_node,stable_attached_residual
10,window_004,31,40,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0034_xray_261_node,stable_attached_residual
10,window_005,41,50,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_006,51,60,10,8,0,2,0.8,0.0,0.2,2,2,0,1.0,1.0,0.5,BROWN_RESIDUAL_uniq_0052_xray_927_node,stable_attached_residual
10,window_007,61,70,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0064_xray_374_node,stable_attached_residual
10,window_008,71,80,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_009,81,90,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0081_xray_6_node,stable_attached_residual
10,window_010,91,100,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_011,101,110,10,8,0,2,0.8,0.0,0.2,2,2,0,1.0,1.0,0.5,BROWN_RESIDUAL_uniq_0102_xray_783_node,stable_attached_residual
10,window_012,111,120,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0113_xray_193_node,stable_attached_residual
10,window_013,121,130,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_014,131,140,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_015,141,150,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0144_xray_343_node,stable_attached_residual
10,window_016,151,160,10,8,0,2,0.8,0.0,0.2,2,2,0,1.0,1.0,0.5,BROWN_RESIDUAL_uniq_0158_xray_861_node,stable_attached_residual
10,window_017,161,170,10,6,0,4,0.6,0.0,0.4,4,2,0,1.0,0.5,0.25,BROWN_RESIDUAL_uniq_0163_xray_49_node,stable_attached_residual
10,window_018,171,180,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_019,181,190,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_020,191,200,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0192_xray_125_node,stable_attached_residual
10,window_021,201,210,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0201_xray_458_node,stable_attached_residual
10,window_022,211,220,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0213_xray_902_node,stable_attached_residual
10,window_023,221,230,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0225_xray_349_node,stable_attached_residual
10,window_024,231,240,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_025,241,250,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0241_xray_941_node,stable_attached_residual
10,window_026,251,260,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0255_xray_462_node,stable_attached_residual
10,window_027,261,270,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_028,271,280,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0274_xray_168_node,stable_attached_residual
10,window_029,281,290,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_030,291,300,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_031,301,310,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_032,311,320,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0311_xray_540_node,stable_attached_residual
10,window_033,321,330,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0323_xray_984_node,stable_attached_residual
10,window_034,331,340,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_035,341,350,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0342_xray_690_node,stable_attached_residual
10,window_036,351,360,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0360_xray_359_node,stable_attached_residual
10,window_037,361,370,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_038,371,380,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0379_xray_65_node,stable_attached_residual
10,window_039,381,390,10,8,0,2,0.8,0.0,0.2,2,2,0,1.0,1.0,0.5,BROWN_RESIDUAL_uniq_0382_xray_176_node,stable_attached_residual
10,window_040,391,400,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_041,401,410,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0404_xray_990_node,stable_attached_residual
10,window_042,411,420,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_043,421,430,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.25,BROWN_RESIDUAL_uniq_0421_xray_622_node,stable_attached_residual
10,window_044,431,440,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_045,441,450,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0444_xray_476_node,stable_attached_residual
10,window_046,451,460,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0451_xray_735_node,stable_attached_residual
10,window_047,461,470,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_048,471,480,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_049,481,490,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0488_xray_110_node,stable_attached_residual
10,window_050,491,500,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0496_xray_406_node,stable_attached_residual
10,window_051,501,510,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_052,511,520,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0513_xray_38_node,stable_attached_residual
10,window_053,521,530,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0521_xray_334_node,stable_attached_residual
10,window_054,531,540,10,8,0,2,0.8,0.0,0.2,0,2,0,0.0,1.0,0.5,BROWN_RESIDUAL_uniq_0531_xray_704_node,stable_attached_residual
10,window_055,541,550,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0541_xray_77_node,stable_attached_residual
10,window_056,551,560,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0551_xray_447_node,stable_attached_residual
10,window_057,561,570,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0566_xray_5_node,stable_attached_residual
10,window_058,571,580,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_059,581,590,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0584_xray_671_node,stable_attached_residual
10,window_060,591,600,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,BROWN_RESIDUAL_uniq_0597_xray_155_node,stable_attached_residual
10,window_061,601,610,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_062,611,620,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
