window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
10,window_001,1,10,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.1667,WHITE_NOISE_uniq_0001_xray_37_node,stable_attached_residual
10,window_002,11,20,10,4,0,6,0.4,0.0,0.6,5,3,0,0.8333,0.5,0.1667,WHITE_NOISE_uniq_0011_xray_407_node,stable_attached_residual
10,window_003,21,30,10,3,0,7,0.3,0.0,0.7,7,3,0,1.0,0.4286,0.1429,WHITE_NOISE_uniq_0021_xray_777_node,partial_residual_cluster
10,window_004,31,40,10,4,0,6,0.4,0.0,0.6,4,6,0,0.6667,1.0,0.1667,WHITE_NOISE_uniq_0031_xray_150_node,stable_attached_residual
10,window_005,41,50,10,4,0,6,0.4,0.0,0.6,6,6,0,1.0,1.0,0.1667,WHITE_NOISE_uniq_0041_xray_520_node,stable_attached_residual
10,window_006,51,60,10,5,0,5,0.5,0.0,0.5,4,4,0,0.8,0.8,0.2,WHITE_NOISE_uniq_0052_xray_927_node,stable_attached_residual
10,window_007,61,70,10,4,0,6,0.4,0.0,0.6,6,2,0,1.0,0.3333,0.1667,WHITE_NOISE_uniq_0061_xray_263_node,partial_residual_cluster
10,window_008,71,80,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.1429,WHITE_NOISE_uniq_0071_xray_633_node,partial_residual_cluster
10,window_009,81,90,10,1,0,9,0.1,0.0,0.9,9,3,0,1.0,0.3333,0.1111,WHITE_NOISE_uniq_0081_xray_6_node,partial_residual_cluster
10,window_010,91,100,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.1667,WHITE_NOISE_uniq_0093_xray_450_node,stable_attached_residual
10,window_011,101,110,10,5,0,5,0.5,0.0,0.5,4,4,0,0.8,0.8,0.2,WHITE_NOISE_uniq_0101_xray_746_node,stable_attached_residual
10,window_012,111,120,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.25,WHITE_NOISE_uniq_0112_xray_156_node,stable_attached_residual
10,window_013,121,130,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0121_xray_489_node,stable_attached_residual
10,window_014,131,140,10,0,0,10,0.0,0.0,1.0,10,1,0,1.0,0.1,0.1,WHITE_NOISE_uniq_0131_xray_859_node,residual_island
10,window_015,141,150,10,3,0,7,0.3,0.0,0.7,6,5,0,0.8571,0.7143,0.1429,WHITE_NOISE_uniq_0142_xray_269_node,stable_attached_residual
10,window_016,151,160,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0152_xray_639_node,stable_attached_residual
10,window_017,161,170,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0161_xray_972_node,stable_attached_residual
10,window_018,171,180,10,5,0,5,0.5,0.0,0.5,2,5,0,0.4,1.0,0.2,WHITE_NOISE_uniq_0172_xray_382_node,stable_attached_residual
10,window_019,181,190,10,6,0,4,0.6,0.0,0.4,3,3,0,0.75,0.75,0.25,WHITE_NOISE_uniq_0182_xray_752_node,stable_attached_residual
10,window_020,191,200,10,3,0,7,0.3,0.0,0.7,6,6,0,0.8571,0.8571,0.1429,WHITE_NOISE_uniq_0191_xray_88_node,stable_attached_residual
10,window_021,201,210,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.125,WHITE_NOISE_uniq_0201_xray_458_node,stable_attached_residual
10,window_022,211,220,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0212_xray_865_node,stable_attached_residual
10,window_023,221,230,10,2,0,8,0.2,0.0,0.8,8,1,0,1.0,0.125,0.125,WHITE_NOISE_uniq_0221_xray_201_node,residual_island
10,window_024,231,240,10,2,0,8,0.2,0.0,0.8,7,5,0,0.875,0.625,0.125,WHITE_NOISE_uniq_0231_xray_571_node,stable_attached_residual
10,window_025,241,250,10,4,0,6,0.4,0.0,0.6,5,3,0,0.8333,0.5,0.1667,WHITE_NOISE_uniq_0243_xray_18_node,stable_attached_residual
10,window_026,251,260,10,3,0,7,0.3,0.0,0.7,7,5,0,1.0,0.7143,0.1429,WHITE_NOISE_uniq_0251_xray_314_node,stable_attached_residual
10,window_027,261,270,10,5,0,5,0.5,0.0,0.5,4,2,0,0.8,0.4,0.2,WHITE_NOISE_uniq_0261_xray_684_node,partial_residual_cluster
10,window_028,271,280,10,2,0,8,0.2,0.0,0.8,8,5,0,1.0,0.625,0.125,WHITE_NOISE_uniq_0271_xray_57_node,stable_attached_residual
10,window_029,281,290,10,0,0,10,0.0,0.0,1.0,10,1,0,1.0,0.1,0.1,WHITE_NOISE_uniq_0281_xray_427_node,residual_island
10,window_030,291,300,10,6,0,4,0.6,0.0,0.4,3,3,0,0.75,0.75,0.25,WHITE_NOISE_uniq_0293_xray_871_node,stable_attached_residual
10,window_031,301,310,10,5,0,5,0.5,0.0,0.5,2,5,0,0.4,1.0,0.2,WHITE_NOISE_uniq_0302_xray_207_node,stable_attached_residual
10,window_032,311,320,10,5,0,5,0.5,0.0,0.5,3,4,0,0.6,0.8,0.2,WHITE_NOISE_uniq_0312_xray_577_node,stable_attached_residual
10,window_033,321,330,10,6,0,4,0.6,0.0,0.4,2,4,0,0.5,1.0,0.25,WHITE_NOISE_uniq_0321_xray_910_node,stable_attached_residual
10,window_034,331,340,10,2,0,8,0.2,0.0,0.8,7,5,0,0.875,0.625,0.125,WHITE_NOISE_uniq_0331_xray_283_node,stable_attached_residual
10,window_035,341,350,10,6,0,4,0.6,0.0,0.4,3,3,0,0.75,0.75,0.25,WHITE_NOISE_uniq_0342_xray_690_node,stable_attached_residual
10,window_036,351,360,10,5,0,5,0.5,0.0,0.5,3,4,0,0.6,0.8,0.2,WHITE_NOISE_uniq_0352_xray_63_node,stable_attached_residual
10,window_037,361,370,10,6,0,4,0.6,0.0,0.4,4,3,0,1.0,0.75,0.25,WHITE_NOISE_uniq_0363_xray_470_node,stable_attached_residual
10,window_038,371,380,10,5,0,5,0.5,0.0,0.5,3,4,0,0.6,0.8,0.2,WHITE_NOISE_uniq_0371_xray_766_node,stable_attached_residual
10,window_039,381,390,10,4,0,6,0.4,0.0,0.6,4,5,0,0.6667,0.8333,0.1667,WHITE_NOISE_uniq_0381_xray_139_node,stable_attached_residual
10,window_040,391,400,10,4,0,6,0.4,0.0,0.6,6,4,0,1.0,0.6667,0.1667,WHITE_NOISE_uniq_0391_xray_509_node,stable_attached_residual
10,window_041,401,410,10,0,0,10,0.0,0.0,1.0,10,1,0,1.0,0.1,0.1,WHITE_NOISE_uniq_0401_xray_879_node,residual_island
10,window_042,411,420,10,1,0,9,0.1,0.0,0.9,9,2,0,1.0,0.2222,0.1111,WHITE_NOISE_uniq_0411_xray_252_node,residual_island
10,window_043,421,430,10,3,0,7,0.3,0.0,0.7,6,2,0,0.8571,0.2857,0.1429,WHITE_NOISE_uniq_0421_xray_622_node,partial_residual_cluster
10,window_044,431,440,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_0431_xray_992_node,stable_attached_residual
10,window_045,441,450,10,5,0,5,0.5,0.0,0.5,4,3,0,0.8,0.6,0.2,WHITE_NOISE_uniq_0442_xray_402_node,stable_attached_residual
10,window_046,451,460,10,5,0,5,0.5,0.0,0.5,2,5,0,0.4,1.0,0.2,WHITE_NOISE_uniq_0451_xray_735_node,stable_attached_residual
10,window_047,461,470,10,2,0,8,0.2,0.0,0.8,7,2,0,0.875,0.25,0.125,WHITE_NOISE_uniq_0462_xray_145_node,partial_residual_cluster
10,window_048,471,480,10,1,0,9,0.1,0.0,0.9,9,2,0,1.0,0.2222,0.1111,WHITE_NOISE_uniq_0471_xray_478_node,residual_island
10,window_049,481,490,10,3,0,7,0.3,0.0,0.7,7,3,0,1.0,0.4286,0.1429,WHITE_NOISE_uniq_0481_xray_848_node,partial_residual_cluster
10,window_050,491,500,10,3,0,7,0.3,0.0,0.7,6,3,0,0.8571,0.4286,0.1429,WHITE_NOISE_uniq_0491_xray_221_node,partial_residual_cluster
10,window_051,501,510,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0501_xray_591_node,stable_attached_residual
10,window_052,511,520,10,6,0,4,0.6,0.0,0.4,4,3,0,1.0,0.75,0.25,WHITE_NOISE_uniq_0511_xray_961_node,stable_attached_residual
10,window_053,521,530,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0522_xray_371_node,stable_attached_residual
10,window_054,531,540,10,1,0,9,0.1,0.0,0.9,9,2,0,1.0,0.2222,0.1111,WHITE_NOISE_uniq_0531_xray_704_node,residual_island
10,window_055,541,550,10,1,0,9,0.1,0.0,0.9,9,3,0,1.0,0.3333,0.1111,WHITE_NOISE_uniq_0541_xray_77_node,partial_residual_cluster
10,window_056,551,560,10,7,0,3,0.7,0.0,0.3,0,3,0,0.0,1.0,0.3333,WHITE_NOISE_uniq_0555_xray_595_node,stable_attached_residual
10,window_057,561,570,10,3,0,7,0.3,0.0,0.7,7,6,0,1.0,0.8571,0.1429,WHITE_NOISE_uniq_0561_xray_817_node,stable_attached_residual
10,window_058,571,580,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,WHITE_NOISE_uniq_0572_xray_227_node,stable_attached_residual
10,window_059,581,590,10,1,0,9,0.1,0.0,0.9,9,4,0,1.0,0.4444,0.1111,WHITE_NOISE_uniq_0581_xray_560_node,partial_residual_cluster
10,window_060,591,600,10,6,0,4,0.6,0.0,0.4,0,4,0,0.0,1.0,0.25,WHITE_NOISE_uniq_0592_xray_967_node,stable_attached_residual
10,window_061,601,610,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,0.125,WHITE_NOISE_uniq_0602_xray_340_node,partial_residual_cluster
10,window_062,611,620,10,1,0,9,0.1,0.0,0.9,9,2,0,1.0,0.2222,0.1111,WHITE_NOISE_uniq_0611_xray_673_node,residual_island
10,window_063,621,630,10,3,0,7,0.3,0.0,0.7,6,3,0,0.8571,0.4286,0.1429,WHITE_NOISE_uniq_0621_xray_46_node,partial_residual_cluster
10,window_064,631,640,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,WHITE_NOISE_uniq_0631_xray_416_node,stable_attached_residual
10,window_065,641,650,10,2,0,8,0.2,0.0,0.8,8,2,0,1.0,0.25,0.125,WHITE_NOISE_uniq_0641_xray_786_node,partial_residual_cluster
10,window_066,651,660,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_0651_xray_159_node,stable_attached_residual
10,window_067,661,670,10,5,0,5,0.5,0.0,0.5,4,3,0,0.8,0.6,0.2,WHITE_NOISE_uniq_0661_xray_529_node,stable_attached_residual
10,window_068,671,680,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,WHITE_NOISE_uniq_0671_xray_899_node,stable_attached_residual
10,window_069,681,690,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_0681_xray_272_node,stable_attached_residual
10,window_070,691,700,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,0.125,WHITE_NOISE_uniq_0691_xray_642_node,partial_residual_cluster
10,window_071,701,710,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.125,WHITE_NOISE_uniq_0701_xray_15_node,stable_attached_residual
10,window_072,711,720,10,1,0,9,0.1,0.0,0.9,9,1,0,1.0,0.1111,0.1111,WHITE_NOISE_uniq_0711_xray_385_node,residual_island
10,window_073,721,730,10,2,0,8,0.2,0.0,0.8,7,5,0,0.875,0.625,0.125,WHITE_NOISE_uniq_0721_xray_755_node,stable_attached_residual
10,window_074,731,740,10,4,0,6,0.4,0.0,0.6,5,6,0,0.8333,1.0,0.1667,WHITE_NOISE_uniq_0732_xray_165_node,stable_attached_residual
10,window_075,741,750,10,4,0,6,0.4,0.0,0.6,5,3,0,0.8333,0.5,0.1667,WHITE_NOISE_uniq_0741_xray_498_node,stable_attached_residual
10,window_076,751,760,10,5,0,5,0.5,0.0,0.5,3,5,0,0.6,1.0,0.2,WHITE_NOISE_uniq_0751_xray_868_node,stable_attached_residual
10,window_077,761,770,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.125,WHITE_NOISE_uniq_0761_xray_241_node,stable_attached_residual
10,window_078,771,780,10,2,0,8,0.2,0.0,0.8,8,5,0,1.0,0.625,0.125,WHITE_NOISE_uniq_0771_xray_611_node,stable_attached_residual
10,window_079,781,790,10,3,0,7,0.3,0.0,0.7,7,5,0,1.0,0.7143,0.1429,WHITE_NOISE_uniq_0782_xray_21_node,stable_attached_residual
10,window_080,791,800,10,3,0,7,0.3,0.0,0.7,7,4,0,1.0,0.5714,0.1429,WHITE_NOISE_uniq_0791_xray_354_node,stable_attached_residual
10,window_081,801,810,10,3,0,7,0.3,0.0,0.7,7,3,0,1.0,0.4286,0.1429,WHITE_NOISE_uniq_0801_xray_724_node,partial_residual_cluster
10,window_082,811,820,10,3,0,7,0.3,0.0,0.7,6,6,0,0.8571,0.8571,0.1429,WHITE_NOISE_uniq_0811_xray_97_node,stable_attached_residual
10,window_083,821,830,10,3,0,7,0.3,0.0,0.7,7,4,0,1.0,0.5714,0.1429,WHITE_NOISE_uniq_0821_xray_467_node,stable_attached_residual
10,window_084,831,840,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_0831_xray_837_node,stable_attached_residual
10,window_085,841,850,10,3,0,7,0.3,0.0,0.7,7,5,0,1.0,0.7143,0.1429,WHITE_NOISE_uniq_0841_xray_210_node,stable_attached_residual
10,window_086,851,860,10,2,0,8,0.2,0.0,0.8,8,6,0,1.0,0.75,0.125,WHITE_NOISE_uniq_0851_xray_580_node,stable_attached_residual
10,window_087,861,870,10,3,0,7,0.3,0.0,0.7,6,2,0,0.8571,0.2857,0.1429,WHITE_NOISE_uniq_0862_xray_987_node,partial_residual_cluster
10,window_088,871,880,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.1667,WHITE_NOISE_uniq_0871_xray_323_node,stable_attached_residual
10,window_089,881,890,10,3,0,7,0.3,0.0,0.7,7,6,0,1.0,0.8571,0.1429,WHITE_NOISE_uniq_0881_xray_693_node,stable_attached_residual
10,window_090,891,900,10,5,0,5,0.5,0.0,0.5,1,5,0,0.2,1.0,0.2,WHITE_NOISE_uniq_0891_xray_66_node,stable_attached_residual
10,window_091,901,910,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,WHITE_NOISE_uniq_0902_xray_473_node,stable_attached_residual
10,window_092,911,920,10,5,0,5,0.5,0.0,0.5,5,5,0,1.0,1.0,0.2,WHITE_NOISE_uniq_0913_xray_880_node,stable_attached_residual
10,window_093,921,930,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.1667,WHITE_NOISE_uniq_0921_xray_179_node,stable_attached_residual
10,window_094,931,940,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.1429,WHITE_NOISE_uniq_0931_xray_549_node,partial_residual_cluster
10,window_095,941,950,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.1667,WHITE_NOISE_uniq_0941_xray_919_node,stable_attached_residual
10,window_096,951,960,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_0951_xray_292_node,stable_attached_residual
10,window_097,961,970,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.125,WHITE_NOISE_uniq_0961_xray_662_node,stable_attached_residual
10,window_098,971,980,10,4,0,6,0.4,0.0,0.6,5,6,0,0.8333,1.0,0.1667,WHITE_NOISE_uniq_0972_xray_72_node,stable_attached_residual
10,window_099,981,990,10,6,0,4,0.6,0.0,0.4,4,3,0,1.0,0.75,0.25,WHITE_NOISE_uniq_0981_xray_405_node,stable_attached_residual
10,window_100,991,1000,10,3,0,7,0.3,0.0,0.7,6,2,0,0.8571,0.2857,0.1429,WHITE_NOISE_uniq_0992_xray_812_node,partial_residual_cluster
10,window_101,1001,1010,10,4,0,6,0.4,0.0,0.6,3,4,0,0.5,0.6667,0.1667,WHITE_NOISE_uniq_1001_xray_148_node,stable_attached_residual
10,window_102,1011,1020,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.1667,WHITE_NOISE_uniq_1011_xray_518_node,stable_attached_residual
10,window_103,1021,1030,10,4,0,6,0.4,0.0,0.6,4,6,0,0.6667,1.0,0.1667,WHITE_NOISE_uniq_1021_xray_888_node,stable_attached_residual
10,window_104,1031,1040,10,6,0,4,0.6,0.0,0.4,0,4,0,0.0,1.0,0.25,WHITE_NOISE_uniq_1031_xray_261_node,stable_attached_residual
10,window_105,1041,1050,10,4,0,6,0.4,0.0,0.6,5,6,0,0.8333,1.0,0.1667,WHITE_NOISE_uniq_1042_xray_668_node,stable_attached_residual
10,window_106,1051,1060,10,4,0,6,0.4,0.0,0.6,6,3,0,1.0,0.5,0.1667,WHITE_NOISE_uniq_1051_xray_4_node,stable_attached_residual
10,window_107,1061,1070,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.1667,WHITE_NOISE_uniq_1061_xray_374_node,stable_attached_residual
10,window_108,1071,1080,10,5,0,5,0.5,0.0,0.5,3,4,0,0.6,0.8,0.2,WHITE_NOISE_uniq_1073_xray_818_node,stable_attached_residual
10,window_109,1081,1090,10,6,0,4,0.6,0.0,0.4,4,3,0,1.0,0.75,0.25,WHITE_NOISE_uniq_1086_xray_302_node,stable_attached_residual
10,window_110,1091,1100,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_1091_xray_487_node,stable_attached_residual
10,window_111,1101,1110,10,3,0,7,0.3,0.0,0.7,7,3,0,1.0,0.4286,0.1429,WHITE_NOISE_uniq_1102_xray_894_node,partial_residual_cluster
10,window_112,1111,1120,10,1,0,9,0.1,0.0,0.9,9,2,0,1.0,0.2222,0.1111,WHITE_NOISE_uniq_1111_xray_230_node,residual_island
10,window_113,1121,1130,10,2,0,8,0.2,0.0,0.8,8,2,0,1.0,0.25,0.125,WHITE_NOISE_uniq_1121_xray_600_node,partial_residual_cluster
10,window_114,1131,1140,10,0,0,10,0.0,0.0,1.0,10,1,0,1.0,0.1,0.1,WHITE_NOISE_uniq_1131_xray_970_node,residual_island
10,window_115,1141,1150,10,2,0,8,0.2,0.0,0.8,8,1,0,1.0,0.125,0.125,WHITE_NOISE_uniq_1143_xray_417_node,residual_island
10,window_116,1151,1160,10,1,0,9,0.1,0.0,0.9,9,2,0,1.0,0.2222,0.1111,WHITE_NOISE_uniq_1151_xray_713_node,residual_island
10,window_117,1161,1170,10,3,0,7,0.3,0.0,0.7,7,4,0,1.0,0.5714,0.1429,WHITE_NOISE_uniq_1161_xray_86_node,stable_attached_residual
10,window_118,1171,1180,10,4,0,6,0.4,0.0,0.6,4,5,0,0.6667,0.8333,0.1667,WHITE_NOISE_uniq_1171_xray_456_node,stable_attached_residual
10,window_119,1181,1190,10,5,0,5,0.5,0.0,0.5,4,3,0,0.8,0.6,0.2,WHITE_NOISE_uniq_1182_xray_863_node,stable_attached_residual
10,window_120,1191,1200,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.125,WHITE_NOISE_uniq_1191_xray_199_node,stable_attached_residual
10,window_121,1201,1210,10,4,0,6,0.4,0.0,0.6,6,3,0,1.0,0.5,0.1667,WHITE_NOISE_uniq_1201_xray_569_node,stable_attached_residual
10,window_122,1211,1220,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_1211_xray_939_node,stable_attached_residual
10,window_123,1221,1230,10,6,0,4,0.6,0.0,0.4,0,4,0,0.0,1.0,0.25,WHITE_NOISE_uniq_1222_xray_349_node,stable_attached_residual
10,window_124,1231,1240,10,5,0,5,0.5,0.0,0.5,5,5,0,1.0,1.0,0.2,WHITE_NOISE_uniq_1232_xray_719_node,stable_attached_residual
10,window_125,1241,1250,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_1241_xray_55_node,stable_attached_residual
10,window_126,1251,1260,10,3,0,7,0.3,0.0,0.7,6,3,0,0.8571,0.4286,0.1429,WHITE_NOISE_uniq_1251_xray_425_node,partial_residual_cluster
10,window_127,1261,1270,10,7,0,3,0.7,0.0,0.3,1,3,0,0.3333,1.0,0.3333,WHITE_NOISE_uniq_1261_xray_795_node,stable_attached_residual
10,window_128,1271,1280,10,4,0,6,0.4,0.0,0.6,6,4,0,1.0,0.6667,0.1667,WHITE_NOISE_uniq_1272_xray_205_node,stable_attached_residual
10,window_129,1281,1290,10,3,0,7,0.3,0.0,0.7,6,5,0,0.8571,0.7143,0.1429,WHITE_NOISE_uniq_1282_xray_575_node,stable_attached_residual
10,window_130,1291,1300,10,5,0,5,0.5,0.0,0.5,5,3,0,1.0,0.6,0.2,WHITE_NOISE_uniq_1292_xray_945_node,stable_attached_residual
10,window_131,1301,1310,10,4,0,6,0.4,0.0,0.6,3,4,0,0.5,0.6667,0.1667,WHITE_NOISE_uniq_1301_xray_281_node,stable_attached_residual
10,window_132,1311,1320,10,7,0,3,0.7,0.0,0.3,2,3,0,0.6667,1.0,0.3333,WHITE_NOISE_uniq_1312_xray_688_node,stable_attached_residual
10,window_133,1321,1330,10,2,0,8,0.2,0.0,0.8,6,3,0,0.75,0.375,0.125,WHITE_NOISE_uniq_1321_xray_24_node,partial_residual_cluster
10,window_134,1331,1340,10,5,0,5,0.5,0.0,0.5,4,4,0,0.8,0.8,0.2,WHITE_NOISE_uniq_1331_xray_394_node,stable_attached_residual
10,window_135,1341,1350,10,7,0,3,0.7,0.0,0.3,2,3,0,0.6667,1.0,0.3333,WHITE_NOISE_uniq_1343_xray_838_node,stable_attached_residual
10,window_136,1351,1360,10,4,0,6,0.4,0.0,0.6,3,6,0,0.5,1.0,0.1667,WHITE_NOISE_uniq_1351_xray_137_node,stable_attached_residual
10,window_137,1361,1370,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.1667,WHITE_NOISE_uniq_1361_xray_507_node,stable_attached_residual
10,window_138,1371,1380,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,0.125,WHITE_NOISE_uniq_1372_xray_914_node,partial_residual_cluster
10,window_139,1381,1390,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_1381_xray_250_node,stable_attached_residual
10,window_140,1391,1400,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,WHITE_NOISE_uniq_1391_xray_620_node,stable_attached_residual
10,window_141,1401,1410,10,3,0,7,0.3,0.0,0.7,6,4,0,0.8571,0.5714,0.1429,WHITE_NOISE_uniq_1402_xray_30_node,stable_attached_residual
10,window_142,1411,1420,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.1667,WHITE_NOISE_uniq_1411_xray_363_node,stable_attached_residual
10,window_143,1421,1430,10,3,0,7,0.3,0.0,0.7,7,3,0,1.0,0.4286,0.1429,WHITE_NOISE_uniq_1423_xray_807_node,partial_residual_cluster
10,window_144,1431,1440,10,1,0,9,0.1,0.0,0.9,9,3,0,1.0,0.3333,0.1111,WHITE_NOISE_uniq_1431_xray_106_node,partial_residual_cluster
10,window_145,1441,1450,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.1429,WHITE_NOISE_uniq_1443_xray_550_node,partial_residual_cluster
10,window_146,1451,1460,10,1,0,9,0.1,0.0,0.9,9,4,0,1.0,0.4444,0.1111,WHITE_NOISE_uniq_1451_xray_846_node,partial_residual_cluster
10,window_147,1461,1470,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.2,WHITE_NOISE_uniq_1463_xray_293_node,stable_attached_residual
10,window_148,1471,1480,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.1667,WHITE_NOISE_uniq_1472_xray_626_node,stable_attached_residual
10,window_149,1481,1490,10,3,0,7,0.3,0.0,0.7,7,3,0,1.0,0.4286,0.1429,WHITE_NOISE_uniq_1483_xray_36_node,partial_residual_cluster
10,window_150,1491,1500,10,4,0,6,0.4,0.0,0.6,6,3,0,1.0,0.5,0.1667,WHITE_NOISE_uniq_1491_xray_332_node,stable_attached_residual
10,window_151,1501,1510,10,4,0,6,0.4,0.0,0.6,5,5,0,0.8333,0.8333,0.1667,WHITE_NOISE_uniq_1502_xray_739_node,stable_attached_residual
10,window_152,1511,1520,10,4,0,6,0.4,0.0,0.6,4,5,0,0.6667,0.8333,0.1667,WHITE_NOISE_uniq_1512_xray_112_node,stable_attached_residual
10,window_153,1521,1530,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,0.125,WHITE_NOISE_uniq_1521_xray_445_node,partial_residual_cluster
10,window_154,1531,1540,10,3,0,7,0.3,0.0,0.7,7,6,0,1.0,0.8571,0.1429,WHITE_NOISE_uniq_1531_xray_815_node,stable_attached_residual
10,window_155,1541,1550,10,4,0,6,0.4,0.0,0.6,5,2,0,0.8333,0.3333,0.1667,WHITE_NOISE_uniq_1542_xray_225_node,partial_residual_cluster
10,window_156,1551,1560,10,6,0,4,0.6,0.0,0.4,3,4,0,0.75,1.0,0.25,WHITE_NOISE_uniq_1551_xray_558_node,stable_attached_residual
10,window_157,1561,1570,10,3,0,7,0.3,0.0,0.7,7,6,0,1.0,0.8571,0.1429,WHITE_NOISE_uniq_1561_xray_928_node,stable_attached_residual
10,window_158,1571,1580,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_1571_xray_301_node,stable_attached_residual
10,window_159,1581,1590,10,2,0,8,0.2,0.0,0.8,8,3,0,1.0,0.375,0.125,WHITE_NOISE_uniq_1582_xray_708_node,partial_residual_cluster
10,window_160,1591,1600,10,5,0,5,0.5,0.0,0.5,3,5,0,0.6,1.0,0.2,WHITE_NOISE_uniq_1591_xray_44_node,stable_attached_residual
10,window_161,1601,1610,10,3,0,7,0.3,0.0,0.7,6,5,0,0.8571,0.7143,0.1429,WHITE_NOISE_uniq_1601_xray_414_node,stable_attached_residual
10,window_162,1611,1620,10,4,0,6,0.4,0.0,0.6,5,4,0,0.8333,0.6667,0.1667,WHITE_NOISE_uniq_1613_xray_858_node,stable_attached_residual
10,window_163,1621,1630,10,2,0,8,0.2,0.0,0.8,8,4,0,1.0,0.5,0.125,WHITE_NOISE_uniq_1621_xray_157_node,stable_attached_residual
