terrain,from_window,to_window,from_band,to_band,from_center,to_center,center_delta,abs_center_delta,from_width,to_width,width_delta,relation,boundary_note
hierarchical_burst_structural_v2,125,150,125_B01,150_B01,63.0,150.5,87.5,87.5,125,300,175,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B02,150_B02,500.5,600.5,100.0,100.0,500,300,-200,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B03,150_B03,938.0,1050.5,112.5,112.5,125,300,175,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B04,150_B04,1375.5,1500.5,125.0,125.0,500,300,-200,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B05,150_B04,1813.0,1500.5,-312.5,312.5,125,300,175,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B06,150_B05,2250.5,2700.5,450.0,450.0,500,1800,1300,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B07,150_B05,2688.0,2700.5,12.5,12.5,125,1800,1675,anchor_holds,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B08,150_B06,2938.0,3825.5,887.5,887.5,125,150,25,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B09,150_B06,3250.5,3825.5,575.0,575.0,250,150,-100,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B10,150_B06,3563.0,3825.5,262.5,262.5,125,150,25,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,125,150,125_B11,150_B06,3813.0,3825.5,12.5,12.5,125,150,25,anchor_holds,positional_anchor_not_identity
hierarchical_burst_structural_v2,150,175,150_B01,175_B01,150.5,263.0,112.5,112.5,300,525,225,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,150,175,150_B02,175_B01,600.5,263.0,-337.5,337.5,300,525,225,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,150,175,150_B03,175_B02,1050.5,1050.5,0.0,0.0,300,700,400,anchor_holds,positional_anchor_not_identity
hierarchical_burst_structural_v2,150,175,150_B04,175_B03,1500.5,1925.5,425.0,425.0,300,700,400,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,150,175,150_B05,175_B04,2700.5,2800.5,100.0,100.0,1800,700,-1100,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,150,175,150_B06,175_B05,3825.5,3588.0,-237.5,237.5,150,525,375,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,175,200,175_B01,200_B01,263.0,2000.5,1737.5,1737.5,525,4000,3475,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,175,200,175_B02,200_B01,1050.5,2000.5,950.0,950.0,700,4000,3300,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,175,200,175_B03,200_B01,1925.5,2000.5,75.0,75.0,700,4000,3300,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,175,200,175_B04,200_B01,2800.5,2000.5,-800.0,800.0,700,4000,3300,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,175,200,175_B05,200_B01,3588.0,2000.5,-1587.5,1587.5,525,4000,3475,reconstitutes_elsewhere,positional_anchor_not_identity
hierarchical_burst_structural_v2,200,250,200_B01,250_B01,2000.5,2000.5,0.0,0.0,4000,4000,0,anchor_holds,positional_anchor_not_identity
hierarchical_burst_structural_v2,250,300,250_B01,300_B01,2000.5,1950.5,-50.0,50.0,4000,3900,-100,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,300,350,300_B01,350_B01,1950.5,1925.5,-25.0,25.0,3900,3850,-50,anchor_holds,positional_anchor_not_identity
hierarchical_burst_structural_v2,350,400,350_B01,400_B01,1925.5,2000.5,75.0,75.0,3850,4000,150,near_reposition,positional_anchor_not_identity
hierarchical_burst_structural_v2,400,500,400_B01,500_B01,2000.5,2000.5,0.0,0.0,4000,4000,0,anchor_holds,positional_anchor_not_identity
