terrain_id,focus_size,window_id,line_start,line_end,stable_share,middle_share,residual_share,dominant_posture,seam_count,posture_mix_count,legibility_class,band_sequence
hierarchical_burst_structural_v2,25,1,1,25,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,2,26,50,0.64,0.0,0.36,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,3,51,75,0.24,0.0,0.76,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,4,76,100,0.84,0.0,0.16,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,5,101,125,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,6,126,150,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,7,151,175,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,8,176,200,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,9,201,225,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,10,226,250,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
