terrain,window_size,section,line_start,line_end,windows_in_section,stable_share_avg,middle_share_avg,residual_share_avg,dominant_posture
hierarchical_burst_structural_v2,125,Q1,1,1000,8,0.821,0.0,0.179,mixed_low_pressure
hierarchical_burst_structural_v2,125,Q2,1001,2000,8,0.837,0.0,0.163,mixed_low_pressure
hierarchical_burst_structural_v2,125,Q3,2001,3000,8,0.815,0.0,0.185,mixed_low_pressure
hierarchical_burst_structural_v2,125,Q4,3001,4000,8,0.851,0.0,0.149,stable_enclosed
hierarchical_burst_structural_v2,150,Q1,1,1050,7,0.8295,0.0,0.1705,mixed_low_pressure
hierarchical_burst_structural_v2,150,Q2,1051,1950,6,0.82,0.0,0.18,mixed_low_pressure
hierarchical_burst_structural_v2,150,Q3,1951,3000,7,0.8229,0.0,0.1771,mixed_low_pressure
hierarchical_burst_structural_v2,150,Q4,3001,4000,7,0.8557,0.0,0.1443,stable_enclosed
hierarchical_burst_structural_v2,175,Q1,1,1050,6,0.8295,0.0,0.1705,mixed_low_pressure
hierarchical_burst_structural_v2,175,Q2,1051,1925,5,0.8148,0.0,0.1852,mixed_low_pressure
hierarchical_burst_structural_v2,175,Q3,1926,2975,6,0.8229,0.0,0.1771,mixed_low_pressure
hierarchical_burst_structural_v2,175,Q4,2976,4000,6,0.8573,0.0,0.1427,stable_enclosed
hierarchical_burst_structural_v2,200,Q1,1,1000,5,0.821,0.0,0.179,mixed_low_pressure
hierarchical_burst_structural_v2,200,Q2,1001,2000,5,0.837,0.0,0.163,mixed_low_pressure
hierarchical_burst_structural_v2,200,Q3,2001,3000,5,0.815,0.0,0.185,mixed_low_pressure
hierarchical_burst_structural_v2,200,Q4,3001,4000,5,0.851,0.0,0.149,stable_enclosed
hierarchical_burst_structural_v2,250,Q1,1,1000,4,0.821,0.0,0.179,mixed_low_pressure
hierarchical_burst_structural_v2,250,Q2,1001,2000,4,0.837,0.0,0.163,mixed_low_pressure
hierarchical_burst_structural_v2,250,Q3,2001,3000,4,0.815,0.0,0.185,mixed_low_pressure
hierarchical_burst_structural_v2,250,Q4,3001,4000,4,0.851,0.0,0.149,stable_enclosed
hierarchical_burst_structural_v2,300,Q1,1,900,3,0.8389,0.0,0.1611,mixed_low_pressure
hierarchical_burst_structural_v2,300,Q2,901,2100,4,0.8075,0.0,0.1925,mixed_low_pressure
hierarchical_burst_structural_v2,300,Q3,2101,3000,3,0.8322,0.0,0.1678,mixed_low_pressure
hierarchical_burst_structural_v2,300,Q4,3001,4000,4,0.8675,0.0,0.1325,stable_enclosed
hierarchical_burst_structural_v2,350,Q1,1,1050,3,0.8295,0.0,0.1705,mixed_low_pressure
hierarchical_burst_structural_v2,350,Q2,1051,2100,3,0.8124,0.0,0.1876,mixed_low_pressure
hierarchical_burst_structural_v2,350,Q3,2101,3150,3,0.8334,0.0,0.1666,mixed_low_pressure
hierarchical_burst_structural_v2,350,Q4,3151,4000,3,0.8746,0.0,0.1254,stable_enclosed
hierarchical_burst_structural_v2,400,Q1,1,1200,3,0.8208,0.0,0.1792,mixed_low_pressure
hierarchical_burst_structural_v2,400,Q2,1201,2000,2,0.8413,0.0,0.1588,mixed_low_pressure
hierarchical_burst_structural_v2,400,Q3,2001,3200,3,0.8167,0.0,0.1833,mixed_low_pressure
hierarchical_burst_structural_v2,400,Q4,3201,4000,2,0.8575,0.0,0.1425,stable_enclosed
hierarchical_burst_structural_v2,500,Q1,1,1000,2,0.821,0.0,0.179,mixed_low_pressure
hierarchical_burst_structural_v2,500,Q2,1001,2000,2,0.837,0.0,0.163,mixed_low_pressure
hierarchical_burst_structural_v2,500,Q3,2001,3000,2,0.815,0.0,0.185,mixed_low_pressure
hierarchical_burst_structural_v2,500,Q4,3001,4000,2,0.851,0.0,0.149,stable_enclosed
hierarchical_burst_structural_v2,1000,Q1,1,1000,1,0.821,0.0,0.179,mixed_low_pressure
hierarchical_burst_structural_v2,1000,Q2,1001,2000,1,0.837,0.0,0.163,mixed_low_pressure
hierarchical_burst_structural_v2,1000,Q3,2001,3000,1,0.815,0.0,0.185,mixed_low_pressure
hierarchical_burst_structural_v2,1000,Q4,3001,4000,1,0.851,0.0,0.149,stable_enclosed
