terrain,window_size,band_id,band_order,band_start,band_end,band_width,band_center,gap_from_previous,section,windows_merged,avg_residual_share,avg_stable_share
hierarchical_burst_structural_v2,125,125_B01,1,1,125,125,63.0,,Q1,1,0.256,0.744
hierarchical_burst_structural_v2,125,125_B02,2,251,750,500,500.5,125,Q1,4,0.22,0.78
hierarchical_burst_structural_v2,125,125_B03,3,876,1000,125,938.0,125,Q1,1,0.272,0.728
hierarchical_burst_structural_v2,125,125_B04,4,1126,1625,500,1375.5,125,Q2,4,0.228,0.772
hierarchical_burst_structural_v2,125,125_B05,5,1751,1875,125,1813.0,125,Q2,1,0.296,0.704
hierarchical_burst_structural_v2,125,125_B06,6,2001,2500,500,2250.5,125,Q3,4,0.214,0.786
hierarchical_burst_structural_v2,125,125_B07,7,2626,2750,125,2688.0,125,Q3,1,0.256,0.744
hierarchical_burst_structural_v2,125,125_B08,8,2876,3000,125,2938.0,125,Q3,1,0.296,0.704
hierarchical_burst_structural_v2,125,125_B09,9,3126,3375,250,3250.5,125,Q4,2,0.236,0.764
hierarchical_burst_structural_v2,125,125_B10,10,3501,3625,125,3563.0,125,Q4,1,0.28,0.72
hierarchical_burst_structural_v2,125,125_B11,11,3751,3875,125,3813.0,125,Q4,1,0.264,0.736
hierarchical_burst_structural_v2,150,150_B01,1,1,300,300,150.5,,Q1,2,0.2133,0.7867
hierarchical_burst_structural_v2,150,150_B02,2,451,750,300,600.5,150,Q1,2,0.2434,0.7567
hierarchical_burst_structural_v2,150,150_B03,3,901,1200,300,1050.5,150,Q2,2,0.2334,0.7667
hierarchical_burst_structural_v2,150,150_B04,4,1351,1650,300,1500.5,150,Q2,2,0.24,0.76
hierarchical_burst_structural_v2,150,150_B05,5,1801,3600,1800,2700.5,150,Q3,12,0.1833,0.8167
hierarchical_burst_structural_v2,150,150_B06,6,3751,3900,150,3825.5,150,Q4,1,0.22,0.78
hierarchical_burst_structural_v2,175,175_B01,1,1,525,525,263.0,,Q1,3,0.2038,0.7962
hierarchical_burst_structural_v2,175,175_B02,2,701,1400,700,1050.5,175,Q2,4,0.2057,0.7943
hierarchical_burst_structural_v2,175,175_B03,3,1576,2275,700,1925.5,175,Q2,4,0.2228,0.7772
hierarchical_burst_structural_v2,175,175_B04,4,2451,3150,700,2800.5,175,Q3,4,0.1871,0.8129
hierarchical_burst_structural_v2,175,175_B05,5,3326,3850,525,3588.0,175,Q4,3,0.1981,0.8019
hierarchical_burst_structural_v2,200,200_B01,1,1,4000,4000,2000.5,,Q2,20,0.169,0.831
hierarchical_burst_structural_v2,250,250_B01,1,1,4000,4000,2000.5,,Q2,16,0.169,0.831
hierarchical_burst_structural_v2,300,300_B01,1,1,3900,3900,1950.5,,Q2,13,0.172,0.828
hierarchical_burst_structural_v2,350,350_B01,1,1,3850,3850,1925.5,,Q2,11,0.1743,0.8257
hierarchical_burst_structural_v2,400,400_B01,1,1,4000,4000,2000.5,,Q2,10,0.169,0.831
hierarchical_burst_structural_v2,500,500_B01,1,1,4000,4000,2000.5,,Q2,8,0.169,0.831
hierarchical_burst_structural_v2,1000,1000_B01,1,1,4000,4000,2000.5,,Q2,4,0.169,0.831
