terrain_id,focus_size,window_id,line_start,line_end,stable_share,middle_share,residual_share,dominant_posture,seam_count,posture_mix_count,legibility_class,band_sequence
apache_scan_netsparker,25,1,1,25,0.0,0.88,0.12,middle,1,2,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,2,26,50,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,3,51,75,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,4,76,100,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,5,101,125,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,6,126,150,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,7,151,175,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,8,176,200,0.0,1.0,0.0,middle,1,1,dominant_middle,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,9,201,225,0.0,0.36,0.64,residual,1,2,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,10,226,250,0.0,0.24,0.76,residual,1,2,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,11,251,275,0.0,0.0,1.0,residual,1,1,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,12,276,300,0.0,0.4,0.6,residual,1,2,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,13,301,325,0.0,0.0,1.0,residual,1,1,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,14,326,350,0.0,0.0,1.0,residual,1,1,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,15,351,375,0.0,0.0,1.0,residual,1,1,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,16,376,400,0.0,0.0,1.0,residual,1,1,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
apache_scan_netsparker,25,17,401,425,0.0,0.0,1.0,residual,1,1,dominant_residual,MMMMMMMMRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
