window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
10,window_001,1,10,10,0,2,8,0.0,0.2,0.8,7,0,4,0.875,0.0,0.875,[Thu Jun <num> <num>:<num>:<num> <num>],residual_island
10,window_002,11,20,10,2,0,8,0.2,0.0,0.8,8,1,0,1.0,0.125,1.0,[Thu Jun <num> <num>:<num>:<num> <num>],residual_island
10,window_003,21,30,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,[Thu Jun <num> <num>:<num>:<num> <num>],stable_attached_residual
10,window_004,31,40,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_005,41,50,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_006,51,60,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_007,61,70,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_008,71,80,10,6,4,0,0.6,0.4,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_009,81,90,10,7,3,0,0.7,0.3,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_010,91,100,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_011,101,110,10,10,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_012,111,120,10,6,3,1,0.6,0.3,0.1,0,1,0,0.0,1.0,1.0,[Fri Jun <num> <num>:<num>:<num> <num>],stable_attached_residual
10,window_013,121,130,10,0,9,1,0.0,0.9,0.1,0,0,1,0.0,0.0,1.0,[Fri Jun <num> <num>:<num>:<num> <num>],diffuse_residual
10,window_014,131,140,10,4,6,0,0.4,0.6,0.0,0,0,0,0.0,0.0,0.0,,no_residual
10,window_015,141,150,10,9,0,1,0.9,0.0,0.1,0,1,0,0.0,1.0,1.0,[Fri Jun <num> <num>:<num>:<num> <num>],stable_attached_residual
