window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
10,window_001,1,10,10,0,1,9,0.0,0.1,0.9,9,0,2,1.0,0.0,0.7778,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_002,11,20,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,1.0,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_003,21,30,10,2,3,5,0.2,0.3,0.5,4,1,3,0.8,0.2,0.6,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_004,31,40,10,8,0,2,0.8,0.0,0.2,2,2,0,1.0,1.0,1.0,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_005,41,50,10,2,0,8,0.2,0.0,0.8,7,4,0,0.875,0.5,0.75,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_006,51,60,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.5714,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_007,61,70,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.7,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_008,71,80,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.7,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_009,81,90,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,1.0,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_010,91,100,10,3,1,6,0.3,0.1,0.6,4,3,2,0.6667,0.5,0.6667,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_011,101,110,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,1.0,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_012,111,120,10,0,3,7,0.0,0.3,0.7,7,1,4,1.0,0.1429,0.5714,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_013,121,130,10,5,0,5,0.5,0.0,0.5,4,5,0,0.8,1.0,0.8,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_014,131,140,10,3,2,5,0.3,0.2,0.5,5,0,1,1.0,0.0,0.6,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_015,141,150,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.7143,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_016,151,160,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.6,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_017,161,170,10,4,0,6,0.4,0.0,0.6,4,4,0,0.6667,0.6667,0.5,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_018,171,180,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.9,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_019,181,190,10,3,0,7,0.3,0.0,0.7,7,2,0,1.0,0.2857,0.8571,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_020,191,200,10,3,1,6,0.3,0.1,0.6,6,1,2,1.0,0.1667,0.8333,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_021,201,210,10,0,3,7,0.0,0.3,0.7,7,1,3,1.0,0.1429,0.7143,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_022,211,220,10,5,0,5,0.5,0.0,0.5,5,3,1,1.0,0.6,0.8,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_023,221,230,10,4,0,6,0.4,0.0,0.6,6,3,0,1.0,0.5,0.5,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
10,window_024,231,240,10,3,0,7,0.3,0.0,0.7,7,1,0,1.0,0.1429,0.5714,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_025,241,250,10,3,0,7,0.3,0.0,0.7,7,1,0,1.0,0.1429,0.7143,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_026,251,260,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,0.5,nova-compute.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_027,261,270,10,0,0,10,0.0,0.0,1.0,10,0,0,1.0,0.0,1.0,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
10,window_028,271,280,10,3,0,7,0.3,0.0,0.7,7,2,1,1.0,0.2857,0.7143,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_029,281,290,10,3,1,6,0.3,0.1,0.6,6,2,1,1.0,0.3333,1.0,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
10,window_030,291,300,10,1,3,6,0.1,0.3,0.6,6,2,3,1.0,0.3333,0.6667,nova-api.log.<num>.<num>-<num>-16_13:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
