"file","bucket","middle_form","occurrence_count","distinct_neighborhood_count","max_neighborhood_reuse","shared_neighborhood_ratio","context_reuse_ratio","neighborhood_pattern_signature"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.DataNode$PacketResponder: Received block blk_<hex> of size <num> from /<ip>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir0/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir1/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir10/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir11/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir13/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir16/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir18/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir19/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir21/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir25/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir27/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir30/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir32/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir34/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir35/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir37/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir40/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir41/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir41/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir43/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir46/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir47/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir48/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir50/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir55/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir57/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir58/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir6/blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir6/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir9/blk_-<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","2","<num> <num> <num> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt5/_temporary/_task_<hex>_0012_m_001709_0/part-<num>. blk_<hex>","2","2","1","0.5","0","1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir0/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir14/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir16/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir18/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir19/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir2/blk_-<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir23/blk_-<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir30/blk_-<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir36/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir4/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir40/blk_-<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir46/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir5/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir53/blk_-<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir54/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir56/blk_-<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir60/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","3","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir7/blk_<hex>","3","3","1","0.3333","0","1-1-1"
"HDFS_2k.log","4","<num> <num> <num> INFO dfs.DataNode$PacketResponder: Received block blk_-<hex> of size <num> from /<ip>","4","4","1","0.25","0","1-1-1-1"
"HDFS_2k.log","4","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir27/blk_<hex>","4","4","1","0.25","0","1-1-1-1"
"HDFS_2k.log","4","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_<hex> file /mnt/hadoop/dfs/data/current/subdir28/blk_<hex>","4","4","1","0.25","0","1-1-1-1"
"HDFS_2k.log","4","<num> <num> <num> INFO dfs.FSDataset: Deleting block blk_-<hex> file /mnt/hadoop/dfs/data/current/subdir31/blk_-<hex>","4","4","1","0.25","0","1-1-1-1"
