"file","bucket","middle_form","occurrence_count","distinct_neighborhood_count","max_neighborhood_reuse","shared_neighborhood_ratio","context_reuse_ratio","neighborhood_pattern_signature"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo ftpd[<num>]: ANONYMOUS FTP LOGIN FROM <ip>, (anonymous)","2","2","1","0.5","0","1-1"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo kernel: BIOS-e820: <hex> - <hex> (usable)","2","2","1","0.5","0","1-1"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo udev[<num>]: creating device node '/udev/vcs2'","2","2","1","0.5","0","1-1"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo udev[<num>]: creating device node '/udev/vcsa2'","2","2","1","0.5","0","1-1"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo udev[<num>]: removing device node '/udev/vcs2'","2","2","1","0.5","0","1-1"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo udev[<num>]: removing device node '/udev/vcsa2'","2","2","1","0.5","0","1-1"
"Linux_2k.log","2","Jul <num> <num>:<num>:<num> combo xinetd[<num>]: warning: can't get client address: Connection reset by peer","2","1","2","1","1","2"
"Linux_2k.log","2","Jun <num> <num>:<num>:<num> combo cups: cupsd shutdown succeeded","2","1","2","1","1","2"
"Linux_2k.log","2","Jun <num> <num>:<num>:<num> combo cups: cupsd startup succeeded","2","1","2","1","1","2"
"Linux_2k.log","2","Jun <num> <num>:<num>:<num> combo syslogd <num>.<num>.<num>: restart.","2","1","2","1","1","2"
"Linux_2k.log","3","Jul <num> <num>:<num>:<num> combo kernel: BIOS-e820: <hex> - <hex> (reserved)","3","3","1","0.3333","0","1-1-1"
"Linux_2k.log","3","Jul <num> <num>:<num>:<num> combo sshd(pam_unix)[<num>]: authentication failure; logname= uid=<num> euid=<num> tty=NODEVssh ruser= rhost=<num>-<num>-<num>-<num>.hinet-ip.hinet.net user=root","3","3","1","0.3333","0","1-1-1"
"Linux_2k.log","4","Jul <num> <num>:<num>:<num> combo ftpd[<num>]: getpeername (ftpd): Transport endpoint is not connected","4","4","1","0.25","0","1-1-1-1"
"Linux_2k.log","4","Jul <num> <num>:<num>:<num> combo sshd(pam_unix)[<num>]: authentication failure; logname= uid=<num> euid=<num> tty=NODEVssh ruser= rhost=<ip> user=test","4","3","2","0.5","0.3333","2-1-1"
"Linux_2k.log","4","Jul <num> <num>:<num>:<num> combo sshd(pam_unix)[<num>]: authentication failure; logname= uid=<num> euid=<num> tty=NODEVssh ruser= rhost=<hex>.virtua.com.br","4","2","3","0.75","0.6667","3-1"
"Linux_2k.log","4","Jul <num> <num>:<num>:<num> combo cups: cupsd shutdown succeeded","4","1","4","1","1","4"
"Linux_2k.log","4","Jul <num> <num>:<num>:<num> combo cups: cupsd startup succeeded","4","1","4","1","1","4"
