window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
50,window_001,1,50,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_002,51,100,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_003,101,150,50,46,3,1,0.92,0.06,0.02,0,1,0,0.0,1.0,1.0,Jun <num> <num>:<num>:<num> combo ftpd[<num>]:,stable_attached_residual
50,window_004,151,200,50,49,0,1,0.98,0.0,0.02,0,1,0,0.0,1.0,1.0,Jun <num> <num>:<num>:<num> combo snmpd[<num>]:,stable_attached_residual
50,window_005,201,250,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_006,251,300,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_007,301,350,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_008,351,400,50,47,3,0,0.94,0.06,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_009,401,450,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_010,451,500,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_011,501,550,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_012,551,600,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_013,601,650,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_014,651,700,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_015,701,750,50,48,2,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_016,751,800,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_017,801,850,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_018,851,900,50,45,0,5,0.9,0.0,0.1,5,1,1,1.0,0.2,0.4,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,residual_island
50,window_019,901,950,50,38,12,0,0.76,0.24,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_020,951,1000,50,46,4,0,0.92,0.08,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_021,1001,1050,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_022,1051,1100,50,48,2,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_023,1101,1150,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_024,1151,1200,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_025,1201,1250,50,47,0,3,0.94,0.0,0.06,3,2,0,1.0,0.6667,0.6667,Jul <num> <num>:<num>:<num> combo gdm(pam_unix)[<num>]:,stable_attached_residual
50,window_026,1251,1300,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_027,1301,1350,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_028,1351,1400,50,48,2,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_029,1401,1450,50,47,3,0,0.94,0.06,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_030,1451,1500,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_031,1501,1550,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_032,1551,1600,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_033,1601,1650,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_034,1651,1700,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_035,1701,1750,50,48,2,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_036,1751,1800,50,48,2,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_037,1801,1850,50,44,6,0,0.88,0.12,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_038,1851,1900,50,50,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
50,window_039,1901,1950,50,8,5,37,0.16,0.1,0.74,37,1,2,1.0,0.027,0.8378,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
50,window_040,1951,2000,50,0,0,50,0.0,0.0,1.0,50,0,0,1.0,0.0,0.8,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
100,window_001,1,100,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_002,101,200,100,95,3,2,0.95,0.03,0.02,0,2,0,0.0,1.0,0.5,Jun <num> <num>:<num>:<num> combo ftpd[<num>]:,stable_attached_residual
100,window_003,201,300,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_004,301,400,100,97,3,0,0.97,0.03,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_005,401,500,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_006,501,600,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_007,601,700,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_008,701,800,100,98,2,0,0.98,0.02,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_009,801,900,100,95,0,5,0.95,0.0,0.05,5,1,1,1.0,0.2,0.4,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,residual_island
100,window_010,901,1000,100,84,16,0,0.84,0.16,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_011,1001,1100,100,98,2,0,0.98,0.02,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_012,1101,1200,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_013,1201,1300,100,97,0,3,0.97,0.0,0.03,3,2,0,1.0,0.6667,0.6667,Jul <num> <num>:<num>:<num> combo gdm(pam_unix)[<num>]:,stable_attached_residual
100,window_014,1301,1400,100,98,2,0,0.98,0.02,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_015,1401,1500,100,97,3,0,0.97,0.03,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_016,1501,1600,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_017,1601,1700,100,100,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_018,1701,1800,100,96,4,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_019,1801,1900,100,94,6,0,0.94,0.06,0.0,0,0,0,0.0,0.0,0.0,,no_residual
100,window_020,1901,2000,100,8,5,87,0.08,0.05,0.87,87,1,2,1.0,0.0115,0.8161,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
250,window_001,1,250,250,245,3,2,0.98,0.012,0.008,0,2,0,0.0,1.0,0.5,Jun <num> <num>:<num>:<num> combo ftpd[<num>]:,stable_attached_residual
250,window_002,251,500,250,247,3,0,0.988,0.012,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_003,501,750,250,248,2,0,0.992,0.008,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_004,751,1000,250,229,16,5,0.916,0.064,0.02,5,1,1,1.0,0.2,0.4,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,residual_island
250,window_005,1001,1250,250,245,2,3,0.98,0.008,0.012,3,2,0,1.0,0.6667,0.6667,Jul <num> <num>:<num>:<num> combo gdm(pam_unix)[<num>]:,stable_attached_residual
250,window_006,1251,1500,250,245,5,0,0.98,0.02,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_007,1501,1750,250,248,2,0,0.992,0.008,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_008,1751,2000,250,150,13,87,0.6,0.052,0.348,87,1,2,1.0,0.0115,0.8161,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
500,window_001,1,500,500,492,6,2,0.984,0.012,0.004,0,2,0,0.0,1.0,0.5,Jun <num> <num>:<num>:<num> combo ftpd[<num>]:,stable_attached_residual
500,window_002,501,1000,500,477,18,5,0.954,0.036,0.01,5,1,1,1.0,0.2,0.4,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,residual_island
500,window_003,1001,1500,500,490,7,3,0.98,0.014,0.006,3,2,0,1.0,0.6667,0.6667,Jul <num> <num>:<num>:<num> combo gdm(pam_unix)[<num>]:,stable_attached_residual
500,window_004,1501,2000,500,398,15,87,0.796,0.03,0.174,87,1,2,1.0,0.0115,0.8161,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
1000,window_001,1,1000,1000,969,24,7,0.969,0.024,0.007,5,3,1,0.7143,0.4286,0.2857,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,partial_residual_cluster
1000,window_002,1001,2000,1000,888,22,90,0.888,0.022,0.09,90,3,2,1.0,0.0333,0.7889,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
