window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
250,window_001,1,250,250,245,3,2,0.98,0.012,0.008,0,2,0,0.0,1.0,0.5,Jun <num> <num>:<num>:<num> combo ftpd[<num>]:,stable_attached_residual
250,window_002,251,500,250,247,3,0,0.988,0.012,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_003,501,750,250,248,2,0,0.992,0.008,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_004,751,1000,250,229,16,5,0.916,0.064,0.02,5,1,1,1.0,0.2,0.4,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,residual_island
250,window_005,1001,1250,250,245,2,3,0.98,0.008,0.012,3,2,0,1.0,0.6667,0.6667,Jul <num> <num>:<num>:<num> combo gdm(pam_unix)[<num>]:,stable_attached_residual
250,window_006,1251,1500,250,245,5,0,0.98,0.02,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_007,1501,1750,250,248,2,0,0.992,0.008,0.0,0,0,0,0.0,0.0,0.0,,no_residual
250,window_008,1751,2000,250,150,13,87,0.6,0.052,0.348,87,1,2,1.0,0.0115,0.8161,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
1000,window_001,1,1000,1000,969,24,7,0.969,0.024,0.007,5,3,1,0.7143,0.4286,0.2857,Jul <num> <num>:<num>:<num> combo gpm[<num>]:,partial_residual_cluster
1000,window_002,1001,2000,1000,888,22,90,0.888,0.022,0.09,90,3,2,1.0,0.0333,0.7889,Jul <num> <num>:<num>:<num> combo kernel:,residual_island
