terrain_id,candidate_id,bin_size,span_start,span_end,bin_count,active_bin_count,quiet_bin_count,distributed_low_count,localized_deformation_count,dense_deformation_count,dominant_localization_class,candidate_type,boundary_note
bgl_loghub_first_137074_001,candidate_0001,500,4501,5500,2,2,0,0,1,1,localized_deformation,mixed_deformation_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0002,500,9501,10000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0003,500,13501,18000,9,9,0,5,3,1,distributed_low,mixed_deformation_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0004,500,29501,30000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0005,500,33501,36000,5,5,0,1,1,3,dense_deformation,mixed_deformation_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0006,500,48001,49000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0007,500,57001,57500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0008,500,62501,64500,4,4,0,1,1,2,dense_deformation,mixed_deformation_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0009,500,72501,75500,6,6,0,1,0,5,dense_deformation,mixed_deformation_candidate,quiet_bins_break_groups
bgl_loghub_first_137074_001,candidate_0010,500,118501,123500,10,10,0,0,1,9,dense_deformation,mixed_deformation_candidate,quiet_bins_break_groups
