hour_000000 load_low delta_start change_start
hour_000001 load_low delta_up change_mid
hour_000002 load_low delta_down change_small
hour_000003 load_low delta_down change_small
hour_000004 load_low delta_down change_small
hour_000005 load_low delta_down change_small
hour_000006 load_low delta_up change_small
hour_000007 load_low delta_up change_small
hour_000008 load_low delta_up change_small
hour_000009 load_low delta_up change_mid
hour_000010 load_low delta_up change_mid
hour_000011 load_low delta_up change_small
hour_000012 load_low delta_up change_mid
hour_000013 load_low delta_down change_small
hour_000014 load_low delta_up change_small
hour_000015 load_low delta_up change_small
hour_000016 load_low delta_up change_small
hour_000017 load_mid delta_up change_mid
hour_000018 load_mid delta_up change_mid
hour_000019 load_mid delta_up change_small
hour_000020 load_mid delta_up change_small
hour_000021 load_mid delta_down change_small
hour_000022 load_mid delta_down change_small
hour_000023 load_low delta_down change_mid
hour_000024 load_low delta_down change_large
hour_000025 load_low delta_down change_large
hour_000026 load_low delta_down change_small
hour_000027 load_low delta_down change_small
hour_000028 load_low delta_down change_small
hour_000029 load_low delta_up change_mid
hour_000030 load_low delta_up change_large
hour_000031 load_low delta_up change_large
hour_000032 load_mid delta_up change_mid
hour_000033 load_mid delta_up change_large
hour_000034 load_mid delta_up change_large
hour_000035 load_mid delta_up change_mid
hour_000036 load_high delta_up change_mid
hour_000037 load_high delta_down change_small
hour_000038 load_high delta_up change_small
hour_000039 load_high delta_down change_small
hour_000040 load_high delta_up change_small
hour_000041 load_high delta_up change_mid
hour_000042 load_high delta_up change_large
hour_000043 load_high delta_down change_small
hour_000044 load_high delta_down change_mid
hour_000045 load_high delta_down change_mid
hour_000046 load_mid delta_down change_large
hour_000047 load_mid delta_down change_large
hour_000048 load_low delta_down change_large
hour_000049 load_low delta_down change_large
hour_000050 load_low delta_down change_mid
hour_000051 load_low delta_down change_small
hour_000052 load_low delta_down change_mid
hour_000053 load_low delta_up change_small
hour_000054 load_low delta_up change_large
hour_000055 load_mid delta_up change_large
hour_000056 load_mid delta_up change_mid
hour_000057 load_mid delta_up change_large
hour_000058 load_mid delta_up change_large
hour_000059 load_mid delta_up change_small
hour_000060 load_mid delta_up change_mid
hour_000061 load_high delta_up change_small
hour_000062 load_high delta_up change_small
hour_000063 load_mid delta_down change_small
hour_000064 load_high delta_up change_small
hour_000065 load_high delta_up change_mid
hour_000066 load_high delta_up change_mid
hour_000067 load_high delta_down change_small
hour_000068 load_high delta_down change_large
hour_000069 load_high delta_down change_mid
hour_000070 load_mid delta_down change_large
hour_000071 load_mid delta_down change_large
hour_000072 load_low delta_down change_large
hour_000073 load_low delta_down change_large
hour_000074 load_low delta_down change_mid
hour_000075 load_low delta_down change_small
hour_000076 load_low delta_down change_mid
hour_000077 load_low delta_up change_mid
hour_000078 load_low delta_up change_large
hour_000079 load_mid delta_up change_large
hour_000080 load_mid delta_up change_mid
hour_000081 load_mid delta_up change_large
hour_000082 load_mid delta_up change_large
hour_000083 load_mid delta_up change_mid
hour_000084 load_mid delta_up change_mid
hour_000085 load_high delta_up change_small
hour_000086 load_high delta_up change_small
hour_000087 load_high delta_up change_small
hour_000088 load_high delta_up change_small
hour_000089 load_high delta_up change_mid
hour_000090 load_high delta_up change_large
hour_000091 load_high delta_down change_small
hour_000092 load_high delta_down change_large
hour_000093 load_high delta_down change_mid
hour_000094 load_mid delta_down change_large
hour_000095 load_mid delta_down change_large
hour_000096 load_low delta_down change_large
hour_000097 load_low delta_down change_large
hour_000098 load_low delta_down change_mid
hour_000099 load_low delta_down change_small
hour_000100 load_low delta_down change_small
hour_000101 load_low delta_up change_small
hour_000102 load_low delta_up change_large
hour_000103 load_mid delta_up change_large
hour_000104 load_mid delta_up change_mid
hour_000105 load_mid delta_up change_large
hour_000106 load_mid delta_up change_large
hour_000107 load_mid delta_up change_small
hour_000108 load_mid delta_up change_mid
hour_000109 load_high delta_up change_mid
hour_000110 load_high delta_down change_small
hour_000111 load_high delta_up change_small
hour_000112 load_high delta_up change_small
hour_000113 load_high delta_up change_mid
hour_000114 load_high delta_up change_mid
hour_000115 load_high delta_down change_small
hour_000116 load_high delta_down change_large
hour_000117 load_high delta_down change_mid
hour_000118 load_mid delta_down change_large
hour_000119 load_mid delta_down change_large
hour_000120 load_low delta_down change_large
hour_000121 load_low delta_down change_large
hour_000122 load_low delta_down change_mid
hour_000123 load_low delta_down change_small
hour_000124 load_low delta_down change_small
hour_000125 load_low delta_up change_small
hour_000126 load_low delta_up change_large
hour_000127 load_mid delta_up change_large
hour_000128 load_mid delta_up change_mid
hour_000129 load_mid delta_up change_large
hour_000130 load_mid delta_up change_large
hour_000131 load_mid delta_up change_mid
hour_000132 load_mid delta_up change_small
hour_000133 load_high delta_up change_mid
hour_000134 load_high delta_down change_small
hour_000135 load_high delta_up change_small
hour_000136 load_high delta_up change_small
hour_000137 load_high delta_up change_mid
hour_000138 load_high delta_up change_large
hour_000139 load_high delta_down change_small
hour_000140 load_high delta_down change_mid
hour_000141 load_high delta_down change_large
hour_000142 load_mid delta_down change_large
hour_000143 load_mid delta_down change_large
hour_000144 load_mid delta_down change_large
hour_000145 load_low delta_down change_large
