terrain_id,candidate_id,bin_size,span_start,span_end,bin_count,active_bin_count,quiet_bin_count,distributed_low_count,localized_deformation_count,dense_deformation_count,dominant_localization_class,candidate_type,boundary_note
openstack_loghub_normal1_001,candidate_0001,500,1,500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0002,500,1001,2000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0003,500,2501,5000,5,5,0,5,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0004,500,6001,7500,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0005,500,9001,9500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0006,500,10001,11000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0007,500,11501,12500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0008,500,13001,14000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0009,500,14501,15500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0010,500,16001,16500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0011,500,17001,20000,6,6,0,6,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0012,500,21501,22500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0013,500,23501,28000,9,9,0,9,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0014,500,28501,30000,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0015,500,30501,31000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0016,500,31501,33000,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0017,500,33501,34000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0018,500,35001,35500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0019,500,36001,38000,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0020,500,38501,39000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0021,500,39501,40000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0022,500,41001,43000,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0023,500,43501,44000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0024,500,44501,45000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0025,500,45501,47500,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0026,500,48001,48500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0027,500,49001,50000,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
openstack_loghub_normal1_001,candidate_0028,500,50501,52312,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
