"terrain","candidate_zones","distributed_corridor","localized_deformation","dense_deformation","mixed_deformation","max_zone_bins"
"apache_acunetix","0","0","0","0","0","0"
"apache_baseline","1","0","0","0","1","4"
"apache_netsparker","1","0","1","0","0","1"
"apache_w3af","2","0","1","0","1","2"
"hierarchical_burst","1","0","0","0","1","8"
"interrupted_replay","0","0","0","0","0","0"
"linux","6","0","3","0","3","3"
"mixed_pulse_noise","1","1","0","0","0","3"
"netsparker","3","0","2","0","1","6"
"openstack","53","37","3","0","13","9"
"periodic_signal","0","0","0","0","0","0"
"white_noise","1","0","0","0","1","4"
