"terrain","total_bins","quiet","distributed_low","localized_deformation","dense_deformation","active_bins","active_share"
"apache_acunetix","4","4","0","0","0","0","0"
"apache_baseline","4","0","1","3","0","4","1"
"apache_netsparker","4","3","0","1","0","1","0.25"
"apache_w3af","4","1","1","1","1","3","0.75"
"hierarchical_burst","8","0","4","4","0","8","1"
"interrupted_replay","14","14","0","0","0","0","0"
"linux","52","38","4","10","0","14","0.2692"
"mixed_pulse_noise","4","1","3","0","0","3","0.75"
"netsparker","15","6","0","7","2","9","0.6"
"openstack","275","119","138","18","0","156","0.5673"
"periodic_signal","4","4","0","0","0","0","0"
"white_noise","4","0","3","1","0","4","1"
