"terrain_id","territory_start","territory_end","territory_width","candidate_count","candidate_span_total","candidate_span_ratio","quiet_span_total","quiet_span_ratio","quiet_gap_count","largest_quiet_gap","mean_quiet_gap","candidate_width_min","candidate_width_mean","candidate_width_max","candidate_spacing_min","candidate_spacing_mean","candidate_spacing_max","first_candidate_start","last_candidate_end","occupied_extent","occupied_extent_ratio","edge_left_quiet","edge_right_quiet"
"apache_baseline_slice_A","1","667","667","1","667","1.000000","0","0.000000","0","0","0.000000","667","667.000000","667","0","0.000000","0","1","667","667","1.000000","0","0"
"apache_baseline_slice_B","668","1334","667","1","667","1.000000","0","0.000000","0","0","0.000000","667","667.000000","667","0","0.000000","0","668","1334","667","1.000000","0","0"
"apache_baseline_slice_C","1335","2000","666","1","500","0.750751","166","0.249249","0","0","0.000000","500","500.000000","500","0","0.000000","0","1501","2000","500","0.750751","166","0"
"linux_long_horizon_001_slice_A","1","8523","8523","4","4500","0.527983","4023","0.472017","3","1500","1166.666667","1000","1125.000000","1500","500","1166.666667","1500","1","8000","8000","0.938637","0","523"
"linux_long_horizon_001_slice_B","8524","17045","8522","0","0","0.000000","8522","1.000000","0","0","0.000000","0","0.000000","0","0","0.000000","0","0","0","0","0.000000","8522","0"
"linux_long_horizon_001_slice_C","17046","25567","8522","2","2500","0.293358","6022","0.706642","1","1000","1000.000000","1000","1250.000000","1500","1000","1000.000000","1000","21001","24500","3500","0.410702","3955","1067"
"openstack_long_horizon_001_slice_A","1","45692","45692","19","26500","0.579970","19192","0.420030","18","2000","1055.555556","500","1394.736842","4000","500","1055.555556","2000","1","45500","45500","0.995798","0","192"
"openstack_long_horizon_001_slice_B","45693","91383","45691","19","30808","0.674268","14883","0.325732","18","2000","750.000000","500","1621.473684","4000","500","750.000000","2000","45693","90000","44308","0.969731","0","1383"
"openstack_long_horizon_001_slice_C","91384","137074","45691","16","20500","0.448666","25191","0.551334","15","1500","766.666667","500","1281.250000","4500","500","766.666667","1500","91501","123500","32000","0.700357","117","13574"
"openstack_loghub_normal1_001","1","52312","52312","28","34812","0.665469","17500","0.334531","27","1500","648.148148","500","1243.285714","4500","500","648.148148","1500","1","52312","52312","1.000000","0","0"
