window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
25,window_001,1,25,25,4,21,0,0.16,0.84,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_002,26,50,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_003,51,75,25,1,23,1,0.04,0.92,0.04,0,0,1,0.0,0.0,1.0,Jun <num> <num>:<num>:<num> combo kernel:,diffuse_residual
25,window_004,76,100,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_005,101,125,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_006,126,150,25,3,22,0,0.12,0.88,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_007,151,175,25,1,22,2,0.04,0.88,0.08,2,0,2,1.0,0.0,1.0,Jun <num> <num>:<num>:<num> combo kernel:,residual_island
25,window_008,176,200,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_009,201,225,25,2,23,0,0.08,0.92,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_010,226,250,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_011,251,275,25,17,8,0,0.68,0.32,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_012,276,300,25,5,19,1,0.2,0.76,0.04,0,0,1,0.0,0.0,1.0,Jun <num> <num>:<num>:<num> combo udev[<num>]:,diffuse_residual
25,window_013,301,325,25,0,22,3,0.0,0.88,0.12,2,0,3,0.6667,0.0,1.0,Jun <num> <num>:<num>:<num> combo udev[<num>]:,partial_residual_cluster
25,window_014,326,350,25,6,19,0,0.24,0.76,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_015,351,375,25,3,22,0,0.12,0.88,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_016,376,400,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_017,401,425,25,1,23,1,0.04,0.92,0.04,0,0,1,0.0,0.0,1.0,Jun <num> <num>:<num>:<num> combo kernel:,diffuse_residual
25,window_018,426,450,25,0,24,1,0.0,0.96,0.04,0,0,1,0.0,0.0,1.0,Jun <num> <num>:<num>:<num> combo sysctl:,diffuse_residual
25,window_019,451,475,25,0,25,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_020,476,500,25,3,22,0,0.12,0.88,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_021,501,525,25,1,24,0,0.04,0.96,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_022,526,550,25,1,24,0,0.04,0.96,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_023,551,575,25,1,24,0,0.04,0.96,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_024,576,600,25,2,23,0,0.08,0.92,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_025,601,625,25,17,8,0,0.68,0.32,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_026,626,650,25,3,22,0,0.12,0.88,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_027,651,675,25,1,24,0,0.04,0.96,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_028,676,700,25,23,1,1,0.92,0.04,0.04,0,1,0,0.0,1.0,1.0,Jun <num> <num>:<num>:<num> combo sshd(pam_unix)[<num>]:,stable_attached_residual
25,window_029,701,725,25,24,1,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_030,726,750,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_031,751,775,25,24,1,0,0.96,0.04,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_032,776,800,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_033,801,825,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_034,826,850,25,21,2,2,0.84,0.08,0.08,0,1,2,0.0,0.5,1.0,Jun <num> <num>:<num>:<num> combo gdm(pam_unix)[<num>]:,stable_attached_residual
25,window_035,851,875,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_036,876,900,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_037,901,925,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_038,926,950,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_039,951,975,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_040,976,1000,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_041,1001,1025,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_042,1026,1050,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_043,1051,1075,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_044,1076,1100,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_045,1101,1125,25,25,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,no_residual
25,window_046,1126,1150,25,23,1,1,0.92,0.04,0.04,0,1,0,0.0,1.0,1.0,Jun <num> <num>:<num>:<num> combo ftpd[<num>]:,stable_attached_residual
25,window_047,1151,1175,25,24,0,1,0.96,0.0,0.04,0,1,0,0.0,1.0,1.0,Jun <num> <num>:<num>:<num> combo snmpd[<num>]:,stable_attached_residual
