from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
25,40,2,1,stable,residual,151-175,1-160,10,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,2,2,stable,stable,151-175,161-200,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,3,2,residual,stable,176-1000,161-200,25,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,3,3,residual,residual,176-1000,201-3040,800,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,5,3,residual,residual,1026-3425,201-3040,2015,3,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,5,4,residual,stable,1026-3425,3041-3080,40,3,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,5,5,residual,residual,1026-3425,3081-4560,345,3,9,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,13,5,residual,residual,4201-4575,3081-4560,360,2,9,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,13,6,residual,stable,4201-4575,4561-4600,15,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,17,7,residual,residual,4951-5125,4601-5120,170,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,17,8,residual,stable,4951-5125,5121-5160,5,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,18,8,stable,stable,5126-5175,5121-5160,35,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,18,9,stable,residual,5126-5175,5161-8240,15,2,8,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,25,9,residual,residual,7976-8250,5161-8240,265,2,8,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,25,10,residual,stable,7976-8250,8241-8280,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,27,10,residual,stable,8276-8700,8241-8280,5,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,27,11,residual,residual,8276-8700,8281-9640,420,2,9,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,35,11,residual,residual,9576-9650,8281-9640,65,2,9,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,35,12,residual,stable,9576-9650,9641-9680,10,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
25,40,37,12,residual,stable,9676-10125,9641-9680,5,3,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
