terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
openstack,bin_0001,1,500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0002,501,1000,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0003,1001,1500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0004,1501,2000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0005,2001,2500,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0006,2501,3000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0007,3001,3500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0008,3501,4000,55,53,1,1,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0009,4001,4500,53,51,0,2,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0010,4501,5000,53,51,0,2,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0011,5001,5500,55,53,0,2,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0012,5501,6000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0013,6001,6500,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0014,6501,7000,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0015,7001,7500,53,51,1,1,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0016,7501,8000,53,51,0,2,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0017,8001,8500,55,54,0,1,0,0,1,0.0182,persisted,distributed_low
openstack,bin_0018,8501,9000,53,51,0,2,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0019,9001,9500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0020,9501,10000,55,52,1,2,0,0,3,0.0545,persisted,localized_deformation
openstack,bin_0021,10001,10500,53,50,1,2,0,0,3,0.0566,persisted,localized_deformation
openstack,bin_0022,10501,11000,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0023,11001,11500,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0024,11501,12000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0025,12001,12500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0026,12501,13000,55,53,0,2,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0027,13001,13500,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0028,13501,14000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0029,14001,14500,55,53,0,2,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0030,14501,15000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0031,15001,15500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0032,15501,16000,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0033,16001,16500,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0034,16501,17000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0035,17001,17500,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0036,17501,18000,53,50,1,2,0,0,3,0.0566,persisted,localized_deformation
openstack,bin_0037,18001,18500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0038,18501,19000,55,53,0,2,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0039,19001,19500,53,51,1,1,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0040,19501,20000,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0041,20001,20500,55,54,0,1,0,0,1,0.0182,persisted,distributed_low
openstack,bin_0042,20501,21000,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0043,21001,21500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0044,21501,22000,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0045,22001,22500,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0046,22501,23000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0047,23001,23500,55,55,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0048,23501,24000,53,51,0,2,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0049,24001,24500,53,51,1,1,0,0,2,0.0377,persisted,distributed_low
openstack,bin_0050,24501,25000,55,53,0,2,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0051,25001,25500,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0052,25501,26000,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0053,26001,26500,55,54,0,1,0,0,1,0.0182,persisted,distributed_low
openstack,bin_0054,26501,27000,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0055,27001,27500,53,53,0,0,0,0,0,0.0000,persisted,quiet
openstack,bin_0056,27501,28000,55,53,0,2,0,0,2,0.0364,persisted,distributed_low
openstack,bin_0057,28001,28500,53,52,0,1,0,0,1,0.0189,persisted,distributed_low
openstack,bin_0058,28501,29000,53,53,0,0,0,0,0,0.0000,persisted,quiet
