window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
25,window_001,1,25,25,3,0,22,0.12,0.0,0.88,21,2,0,0.9545,0.0909,0.5455,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_002,26,50,25,8,2,15,0.32,0.08,0.6,13,6,4,0.8667,0.4,0.7333,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_003,51,75,25,7,3,15,0.28,0.12,0.6,14,6,4,0.9333,0.4,0.8,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_004,76,100,25,8,0,17,0.32,0.0,0.68,13,6,0,0.7647,0.3529,0.6471,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_005,101,125,25,3,0,22,0.12,0.0,0.88,22,1,0,1.0,0.0455,0.5,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_006,126,150,25,6,1,18,0.24,0.04,0.72,18,5,2,1.0,0.2778,0.8889,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_007,151,175,25,11,3,11,0.44,0.12,0.44,9,5,3,0.8182,0.4545,0.7273,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_008,176,200,25,10,0,15,0.4,0.0,0.6,14,6,0,0.9333,0.4,0.6,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_009,201,225,25,6,0,19,0.24,0.0,0.76,19,2,0,1.0,0.1053,0.5263,nova-compute.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_010,226,250,25,3,1,21,0.12,0.04,0.84,21,3,2,1.0,0.1429,0.8571,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_011,251,275,25,10,2,13,0.4,0.08,0.52,11,7,4,0.8462,0.5385,0.7692,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,stable_attached_residual
25,window_012,276,300,25,6,0,19,0.24,0.0,0.76,18,5,0,0.9474,0.2632,0.5789,nova-compute.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_013,301,325,25,4,0,21,0.16,0.0,0.84,20,3,0,0.9524,0.1429,0.7619,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_014,326,350,25,6,2,17,0.24,0.08,0.68,17,4,4,1.0,0.2353,0.8235,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_015,351,375,25,8,2,15,0.32,0.08,0.6,15,6,2,1.0,0.4,0.6,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,partial_residual_cluster
25,window_016,376,400,25,6,0,19,0.24,0.0,0.76,19,2,0,1.0,0.1053,0.5263,nova-compute.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
25,window_017,401,425,25,3,1,21,0.12,0.04,0.84,21,2,2,1.0,0.0952,0.8095,nova-api.log.<num>.<num>-<num>-17_12:<num>:<num> <num>-<num>-<num> <num>:<num>:<num>.<num> <num> INFO,residual_island
